Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
06:05:53   0.0   0.0   0.0 100.0   0.0    1    229    303    0    0    0   4.39    0.00   1.15   0.17   3.07  52.05  52.00  20.00  41.05  52.00  63.00  41.05   0.00
06:05:54   0.0   0.0   0.0 100.0   0.0    1    206    126    0    0    0   4.77    0.00   1.30   0.08   3.39  50.05  50.00  20.00  41.05  51.00  63.00  41.05   0.00
06:05:55   0.1   0.0   0.1  99.8   0.0    2    209    133    5    3    3   2.84    0.00   0.81   0.19   1.84  50.05  50.00  20.00  41.05  50.00  56.00  41.05   0.00
06:05:56   8.5   0.0   0.7  90.8   0.0    3  89526  11154   39    0    1  69.14    0.00  19.43  14.22  35.49  70.05  70.00  20.00  41.05  70.00  56.00  41.05   0.00
06:05:57   5.3   0.0   0.1  94.6   0.0    2  11837    867    0    0    0  58.45    0.00  16.65  11.74  30.06  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
06:05:58   4.3   0.0   0.0  95.7   0.0    2   1703    627    0    0    0  53.57    0.00  16.06  11.04  26.47  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
06:05:59   4.3   0.0   0.0  95.7   0.0    2   1681    627    0    0    0  52.94    0.00  15.96  11.05  25.92  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
06:06:00   4.6   0.0   0.1  95.3   0.0    2   1801    708    0    0    0  53.38    0.00  15.99  11.08  26.31  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
06:06:01   4.8   0.0   0.1  95.1   0.0    2   2062    725    0    0    0  53.71    0.00  16.02  11.13  26.56  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
06:06:02   6.5   0.0   0.3  93.3   0.0    3   1899    876    0    0    0  59.15    0.00  16.90  11.83  30.41  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
06:06:03   4.4   0.0   0.1  95.5   0.0    2   1837    661    0    0    0  53.07    0.00  15.96  11.03  26.09  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
06:06:04   4.2   0.0   0.1  95.7   0.0    2   1814    659    0    0    0  52.22    0.00  15.83  10.91  25.48  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
06:06:05   4.6   0.0   0.0  95.4   0.0    2   1743    638    0    0    0  53.56    0.00  16.02  11.04  26.50  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
06:06:06   4.2   0.0   0.1  95.7   0.0    2   1827    708    0    0    0  54.01    0.00  16.12  10.93  26.96  69.05  69.00  20.00  41.05  69.00  70.00  42.05   0.00
06:06:07   4.5   0.0   0.0  95.5   0.0    2   1712    624    0    0    0  52.86    0.00  15.91  11.01  25.93  69.05  69.00  20.00  41.05  69.00  70.00  42.05   0.00
