Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
05:25:45   0.0   0.0   0.0 100.0   0.0    1    194    264    0    0    0   6.10    0.00   1.63   0.20   4.27  54.05  54.00  20.00  44.05  54.00  59.00  45.05   0.00
05:25:46   0.0   0.0   0.0 100.0   0.0    1    255    129    0    0    0   8.35    0.00   2.25   0.08   6.03  54.05  54.00  20.00  44.05  54.00  59.00  45.05   0.00
05:25:47   0.0   0.0   0.1  99.8   0.0    2    286    194    5    3    3   3.22    0.00   0.91   0.20   2.11  53.05  53.00  20.00  44.05  54.00  59.00  45.05   0.00
05:25:48   8.9   0.0   0.5  90.6   0.0    3  47947   7202   39    0    1  68.16    0.00  18.68  12.86  36.62  75.05  75.00  20.00  44.05  75.00  56.00  45.05   0.00
05:25:49   5.0   0.0   0.1  94.9   0.0    2  10247   1048    0    0    0  59.60    0.00  16.72  11.72  31.17  75.05  75.00  20.00  44.05  75.00  56.00  45.05   0.00
05:25:50   4.3   0.0   0.0  95.7   0.0    2   1849    707    0    0    0  56.56    0.00  16.53  11.52  28.51  74.05  74.00  20.00  44.05  75.00  75.00  45.05   0.00
05:25:51   4.6   0.0   0.0  95.4   0.0    2   1944    767    0    0    0  56.74    0.00  16.52  11.68  28.54  75.05  75.00  20.00  44.05  76.00  75.00  45.05   0.00
05:25:52   4.3   0.0   0.0  95.7   0.0    2   1884    718    0    0    0  55.34    0.00  16.39  11.38  27.57  75.05  75.00  20.00  44.05  76.00  76.00  45.05   0.00
05:25:53   5.2   0.0   0.0  94.7   0.1    3   2026    850    0    0    0  56.70    0.00  16.65  11.59  28.47  75.05  75.00  20.00  44.05  75.00  76.00  45.05   0.00
05:25:54   7.8   0.0   0.1  92.0   0.0    3   2051   1047    0    0    0  64.05    0.00  17.64  12.38  34.03  75.05  75.00  20.00  44.05  75.00  76.00  45.05   0.00
05:25:55   4.2   0.0   0.0  95.7   0.0    2   1957    713    0    0    0  55.35    0.00  15.96  11.18  28.20  75.05  75.00  20.00  44.05  75.00  76.00  45.05   0.00
