Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
21:37:33   0.0   0.0   0.0 100.0   0.0    1    159    277    0    0    0   4.06    0.00   1.08   0.17   2.81  54.05  54.00  20.00  41.05  54.00  64.00  42.05   0.00
21:37:34   0.0   0.0   0.0 100.0   0.0    1    185    111    0    0    0   4.89    0.00   1.35   0.08   3.47  53.05  54.00  20.00  41.05  54.00  64.00  42.05   0.00
21:37:35   0.0   0.0   0.1  99.9   0.0    2    260    159    4    3    3   3.08    0.00   0.88   0.24   1.95  55.05  55.00  20.00  41.05  55.00  57.00  42.05   0.00
21:37:36   4.2   0.0   0.0  95.8   0.0    2    284    665    0    0    0  53.56    0.00  16.33  11.43  25.79  73.05  73.00  20.00  41.05  73.00  57.00  42.05   0.00
21:37:37   4.2   0.0   0.0  95.8   0.0    2    340    587    0    0    0  52.66    0.00  16.07  11.29  25.30  73.05  73.00  20.00  41.05  73.00  70.00  42.05   0.00
21:37:38   4.2   0.0   0.0  95.8   0.0    2    172    580    0    0    0  52.30    0.00  15.97  11.21  25.12  73.05  73.00  20.00  41.05  73.00  70.00  42.05   0.00
21:37:39   4.2   0.0   0.0  95.8   0.0    2    203    583    0    0    0  52.44    0.00  16.01  11.20  25.23  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:40   4.2   0.0   0.0  95.8   0.0    2    132    553    0    0    0  52.22    0.00  15.94  11.20  25.08  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:41   4.2   0.0   0.0  95.8   0.0    2    138    545    0    0    0  53.35    0.00  16.11  11.18  26.06  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:42   4.2   0.0   0.0  95.8   0.0    2    152    572    0    0    0  52.31    0.00  15.88  11.14  25.29  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:43   4.2   0.0   0.0  95.8   0.0    2    464    580    0    0    0  52.56    0.00  15.94  11.19  25.43  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:44   4.2   0.0   0.0  95.8   0.0    2    124    551    0    0    0  52.21    0.00  15.85  11.12  25.24  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:45   4.2   0.0   0.0  95.8   0.0    2    141    545    0    0    0  52.31    0.00  15.88  11.14  25.28  74.05  74.00  20.00  41.05  74.00  74.00  42.05   0.00
21:37:46   4.2   0.0   0.0  95.8   0.0    2    142    568    0    0    0  52.17    0.00  15.84  11.11  25.22  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:47   4.2   0.0   0.0  95.8   0.0    2    184    562    0    0    0  52.31    0.00  15.88  11.14  25.28  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:48   4.2   0.0   0.0  95.8   0.0    2    184    595    0    0    0  53.31    0.00  16.03  11.11  26.17  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:49   4.2   0.0   0.1  95.7   0.0    2    283    655    0    0    0  55.69    0.00  16.36  11.37  27.96  74.05  74.00  20.00  41.05  74.00  74.00  42.05   0.00
21:37:50   4.2   0.0   0.0  95.8   0.0    2    147    569    0    0    0  54.23    0.00  15.93  11.13  27.17  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:51   4.2   0.0   0.0  95.8   0.0    2    184    570    0    0    0  54.33    0.00  15.98  11.11  27.24  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:52   4.2   0.0   0.0  95.8   0.0    2    182    553    0    0    0  53.43    0.00  15.89  11.11  26.43  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:53   4.2   0.0   0.0  95.8   0.0    2    112    533    0    0    0  52.35    0.00  15.85  11.10  25.39  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:54   4.2   0.0   0.0  95.8   0.0    2    144    572    0    0    0  52.23    0.00  15.86  11.11  25.26  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:55   4.2   0.0   0.0  95.8   0.0    2    168    558    0    0    0  52.23    0.00  15.85  11.10  25.28  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:56   4.2   0.0   0.0  95.8   0.0    2    131    551    0    0    0  52.15    0.00  15.83  11.09  25.23  73.05  73.00  20.00  41.05  73.00  74.00  42.05   0.00
21:37:57   4.2   0.0   0.0  95.8   0.0    2    136    533    0    0    0  52.23    0.00  15.86  11.12  25.25  73.05  73.00  20.00  41.05  73.00  73.00  42.05   0.00
21:37:58   4.2   0.0   0.0  95.8   0.0    2    180    571    0    0    0  52.23    0.00  15.86  11.12  25.26  72.05  72.00  20.00  41.05  72.00  73.00  42.05   0.00
21:37:59   4.2   0.0   0.0  95.8   0.0    2    177    552    0    0    0  52.52    0.00  15.98  11.12  25.43  71.05  71.00  20.00  42.05  71.00  74.00  42.05   0.00
21:38:00   4.2   0.0   0.0  95.8   0.0    2    175    602    0    0    0  52.39    0.00  15.86  11.08  25.46  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
21:38:01   4.2   0.0   0.0  95.8   0.0    2    124    542    0    0    0  52.97    0.00  15.97  11.07  25.93  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
21:38:02   4.2   0.0   0.0  95.8   0.0    2    169    585    0    0    0  53.25    0.00  16.02  11.08  26.15  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:03   4.2   0.0   0.0  95.8   0.0    2    185    556    0    0    0  52.37    0.00  15.92  11.10  25.35  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
21:38:04   4.2   0.0   0.0  95.8   0.0    2    122    545    0    0    0  52.11    0.00  15.81  11.08  25.22  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
21:38:05   4.2   0.0   0.0  95.8   0.0    2    125    533    0    0    0  52.10    0.00  15.81  11.07  25.22  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
21:38:06   4.2   0.0   0.0  95.8   0.0    2    132    568    0    0    0  52.11    0.00  15.80  11.06  25.25  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:07   4.2   0.0   0.0  95.8   0.0    2    190    556    0    0    0  52.13    0.00  15.81  11.05  25.27  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:08   4.2   0.0   0.0  95.8   0.0    2    160    554    0    0    0  52.05    0.00  15.78  11.04  25.22  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:09   4.2   0.0   0.0  95.8   0.0    2    134    539    0    0    0  52.08    0.00  15.79  11.05  25.23  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:10   4.2   0.0   0.0  95.8   0.0    2    182    559    0    0    0  52.22    0.00  15.83  11.07  25.32  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:11   4.2   0.0   0.0  95.8   0.0    2    182    563    0    0    0  52.31    0.00  15.89  11.07  25.35  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:12   4.2   0.0   0.0  95.8   0.0    2    138    552    0    0    0  52.12    0.00  15.82  11.08  25.22  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
21:38:13   4.2   0.0   0.0  95.8   0.0    2    430    546    0    0    0  52.27    0.00  15.82  11.10  25.35  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
