Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
18:06:39   0.0   0.0   0.0 100.0   0.0    1    217    347    0    0    0   4.70    0.00   1.27   0.19   3.25  54.05  54.00  20.00  40.05  54.00  68.00  41.05   0.00
18:06:40   0.0   0.0   0.0 100.0   0.0    1    228    147    0    0    0   4.98    0.00   1.36   0.08   3.54  53.05  53.00  20.00  40.05  53.00  59.00  41.05   0.00
18:06:41   0.0   0.0   0.1  99.8   0.0    3    292    146   11    3    3   2.93    0.00   0.81   0.15   1.96  50.05  50.00  20.00  40.05  50.00  59.00  41.05   0.00
18:06:42   3.9   0.0   0.3  95.8   0.0    2   2488    787    8    0    0  54.63    0.00  16.33  11.05  27.25  68.05  68.00  20.00  40.05  68.00  59.00  42.05   0.00
18:06:43   4.0   0.0   0.1  95.8   0.0    2   1683    644    4    0    0  56.06    0.00  16.82  11.50  27.75  70.05  70.00  20.00  40.05  70.00  55.00  42.05   0.00
18:06:44   4.0   0.0   0.2  95.8   0.0    2   1618    622    4    0    0  55.01    0.00  16.64  11.52  26.85  69.05  69.00  20.00  40.05  70.00  70.00  42.05   0.00
18:06:45   4.0   0.0   0.1  95.9   0.0    2   1511    564    2    0    0  55.26    0.00  16.72  11.59  26.95  70.05  70.00  20.00  40.05  70.00  70.00  42.05   0.00
18:06:46   4.2   0.0   0.1  95.8   0.0    2   1351    578    0    0    0  55.63    0.00  16.83  11.69  27.11  70.05  70.00  20.00  40.05  70.00  70.00  42.05   0.00
18:06:47   4.2   0.0   0.0  95.7   0.0    2   1651    560    0    0    0  56.64    0.00  17.00  11.67  27.96  70.05  70.00  20.00  40.05  69.00  70.00  42.05   0.00
18:06:48   4.1   0.0   0.1  95.8   0.0    2   1764    693    1    0    0  56.33    0.00  16.92  11.74  27.67  57.05  57.00  20.00  40.05  57.00  71.00  42.05   0.00
18:06:49   4.1   0.0   0.1  95.8   0.0    2    930    515    0    0    0  39.29    0.00  11.18   5.91  22.20  53.05  53.00  20.00  40.05  53.00  71.00  42.05   0.00
