Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
12:51:18   0.0   0.0   0.0 100.0   0.0    1    179    255    0    0    0   5.20    0.00   1.39   0.25   3.57  60.05  60.00  20.00  48.05  60.00  77.00  50.05   0.00
12:51:19   0.0   0.0   0.0 100.0   0.0    1    214    137    0    0    0   2.41    0.00   0.68   0.10   1.64  58.05  58.00  20.00  48.05  58.00  77.00  50.05   0.00
12:51:20   0.1   0.0   0.1  99.8   0.0    2    295    149   10    3    3   2.87    0.00   0.81   0.21   1.85  58.05  58.00  20.00  48.05  58.00  68.00  50.05   0.00
12:51:21  14.3   0.0   0.4  85.2   0.1    2  14689   7087   23    0    0 101.27    0.00  29.28  23.07  48.91  82.05  82.00  20.00  48.05  82.00  68.00  50.05   0.00
12:51:22   4.1   0.0   0.1  95.7   0.0    2   1926   8144    2    0    3  61.77    0.00  18.24  12.69  30.84  82.05  82.00  20.00  48.05  82.00  84.00  50.05   0.00
12:51:23   4.1   0.0   0.1  95.8   0.0    2   1446   6701    2    0    0  61.28    0.00  18.07  12.83  30.38  83.05  83.00  20.00  48.05  83.00  84.00  50.05   0.00
12:51:24   4.1   0.0   0.0  95.8   0.0    2   1284   8095    0    0    0  64.91    0.00  18.02  12.74  34.15  83.05  83.00  20.00  48.05  83.00  84.00  50.05   0.00
12:51:25   4.2   0.0   0.0  95.8   0.0    2   1291   4802    0    0    0  62.14    0.00  17.86  12.59  31.70  83.05  83.00  20.00  48.05  83.00  84.00  50.05   0.00
12:51:26   4.1   0.0   0.1  95.8   0.0    2   1230   2543    2    0    0  61.65    0.00  17.68  12.44  31.53  83.05  83.00  20.00  48.05  83.00  84.00  50.05   0.00
12:51:27   4.2   0.0   0.0  95.8   0.0    2   1181   2141    0    0    1  61.31    0.00  17.95  12.56  30.80  83.05  83.00  20.00  48.05  83.00  84.00  50.05   0.00
12:51:28   4.2   0.0   0.0  95.8   0.0    2   1326    602    0    0    0  59.22    0.00  17.50  12.31  29.41  83.05  83.00  20.00  48.05  83.00  84.00  50.05   0.00
12:51:29   4.2   0.0   0.0  95.8   0.0    2   1144    621    0    0    0  59.28    0.00  17.52  12.36  29.39  82.05  82.00  20.00  48.05  82.00  84.00  50.05   0.00
12:51:30   4.2   0.0   0.0  95.8   0.0    2   1245    534    0    0    0  58.62    0.00  17.28  12.10  29.24  79.05  79.00  20.00  48.05  79.00  83.00  50.05   0.00
12:51:31   4.1   0.0   0.0  95.9   0.0    2   1188    567    0    0    0  58.94    0.00  17.40  12.23  29.31  82.05  82.00  20.00  48.05  82.00  83.00  50.05   0.00
12:51:32   4.1   0.0   0.0  95.8   0.0    2   1339    585    0    0    3  60.04    0.00  17.57  12.23  30.24  81.05  81.00  20.00  48.05  81.00  82.00  50.05   0.00
12:51:33   4.2   0.0   0.0  95.8   0.0    2   1074    564    0    0    1  58.98    0.00  17.38  12.23  29.37  81.05  81.00  20.00  48.05  81.00  82.00  50.05   0.00
12:51:34   4.2   0.0   0.0  95.8   0.0    2   1158    475    0    0    0  58.68    0.00  17.31  12.18  29.20  82.05  82.00  20.00  47.05  82.00  82.00  50.05   0.00
12:51:35   4.1   0.0   0.0  95.9   0.0    2   1328    535    0    0    0  58.65    0.00  17.28  12.14  29.23  81.05  81.00  20.00  47.05  81.00  82.00  50.05   0.00
12:51:36   4.2   0.0   0.0  95.8   0.0    2   1144    539    0    0    0  58.61    0.00  17.26  12.13  29.23  81.05  81.00  20.00  47.05  81.00  82.00  50.05   0.00
12:51:37   4.2   0.0   0.0  95.8   0.0    2   1268    537    0    0    1  58.59    0.00  17.22  12.08  29.29  81.05  81.00  20.00  47.05  81.00  82.00  49.05   0.00
12:51:38   4.2   0.0   0.0  95.8   0.0    2   1174    496    0    0    0  58.41    0.00  17.19  12.06  29.16  81.05  81.00  20.00  47.05  81.00  81.00  49.05   0.00
12:51:39   4.1   0.0   0.0  95.8   0.0    2   1362    554    0    0    0  58.37    0.00  17.14  12.02  29.21  81.05  81.00  20.00  47.05  81.00  81.00  49.05   0.00
12:51:40   4.2   0.0   0.0  95.8   0.0    2   1088    531    0    0    0  58.31    0.00  17.14  12.03  29.14  81.05  81.00  20.00  47.05  81.00  81.00  49.05   0.00
12:51:41   4.2   0.0   0.0  95.8   0.0    2   1343    508    0    0    0  58.17    0.00  17.07  11.97  29.13  78.05  78.00  20.00  47.05  78.00  81.00  49.05   0.00
12:51:42   4.1   0.0   0.0  95.7   0.1    2   1244    675    1    0    1  59.32    0.00  17.28  11.97  30.07  79.05  79.00  20.00  47.05  81.00  81.00  49.05   0.00
12:51:43   4.1   0.0   0.0  95.9   0.0    2   1126    564    0    0    0  58.28    0.00  17.07  11.96  29.25  79.05  79.00  20.00  47.05  79.00  81.00  49.05   0.00
12:51:44   4.2   0.0   0.1  95.8   0.0    2   1294    533    0    0    0  58.02    0.00  17.01  11.91  29.10  79.05  79.00  20.00  47.05  79.00  81.00  49.05   0.00
12:51:45   4.2   0.0   0.0  95.8   0.0    2   1112    450    0    0    0  57.83    0.00  16.98  11.90  28.95  79.05  79.00  20.00  47.05  79.00  80.00  49.05   0.00
12:51:46   4.2   0.0   0.0  95.8   0.0    2   1316    539    0    0    0  57.93    0.00  16.99  11.89  29.05  79.05  79.00  20.00  47.05  79.00  80.00  49.05   0.00
12:51:47   4.2   0.0   0.0  95.8   0.0    2   1140    575    0    0    0  58.69    0.00  17.11  11.87  29.71  70.05  70.00  20.00  47.05  71.00  80.00  49.05   0.00
12:51:48   4.2   0.0   0.0  95.8   0.0    2   1340    594    0    0    0  57.68    0.00  16.86  11.76  29.06  72.05  72.00  20.00  47.05  72.00  80.00  49.05   0.00
12:51:49   4.3   0.0   0.0  95.7   0.0    2   1325    674    0    0    0  60.27    0.00  17.11  11.96  31.21  72.05  72.00  20.00  47.05  72.00  74.00  49.05   0.00
12:51:50   4.2   0.0   0.0  95.8   0.0    2   1084    581    0    0    0  59.48    0.00  16.90  11.76  30.82  72.05  72.00  20.00  46.05  72.00  74.00  49.05   0.00
12:51:51   4.1   0.0   0.0  95.9   0.0    2   1350    588    0    0    0  59.41    0.00  16.88  11.75  30.79  72.05  72.00  20.00  46.05  72.00  73.00  49.05   0.00
