          Category;                      Type;  Run Identifier;         Score;          Score Metric
openjdk-hotspot-vm;    unguarded_parametrized;         default;     72852.351;  Throughput (ops/sec)
     azul-prime-vm;    unguarded_parametrized;         default;    106064.248;  Throughput (ops/sec)
openjdk-hotspot-vm;                    lambda;         default;    144409.720;  Throughput (ops/sec)
    oracle-graalvm;  unguarded_unparametrized;         default;    103049.777;  Throughput (ops/sec)
      native-image;    unguarded_parametrized;             pgo;    121368.704;  Throughput (ops/sec)
     azul-prime-vm;      guarded_parametrized;         default;    146708.273;  Throughput (ops/sec)
    oracle-graalvm;    unguarded_parametrized;         default;     77909.095;  Throughput (ops/sec)
     azul-prime-vm;    guarded_unparametrized;         default;    102450.651;  Throughput (ops/sec)
    oracle-graalvm;      guarded_parametrized;         default;     70597.352;  Throughput (ops/sec)
        graalvm-ce;      guarded_parametrized;         default;     59653.601;  Throughput (ops/sec)
      native-image;      guarded_parametrized;         default;     89699.292;  Throughput (ops/sec)
     azul-prime-vm;                    lambda;         default;    101833.996;  Throughput (ops/sec)
 eclipse-openj9-vm;                    lambda;         default;     67198.160;  Throughput (ops/sec)
        graalvm-ce;                    lambda;         default;    152379.640;  Throughput (ops/sec)
     azul-prime-vm;  unguarded_unparametrized;         default;    100962.788;  Throughput (ops/sec)
      native-image;  unguarded_unparametrized;             pgo;    169518.270;  Throughput (ops/sec)
 eclipse-openj9-vm;      guarded_parametrized;         default;     44071.908;  Throughput (ops/sec)
    oracle-graalvm;                    lambda;         default;    169257.063;  Throughput (ops/sec)
      native-image;    guarded_unparametrized;             pgo;    172032.597;  Throughput (ops/sec)
        graalvm-ce;  unguarded_unparametrized;         default;    102001.301;  Throughput (ops/sec)
      native-image;    unguarded_parametrized;         default;     90047.621;  Throughput (ops/sec)
openjdk-hotspot-vm;      guarded_parametrized;         default;     59634.576;  Throughput (ops/sec)
 eclipse-openj9-vm;    unguarded_parametrized;         default;     51832.100;  Throughput (ops/sec)
      native-image;    guarded_unparametrized;         default;    174714.307;  Throughput (ops/sec)
      native-image;  unguarded_unparametrized;         default;    102365.029;  Throughput (ops/sec)
      native-image;      guarded_parametrized;             pgo;     77946.917;  Throughput (ops/sec)
      native-image;                    lambda;         default;    177112.985;  Throughput (ops/sec)
openjdk-hotspot-vm;    guarded_unparametrized;         default;    104937.572;  Throughput (ops/sec)
        graalvm-ce;    guarded_unparametrized;         default;     94485.457;  Throughput (ops/sec)
openjdk-hotspot-vm;  unguarded_unparametrized;         default;     95943.712;  Throughput (ops/sec)
      native-image;                    lambda;             pgo;    174514.276;  Throughput (ops/sec)
    oracle-graalvm;    guarded_unparametrized;         default;    102796.200;  Throughput (ops/sec)
 eclipse-openj9-vm;  unguarded_unparametrized;         default;     62023.827;  Throughput (ops/sec)
        graalvm-ce;    unguarded_parametrized;         default;     58684.130;  Throughput (ops/sec)
 eclipse-openj9-vm;    guarded_unparametrized;         default;     61930.262;  Throughput (ops/sec)
