          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
        graalvm-ce;    unguarded_parametrized;         default;                  1;        15.120;  Power (Watt)
        graalvm-ce;    unguarded_parametrized;         default;                  2;        13.270;  Power (Watt)
        graalvm-ce;    unguarded_parametrized;         default;                  3;        15.630;  Power (Watt)
        graalvm-ce;    unguarded_parametrized;         default;                  4;        67.040;  Power (Watt)
        graalvm-ce;    unguarded_parametrized;         default;                  5;        75.550;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  1;        17.530;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  2;        20.080;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  3;        17.490;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  4;        72.350;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  5;        87.030;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  6;        84.720;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  7;       106.390;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  8;        97.310;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                  9;       110.060;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 10;       106.810;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 11;       109.670;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 12;       106.150;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 13;       104.550;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 14;       103.920;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 15;        99.100;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 16;       117.350;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 17;       107.320;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 18;       107.430;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 19;       102.910;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 20;       106.100;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 21;       105.430;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 22;       102.570;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 23;       106.870;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 24;       106.060;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 25;       105.070;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 26;       105.470;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 27;       106.970;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 28;       106.150;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 29;       107.900;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 30;       106.920;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 31;       105.320;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 32;       102.030;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 33;       103.540;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 34;        98.630;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 35;       104.670;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 36;        91.200;  Power (Watt)
      native-image;    unguarded_parametrized;         default;                 37;        76.260;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  1;        18.220;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  2;        15.890;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  3;        17.650;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  4;        57.200;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  5;        64.420;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  6;        66.920;  Power (Watt)
openjdk-hotspot-vm;    unguarded_parametrized;         default;                  1;        16.890;  Power (Watt)
openjdk-hotspot-vm;    unguarded_parametrized;         default;                  2;        14.840;  Power (Watt)
openjdk-hotspot-vm;    unguarded_parametrized;         default;                  3;        17.280;  Power (Watt)
openjdk-hotspot-vm;    unguarded_parametrized;         default;                  4;       111.780;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  1;        17.680;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  2;        18.490;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  3;        13.790;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  4;        75.680;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  5;        88.020;  Power (Watt)
openjdk-hotspot-vm;  unguarded_unparametrized;         default;                  1;        17.450;  Power (Watt)
openjdk-hotspot-vm;  unguarded_unparametrized;         default;                  2;        14.740;  Power (Watt)
openjdk-hotspot-vm;  unguarded_unparametrized;         default;                  3;        15.090;  Power (Watt)
openjdk-hotspot-vm;  unguarded_unparametrized;         default;                  4;        86.040;  Power (Watt)
openjdk-hotspot-vm;  unguarded_unparametrized;         default;                  5;        92.330;  Power (Watt)
 eclipse-openj9-vm;    guarded_unparametrized;         default;                  1;        16.750;  Power (Watt)
 eclipse-openj9-vm;    guarded_unparametrized;         default;                  2;        13.860;  Power (Watt)
 eclipse-openj9-vm;    guarded_unparametrized;         default;                  3;        13.490;  Power (Watt)
 eclipse-openj9-vm;    guarded_unparametrized;         default;                  4;        59.420;  Power (Watt)
 eclipse-openj9-vm;    guarded_unparametrized;         default;                  5;        71.210;  Power (Watt)
 eclipse-openj9-vm;    guarded_unparametrized;         default;                  6;        73.700;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  1;        19.530;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  2;        19.130;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  3;        46.220;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  4;       116.960;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  5;       106.710;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  6;       114.470;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  7;        77.580;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  8;       104.890;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                  9;        88.580;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 10;        91.460;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 11;       126.100;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 12;       109.140;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 13;       107.540;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 14;       107.590;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 15;       106.050;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 16;       107.610;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 17;       112.080;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 18;       106.580;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 19;       102.590;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 20;       101.330;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 21;        85.110;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 22;       112.110;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 23;       113.340;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 24;       105.350;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 25;       105.310;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 26;       106.730;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 27;       106.480;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 28;       106.690;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 29;       105.680;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 30;       107.770;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 31;       104.430;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 32;       100.890;  Power (Watt)
      native-image;                    lambda;        pgo_g1gc;                 33;        79.660;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  1;         6.790;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  2;         5.280;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  3;         6.970;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  4;        75.760;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  5;        83.940;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  6;        93.400;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  7;        72.900;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  8;        91.160;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                  9;        77.090;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 10;       109.720;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 11;       111.480;  Power (Watt)
