Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
07:08:27   0.0   0.0   0.0 100.0   0.0    1    244    305    0    0    0   4.58    0.00   1.19   0.17   3.22  50.05  50.00  20.00  40.05  50.00  57.00  40.05   0.00
07:08:28   0.0   0.0   0.0 100.0   0.0    1    178     97    0    0    0   4.35    0.00   1.18   0.07   3.10  50.05  50.00  20.00  40.05  50.00  64.00  40.05   0.00
07:08:29   0.2   0.0   0.1  99.7   0.0    2    293    166   10    3    3   2.79    0.00   0.78   0.19   1.82  49.05  49.00  20.00  40.05  49.00  64.00  40.05   0.00
07:08:30   0.5   0.0   3.9  95.7   0.0    2   3196   1924   13    0    0  46.69    0.00  13.64   8.57  24.48  59.05  59.00  20.00  40.05  59.00  56.00  40.05   0.00
07:08:31   3.8   0.0   1.0  95.2   0.0    2   2209   1542   18    0    0  42.99    0.00  12.66   7.78  22.55  55.05  55.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:32   4.2   0.0   0.0  95.7   0.0    3   1808   1393    0    0    0  40.24    0.00  11.80   6.81  21.63  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:33   4.2   0.0   0.0  95.8   0.0    2   1949   1663    0    0    0  39.16    0.00  11.59   6.80  20.77  56.05  56.00  20.00  40.05  56.00  59.00  40.05   0.00
07:08:34   4.2   0.0   0.0  95.8   0.0    2   1938   1649    0    0    0  39.14    0.00  11.58   6.79  20.77  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:35   4.2   0.0   0.0  95.8   0.0    2   2036   1660    0    0    0  39.14    0.00  11.59   6.80  20.76  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:36   4.2   0.0   0.0  95.7   0.0    2   1971   1642    0    0    0  39.18    0.00  11.59   6.80  20.79  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:37   4.2   0.0   0.0  95.7   0.0    2   2008   1753    0    0    0  40.23    0.00  11.78   6.79  21.66  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:38   4.2   0.0   0.0  95.8   0.0    2   1953   1667    0    0    0  39.13    0.00  11.58   6.79  20.75  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:39   4.2   0.0   0.0  95.8   0.0    2   1998   1649    0    0    0  39.21    0.00  11.59   6.80  20.82  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:40   4.2   0.0   0.0  95.8   0.0    2   1920   1651    0    0    0  39.12    0.00  11.57   6.79  20.75  56.05  56.00  20.00  40.05  56.00  56.00  40.05   0.00
07:08:41   4.5   0.0   0.2  95.3   0.0    2   2271   2210    8    0    2  38.91    0.00  11.40   6.35  21.16  51.05  51.00  20.00  40.05  51.00  56.00  40.05   0.00
07:08:42   4.2   0.0   0.0  95.8   0.0    2    242    662    0    0    0  34.12    0.00   9.75   4.10  20.28  51.05  51.00  20.00  40.05  51.00  56.00  41.05   0.00
07:08:43   4.2   0.0   0.0  95.8   0.0    2    230    574    0    0    0  33.02    0.00   9.53   4.08  19.42  51.05  51.00  20.00  40.05  51.00  56.00  41.05   0.00
07:08:44   4.2   0.0   0.0  95.8   0.0    2    180    535    0    0    0  32.98    0.00   9.51   4.07  19.39  51.05  51.00  20.00  40.05  51.00  52.00  41.05   0.00
07:08:45   4.2   0.0   0.0  95.8   0.0    2    201    568    0    0    0  33.97    0.00   9.71   4.07  20.19  51.05  51.00  20.00  40.05  51.00  52.00  41.05   0.00
07:08:46   4.2   0.0   0.0  95.8   0.0    2    287    572    0    0    2  33.04    0.00   9.55   4.09  19.41  51.05  51.00  20.00  40.05  51.00  52.00  41.05   0.00
07:08:47   4.2   0.0   0.0  95.7   0.1    3    308    709    0    0    4  34.23    0.00   9.76   4.09  20.37  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:48   4.2   0.0   0.0  95.8   0.0    2    233    577    0    0    1  33.09    0.00   9.55   4.10  19.43  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:49   4.2   0.0   0.0  95.8   0.0    2    357    666    0    0    0  34.89    0.00   9.86   4.37  20.66  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:50   4.2   0.0   0.0  95.8   0.0    2    200    574    0    0    0  35.03    0.00   9.60   4.08  21.34  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:51   4.2   0.0   0.0  95.8   0.0    2    236    554    0    0    0  35.02    0.00   9.62   4.10  21.30  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:52   4.2   0.0   0.0  95.8   0.0    2    227    555    0    0    0  34.84    0.00   9.61   4.11  21.12  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:53   4.2   0.0   0.0  95.7   0.0    2    246    657    0    0    2  34.50    0.00   9.79   4.14  20.57  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:54   4.2   0.0   0.0  95.8   0.0    2    188    554    0    0    0  33.07    0.00   9.55   4.10  19.43  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:55   4.2   0.0   0.0  95.8   0.0    2    225    569    0    0    0  33.17    0.00   9.58   4.12  19.47  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:56   4.2   0.0   0.0  95.8   0.0    2    195    560    0    0    0  33.12    0.00   9.57   4.12  19.44  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:57   4.2   0.0   0.0  95.8   0.0    2    194    559    0    0    0  34.05    0.00   9.73   4.07  20.26  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:58   4.2   0.0   0.0  95.8   0.0    2    214    571    0    0    1  33.06    0.00   9.55   4.09  19.42  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:08:59   4.2   0.0   0.0  95.8   0.0    2    235    557    0    0    0  33.14    0.00   9.58   4.11  19.46  51.05  51.00  20.00  40.05  50.00  52.00  40.05   0.00
07:09:00   4.2   0.0   0.0  95.8   0.0    2    225    596    0    0    0  34.28    0.01   9.81   4.13  20.34  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:01   4.2   0.0   0.0  95.8   0.0    2    189    552    0    0    0  33.05    0.00   9.54   4.08  19.42  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:02   4.2   0.0   0.0  95.8   0.0    2    220    580    0    0    0  33.04    0.00   9.53   4.07  19.43  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:03   4.2   0.0   0.0  95.8   0.0    2    530    570    0    0    0  33.22    0.00   9.59   4.13  19.50  50.05  50.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:04   4.2   0.0   0.0  95.8   0.0    2    178    540    0    0    0  33.23    0.00   9.60   4.15  19.48  50.05  50.00  20.00  40.05  50.00  52.00  40.05   0.00
07:09:05   4.2   0.0   0.0  95.8   0.0    2    214    547    0    0    0  33.87    0.00   9.70   4.11  20.06  53.05  53.00  20.00  40.05  54.00  52.00  40.05   0.00
07:09:06   4.2   0.0   0.0  95.8   0.0    2    202    568    0    0    0  33.49    0.00   9.66   4.12  19.70  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:07   4.2   0.0   0.0  95.8   0.0    2    230    561    0    0    0  33.18    0.00   9.59   4.13  19.46  50.05  50.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:08   4.2   0.0   0.0  95.8   0.0    2    202    549    0    0    0  33.12    0.00   9.57   4.10  19.45  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
07:09:09   4.2   0.0   0.0  95.8   0.0    2    173    534    0    0    0  33.17    0.00   9.59   4.13  19.45  51.05  51.00  20.00  40.05  51.00  52.00  40.05   0.00
