Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
23:27:03   0.0   0.0   0.0 100.0   0.0    1    130    316    0    0    0   4.27    0.00   1.08   0.19   3.00  51.05  51.00  20.00  41.05  51.00  53.00  42.05   0.00
23:27:04   0.0   0.0   0.0 100.0   0.0    1    251    118    0    0    0   1.98    0.00   0.51   0.07   1.41  51.05  52.00  20.00  41.05  51.00  53.00  42.05   0.00
23:27:05   0.0   0.0   0.1  99.8   0.0    2    264    140    9    3    3   2.76    0.00   0.75   0.18   1.84  50.05  50.00  20.00  41.05  50.00  54.00  42.05   0.00
23:27:06   6.0   0.0   2.9  91.0   0.1    2  24175   2883   25    0    0  67.00    0.00  19.39  14.20  33.41  56.05  56.00  20.00  41.05  56.00  54.00  41.05   0.00
23:27:07   2.0   0.0   2.2  95.7   0.0    2    828    883    0    0    4  44.33    0.00  12.81   7.80  23.72  53.05  53.00  20.00  41.05  53.00  59.00  41.05   0.00
23:27:08   4.2   0.0   0.0  95.8   0.0    2    281    585    0    0    0  41.15    0.00  11.79   6.79  22.57  53.05  53.00  20.00  41.05  53.00  59.00  41.05   0.00
23:27:09   4.2   0.0   0.0  95.8   0.0    2    198    577    0    0    0  40.12    0.00  11.59   6.79  21.74  53.05  53.00  20.00  41.05  53.00  54.00  41.05   0.00
23:27:10   4.2   0.0   0.0  95.8   0.0    2    254    542    0    0    0  40.25    0.00  11.62   6.82  21.81  53.05  53.00  20.00  41.05  53.00  54.00  41.05   0.00
23:27:11   4.2   0.0   0.0  95.8   0.0    2    212    574    0    0    0  40.14    0.00  11.60   6.80  21.75  55.05  55.00  20.00  41.05  55.00  54.00  42.05   0.00
23:27:12   4.2   0.0   0.0  95.8   0.0    2    313    604    0    0    4  40.13    0.00  11.59   6.79  21.74  53.05  53.00  20.00  41.05  53.00  54.00  42.05   0.00
23:27:13   4.2   0.0   0.0  95.8   0.0    2    215    561    0    0    0  40.15    0.00  11.60   6.80  21.75  53.05  53.00  20.00  41.05  53.00  54.00  42.05   0.00
23:27:14   4.2   0.0   0.0  95.8   0.0    2    202    551    0    0    0  40.07    0.00  11.57   6.79  21.70  53.05  53.00  20.00  41.05  53.00  54.00  42.05   0.00
23:27:15   4.2   0.0   0.0  95.8   0.0    2    172    559    0    0    0  40.05    0.00  11.57   6.79  21.69  53.05  53.00  20.00  41.05  53.00  54.00  42.05   0.00
23:27:16   4.2   0.0   0.0  95.8   0.0    2    267    586    0    0    0  40.12    0.00  11.60   6.80  21.73  53.05  53.00  20.00  41.05  53.00  54.00  41.05   0.00
23:27:17   4.5   0.0   0.0  95.5   0.0    2    750    681    4    0    1  40.74    0.00  11.71   6.78  22.24  54.05  54.00  20.00  41.05  54.00  54.00  41.05   0.00
23:27:18   4.2   0.0   0.0  95.8   0.0    2    226    577    0    0    0  35.31    0.00   9.89   4.28  21.14  52.05  52.00  20.00  41.05  52.00  54.00  41.05   0.00
23:27:19   4.2   0.0   0.0  95.8   0.0    2    176    561    0    0    0  34.68    0.00   9.76   4.28  20.64  51.05  51.00  20.00  41.05  51.00  53.00  41.05   0.00
23:27:20   4.2   0.0   0.0  95.8   0.0    2    549    597    0    0    0  34.85    0.00   9.80   4.33  20.72  51.05  51.00  20.00  41.05  51.00  53.00  41.05   0.00
23:27:21   4.2   0.0   0.0  95.8   0.0    2    199    566    0    0    0  34.66    0.00   9.75   4.28  20.62  51.05  51.00  20.00  41.05  51.00  53.00  41.05   0.00
23:27:22   4.2   0.0   0.0  95.8   0.0    2    293    579    0    0    3  34.83    0.00   9.81   4.33  20.69  51.05  51.00  20.00  41.05  51.00  52.00  41.05   0.00
23:27:23   4.2   0.0   0.0  95.7   0.0    2    344    614    0    0    0  37.40    0.00  10.25   4.54  22.61  53.05  53.00  20.00  41.05  52.00  52.00  41.05   0.00
23:27:24   4.2   0.0   0.0  95.8   0.0    2    293    582    0    0    2  36.75    0.00   9.84   4.29  22.62  51.05  51.00  20.00  41.05  51.00  52.00  41.05   0.00
23:27:25   4.2   0.0   0.0  95.8   0.0    2    184    558    0    0    0  36.67    0.00   9.82   4.28  22.57  52.05  52.00  20.00  41.05  52.00  52.00  41.05   0.00
