Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
15:33:14   0.0   0.0   0.0 100.0   0.0    1    184    323    0    0    0   4.08    0.00   1.07   0.16   2.84  52.05  52.00  20.00  40.05  52.00  53.00  41.05   0.00
15:33:15   0.0   0.0   0.0 100.0   0.0    1    274    162    0    0    0   2.44    0.00   0.68   0.08   1.68  50.05  50.00  20.00  40.05  50.00  55.00  41.05   0.00
15:33:16   0.0   0.0   0.1  99.9   0.0    2    238    142    9    3    3   2.49    0.00   0.69   0.17   1.63  49.05  49.00  20.00  40.05  49.00  55.00  41.05   0.00
15:33:17   7.3   0.0   2.0  90.7   0.0    2  20598   3294   24    0    0  58.03    0.00  16.72  11.46  29.85  54.05  54.00  20.00  40.05  54.00  53.00  41.05   0.00
15:33:18   0.6   0.0   3.6  95.8   0.0    2   1404   1123    0    0    0  35.35    0.00  10.33   5.08  19.93  55.05  52.00  20.00  40.05  52.00  53.00  41.05   0.00
15:33:19   3.5   0.0   0.7  95.7   0.0    2    773    814    0    0    2  32.98    0.00   9.58   4.49  18.91  52.05  52.00  20.00  41.05  52.00  54.00  41.05   0.00
15:33:20   4.2   0.0   0.0  95.8   0.0    2    218    549    0    0    0  31.93    0.00   9.29   4.25  18.38  50.05  50.00  20.00  41.05  50.00  54.00  41.05   0.00
15:33:21   4.2   0.0   0.0  95.8   0.0    2    387    644    0    0    0  32.70    0.00   9.45   4.48  18.77  52.05  52.00  20.00  41.05  52.00  54.00  41.05   0.00
15:33:22   4.2   0.0   0.0  95.8   0.0    2    204    532    0    0    0  33.31    0.00   9.23   4.24  19.84  51.05  51.00  20.00  41.05  51.00  52.00  41.05   0.00
15:33:23   4.2   0.0   0.0  95.8   0.0    2    240    537    0    0    0  33.33    0.00   9.23   4.24  19.85  51.05  51.00  20.00  41.05  51.00  52.00  41.05   0.00
15:33:24   4.2   0.0   0.0  95.8   0.0    2    197    526    0    0    2  33.32    0.00   9.24   4.24  19.84  51.05  51.00  20.00  40.05  51.00  52.00  41.05   0.00
15:33:25   4.2   0.0   0.0  95.8   0.0    3    275    536    0    0    0  31.83    0.00   9.20   4.25  18.38  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
15:33:26   4.2   0.0   0.0  95.8   0.0    2    196    509    0    0    0  31.37    0.00   9.18   4.24  17.94  51.05  51.00  20.00  40.05  51.00  52.00  41.05   0.00
15:33:27   4.2   0.0   0.0  95.8   0.0    2    260    527    0    0    0  31.40    0.00   9.20   4.24  17.96  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
15:33:28   4.3   0.0   0.0  95.6   0.0    2    680    866    3    0    0  32.39    0.00   9.24   3.88  19.27  50.05  50.00  20.00  40.05  50.00  52.00  41.05   0.00
15:33:29   4.2   0.0   0.0  95.8   0.0    2    238    547    0    0    0  27.42    0.00   7.75   2.22  17.45  50.05  50.00  20.00  40.05  50.00  52.00  41.05   0.00
15:33:30   4.2   0.0   0.0  95.8   0.0    2    205    517    0    0    0  27.37    0.00   7.72   2.20  17.44  49.05  49.00  20.00  40.05  50.00  52.00  41.05   0.00
15:33:31   4.2   0.0   0.0  95.8   0.0    2    246    535    0    0    0  27.36    0.00   7.74   2.21  17.42  50.05  50.00  20.00  40.05  50.00  52.00  41.05   0.00
15:33:32   4.2   0.0   0.0  95.8   0.0    2    215    523    0    0    0  27.38    0.00   7.73   2.21  17.44  50.05  50.00  20.00  40.05  50.00  51.00  41.05   0.00
15:33:33   4.2   0.0   0.0  95.8   0.0    2    235    543    0    0    2  28.40    0.00   7.92   2.21  18.27  50.05  50.00  20.00  40.05  50.00  51.00  41.05   0.00
