          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;               random_heap;             pgo;                  1;         7.030;  Power (Watt)
      native-image;               random_heap;             pgo;                  2;         5.190;  Power (Watt)
      native-image;               random_heap;             pgo;                  3;         5.370;  Power (Watt)
      native-image;               random_heap;             pgo;                  4;        70.670;  Power (Watt)
      native-image;               random_heap;             pgo;                  5;        75.790;  Power (Watt)
      native-image;               random_heap;             pgo;                  6;        92.010;  Power (Watt)
      native-image;               random_heap;             pgo;                  7;        66.700;  Power (Watt)
      native-image;               random_heap;             pgo;                  8;        88.740;  Power (Watt)
      native-image;               random_heap;             pgo;                  9;        67.720;  Power (Watt)
      native-image;               random_heap;             pgo;                 10;        84.250;  Power (Watt)
      native-image;               random_heap;             pgo;                 11;       116.240;  Power (Watt)
      native-image;               random_heap;             pgo;                 12;       105.760;  Power (Watt)
      native-image;               random_heap;             pgo;                 13;       103.400;  Power (Watt)
      native-image;               random_heap;             pgo;                 14;       100.500;  Power (Watt)
      native-image;               random_heap;             pgo;                 15;       104.630;  Power (Watt)
      native-image;               random_heap;             pgo;                 16;       102.380;  Power (Watt)
      native-image;               random_heap;             pgo;                 17;       106.970;  Power (Watt)
      native-image;               random_heap;             pgo;                 18;       101.400;  Power (Watt)
      native-image;               random_heap;             pgo;                 19;        99.340;  Power (Watt)
      native-image;               random_heap;             pgo;                 20;       106.770;  Power (Watt)
      native-image;               random_heap;             pgo;                 21;       100.220;  Power (Watt)
      native-image;               random_heap;             pgo;                 22;       103.510;  Power (Watt)
      native-image;               random_heap;             pgo;                 23;       101.870;  Power (Watt)
      native-image;               random_heap;             pgo;                 24;       103.090;  Power (Watt)
      native-image;               random_heap;             pgo;                 25;       103.510;  Power (Watt)
      native-image;               random_heap;             pgo;                 26;       103.810;  Power (Watt)
      native-image;               random_heap;             pgo;                 27;       103.460;  Power (Watt)
      native-image;               random_heap;             pgo;                 28;        96.920;  Power (Watt)
      native-image;               random_heap;             pgo;                 29;        98.010;  Power (Watt)
      native-image;               random_page;         default;                  1;        18.620;  Power (Watt)
      native-image;               random_page;         default;                  2;        20.900;  Power (Watt)
      native-image;               random_page;         default;                  3;        18.940;  Power (Watt)
      native-image;               random_page;         default;                  4;       101.190;  Power (Watt)
      native-image;               random_page;         default;                  5;        95.770;  Power (Watt)
      native-image;               random_page;         default;                  6;        91.370;  Power (Watt)
      native-image;               random_page;         default;                  7;       109.620;  Power (Watt)
      native-image;               random_page;         default;                  8;        91.540;  Power (Watt)
      native-image;               random_page;         default;                  9;       122.740;  Power (Watt)
      native-image;               random_page;         default;                 10;       106.980;  Power (Watt)
      native-image;               random_page;         default;                 11;       105.660;  Power (Watt)
      native-image;               random_page;         default;                 12;       106.930;  Power (Watt)
      native-image;               random_page;         default;                 13;       105.760;  Power (Watt)
      native-image;               random_page;         default;                 14;       107.010;  Power (Watt)
      native-image;               random_page;         default;                 15;       110.380;  Power (Watt)
      native-image;               random_page;         default;                 16;       107.930;  Power (Watt)
      native-image;               random_page;         default;                 17;       107.400;  Power (Watt)
      native-image;               random_page;         default;                 18;       112.720;  Power (Watt)
      native-image;               random_page;         default;                 19;        93.000;  Power (Watt)
      native-image;               random_page;         default;                 20;       115.470;  Power (Watt)
      native-image;               random_page;         default;                 21;       104.450;  Power (Watt)
      native-image;               random_page;         default;                 22;       104.560;  Power (Watt)
      native-image;               random_page;         default;                 23;       105.170;  Power (Watt)
      native-image;               random_page;         default;                 24;       105.070;  Power (Watt)
      native-image;               random_page;         default;                 25;       104.750;  Power (Watt)
      native-image;               random_page;         default;                 26;       107.340;  Power (Watt)
      native-image;               random_page;         default;                 27;       106.620;  Power (Watt)
      native-image;               random_page;         default;                 28;       106.620;  Power (Watt)
      native-image;               random_page;         default;                 29;       107.180;  Power (Watt)
      native-image;               random_page;         default;                 30;       106.820;  Power (Watt)
      native-image;               random_page;         default;                 31;        99.840;  Power (Watt)
      native-image;               random_page;         default;                 32;       103.960;  Power (Watt)
      native-image;               random_page;         default;                 33;       105.730;  Power (Watt)
      native-image;               random_page;         default;                 34;        93.790;  Power (Watt)
      native-image;               random_page;         default;                 35;       100.000;  Power (Watt)
      native-image;               random_page;         default;                 36;        97.690;  Power (Watt)
 eclipse-openj9-vm;               random_page;         default;                  1;        14.520;  Power (Watt)
 eclipse-openj9-vm;               random_page;         default;                  2;        16.110;  Power (Watt)
 eclipse-openj9-vm;               random_page;         default;                  3;        16.800;  Power (Watt)
 eclipse-openj9-vm;               random_page;         default;                  4;        58.830;  Power (Watt)
 eclipse-openj9-vm;               random_page;         default;                  5;        65.250;  Power (Watt)
 eclipse-openj9-vm;               random_page;         default;                  6;        69.500;  Power (Watt)
      native-image;               random_heap;         default;                  1;        18.200;  Power (Watt)
      native-image;               random_heap;         default;                  2;        17.200;  Power (Watt)
      native-image;               random_heap;         default;                  3;        17.670;  Power (Watt)
      native-image;               random_heap;         default;                  4;        78.890;  Power (Watt)
      native-image;               random_heap;         default;                  5;        88.170;  Power (Watt)
      native-image;               random_heap;         default;                  6;        98.090;  Power (Watt)
      native-image;               random_heap;         default;                  7;        83.670;  Power (Watt)
      native-image;               random_heap;         default;                  8;        91.130;  Power (Watt)
      native-image;               random_heap;         default;                  9;        77.670;  Power (Watt)
      native-image;               random_heap;         default;                 10;       104.530;  Power (Watt)
      native-image;               random_heap;         default;                 11;       123.240;  Power (Watt)
      native-image;               random_heap;         default;                 12;       106.720;  Power (Watt)
      native-image;               random_heap;         default;                 13;       105.140;  Power (Watt)
      native-image;               random_heap;         default;                 14;       105.880;  Power (Watt)
      native-image;               random_heap;         default;                 15;       100.110;  Power (Watt)
      native-image;               random_heap;         default;                 16;        97.960;  Power (Watt)
