          Category;                      Type;  Run Identifier;  Power (Watt)
 eclipse-openj9-vm;               random_heap;         default;         4.260
 eclipse-openj9-vm;               random_heap;         default;         5.150
 eclipse-openj9-vm;               random_heap;         default;         2.580
 eclipse-openj9-vm;               random_heap;         default;        59.100
 eclipse-openj9-vm;               random_heap;         default;        46.690
 eclipse-openj9-vm;               random_heap;         default;        45.100
 eclipse-openj9-vm;               random_heap;         default;        43.800
 eclipse-openj9-vm;               random_heap;         default;        43.560
 eclipse-openj9-vm;               random_heap;         default;        43.410
 eclipse-openj9-vm;               random_heap;         default;        43.350
 eclipse-openj9-vm;               random_heap;         default;        43.350
 eclipse-openj9-vm;               random_heap;         default;        43.300
 eclipse-openj9-vm;               random_heap;         default;        43.370
 eclipse-openj9-vm;               random_heap;         default;        44.540
 eclipse-openj9-vm;               random_heap;         default;        45.550
 eclipse-openj9-vm;               random_heap;         default;        34.440
 eclipse-openj9-vm;               random_heap;         default;        33.470
 eclipse-openj9-vm;               random_heap;         default;        33.090
 eclipse-openj9-vm;               random_heap;         default;        31.660
 eclipse-openj9-vm;               random_heap;         default;        31.570
 eclipse-openj9-vm;               random_heap;         default;        32.520
 eclipse-openj9-vm;               random_heap;         default;        32.420
 eclipse-openj9-vm;               random_heap;         default;        32.590
 eclipse-openj9-vm;               random_heap;         default;        32.460
 eclipse-openj9-vm;               random_heap;         default;        32.490
 eclipse-openj9-vm;               random_heap;         default;        32.690
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.520
 eclipse-openj9-vm;               random_heap;         default;        32.490
 eclipse-openj9-vm;               random_heap;         default;        33.880
 eclipse-openj9-vm;               random_heap;         default;        33.580
 eclipse-openj9-vm;               random_heap;         default;        32.990
 eclipse-openj9-vm;               random_heap;         default;        32.590
 eclipse-openj9-vm;               random_heap;         default;        32.590
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        33.920
 eclipse-openj9-vm;               random_heap;         default;        32.800
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.870
 eclipse-openj9-vm;               random_heap;         default;        33.740
 eclipse-openj9-vm;               random_heap;         default;        32.690
 eclipse-openj9-vm;               random_heap;         default;        32.830
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        33.560
 eclipse-openj9-vm;               random_heap;         default;        32.820
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.810
 eclipse-openj9-vm;               random_heap;         default;        34.270
 eclipse-openj9-vm;               random_heap;         default;        34.820
 eclipse-openj9-vm;               random_heap;         default;        34.740
 eclipse-openj9-vm;               random_heap;         default;        34.760
 eclipse-openj9-vm;               random_heap;         default;        34.170
 eclipse-openj9-vm;               random_heap;         default;        32.810
 eclipse-openj9-vm;               random_heap;         default;        32.800
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.830
 eclipse-openj9-vm;               random_heap;         default;        33.760
 eclipse-openj9-vm;               random_heap;         default;        32.860
 eclipse-openj9-vm;               random_heap;         default;        32.820
 eclipse-openj9-vm;               random_heap;         default;        32.690
 eclipse-openj9-vm;               random_heap;         default;        32.680
 eclipse-openj9-vm;               random_heap;         default;        33.760
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.550
 eclipse-openj9-vm;               random_heap;         default;        32.530
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        35.520
 eclipse-openj9-vm;               random_heap;         default;        34.730
 eclipse-openj9-vm;               random_heap;         default;        34.700
 eclipse-openj9-vm;               random_heap;         default;        34.670
 eclipse-openj9-vm;               random_heap;         default;        33.920
 eclipse-openj9-vm;               random_heap;         default;        32.910
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.870
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.860
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        33.770
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.790
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        33.780
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.900
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.800
 eclipse-openj9-vm;               random_heap;         default;        32.850
 eclipse-openj9-vm;               random_heap;         default;        32.690
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        33.640
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.800
 eclipse-openj9-vm;               random_heap;         default;        34.430
 eclipse-openj9-vm;               random_heap;         default;        35.930
 eclipse-openj9-vm;               random_heap;         default;        34.700
 eclipse-openj9-vm;               random_heap;         default;        34.620
 eclipse-openj9-vm;               random_heap;         default;        32.980
 eclipse-openj9-vm;               random_heap;         default;        33.810
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.820
 eclipse-openj9-vm;               random_heap;         default;        33.790
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.820
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.690
 eclipse-openj9-vm;               random_heap;         default;        33.690
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.670
 eclipse-openj9-vm;               random_heap;         default;        32.690
 eclipse-openj9-vm;               random_heap;         default;        32.640
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        34.770
 eclipse-openj9-vm;               random_heap;         default;        34.700
 eclipse-openj9-vm;               random_heap;         default;        34.730
 eclipse-openj9-vm;               random_heap;         default;        34.500
 eclipse-openj9-vm;               random_heap;         default;        34.060
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        32.700
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        34.850
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.820
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.790
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.680
 eclipse-openj9-vm;               random_heap;         default;        33.610
 eclipse-openj9-vm;               random_heap;         default;        33.030
 eclipse-openj9-vm;               random_heap;         default;        33.040
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.850
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.810
 eclipse-openj9-vm;               random_heap;         default;        32.670
 eclipse-openj9-vm;               random_heap;         default;        33.720
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        32.710
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        35.200
 eclipse-openj9-vm;               random_heap;         default;        34.790
 eclipse-openj9-vm;               random_heap;         default;        34.760
 eclipse-openj9-vm;               random_heap;         default;        34.740
 eclipse-openj9-vm;               random_heap;         default;        33.220
 eclipse-openj9-vm;               random_heap;         default;        33.770
 eclipse-openj9-vm;               random_heap;         default;        32.730
 eclipse-openj9-vm;               random_heap;         default;        32.810
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        32.840
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        33.800
 eclipse-openj9-vm;               random_heap;         default;        32.860
 eclipse-openj9-vm;               random_heap;         default;        32.910
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.780
 eclipse-openj9-vm;               random_heap;         default;        32.890
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.740
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        33.750
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        33.840
 eclipse-openj9-vm;               random_heap;         default;        34.410
 eclipse-openj9-vm;               random_heap;         default;        34.730
 eclipse-openj9-vm;               random_heap;         default;        34.710
 eclipse-openj9-vm;               random_heap;         default;        34.740
 eclipse-openj9-vm;               random_heap;         default;        33.160
 eclipse-openj9-vm;               random_heap;         default;        32.800
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.840
 eclipse-openj9-vm;               random_heap;         default;        33.800
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.880
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.840
 eclipse-openj9-vm;               random_heap;         default;        33.800
 eclipse-openj9-vm;               random_heap;         default;        33.850
 eclipse-openj9-vm;               random_heap;         default;        32.800
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        33.610
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.630
 eclipse-openj9-vm;               random_heap;         default;        32.860
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        33.850
 eclipse-openj9-vm;               random_heap;         default;        32.850
 eclipse-openj9-vm;               random_heap;         default;        33.960
 eclipse-openj9-vm;               random_heap;         default;        32.750
 eclipse-openj9-vm;               random_heap;         default;        32.770
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        33.780
 eclipse-openj9-vm;               random_heap;         default;        33.750
 eclipse-openj9-vm;               random_heap;         default;        32.610
 eclipse-openj9-vm;               random_heap;         default;        32.760
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        34.430
 eclipse-openj9-vm;               random_heap;         default;        34.810
 eclipse-openj9-vm;               random_heap;         default;        34.790
 eclipse-openj9-vm;               random_heap;         default;        34.780
 eclipse-openj9-vm;               random_heap;         default;        33.000
 eclipse-openj9-vm;               random_heap;         default;        32.790
 eclipse-openj9-vm;               random_heap;         default;        34.770
 eclipse-openj9-vm;               random_heap;         default;        32.720
 eclipse-openj9-vm;               random_heap;         default;        32.760
