Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
08:26:57   0.0   0.0   0.0 100.0   0.0    1    170    290    0    0    0   5.21    0.00   1.36   0.17   3.69  51.05  51.00  20.00  40.05  51.00  58.00  41.05   0.00
08:26:58   0.0   0.0   0.0 100.0   0.0    1    194     86    0    0    0   1.86    0.00   0.52   0.07   1.27  50.05  51.00  20.00  40.05  51.00  58.00  41.05   0.00
08:26:59   0.0   0.0   0.1  99.9   0.0    2    291    164    5    3    3   2.77    0.00   0.78   0.22   1.77  49.05  49.00  20.00  40.05  49.00  58.00  41.05   0.00
08:27:00   8.0   0.0   0.8  91.2   0.0    2  36556   7350   39    0    1  63.21    0.00  17.55  12.10  33.56  72.05  71.00  20.00  40.05  71.00  54.00  41.05   0.00
08:27:01   4.5   0.0   0.1  95.4   0.0    2   1887    652    0    0    0  55.45    0.00  16.45  11.30  27.71  68.05  68.00  20.00  40.05  68.00  69.00  41.05   0.00
08:27:02   4.1   0.0   0.1  95.7   0.0    2    952    558    0    0    0  55.70    0.00  16.51  11.06  28.13  68.05  68.00  20.00  41.05  68.00  69.00  41.05   0.00
08:27:03   4.2   0.0   0.0  95.8   0.0    2   2531    704    0    0    0  55.71    0.00  16.56  11.21  27.94  68.05  68.00  20.00  41.05  68.00  68.00  41.05   0.00
08:27:04   4.1   0.0   0.0  95.8   0.0    2    688    538    0    0    0  54.78    0.00  16.39  11.15  27.24  68.05  68.00  20.00  41.05  68.00  68.00  41.05   0.00
08:27:05   4.9   0.0   0.1  94.9   0.1    2    733    626    0    0    0  56.40    0.00  16.53  11.20  28.68  66.05  66.00  20.00  41.05  66.00  68.00  41.05   0.00
08:27:06   4.1   0.0   0.2  95.6   0.0    2   2365    708    1    0    0  55.83    0.00  16.60  11.12  28.11  64.05  64.00  20.00  41.05  64.00  68.00  41.05   0.00
08:27:07   4.2   0.0   0.0  95.8   0.0    2    607    557    0    0    0  53.42    0.00  16.06  10.86  26.49  66.05  66.00  20.00  40.05  66.00  67.00  41.05   0.00
08:27:08   4.2   0.0   0.0  95.8   0.0    2    590    552    0    0    0  53.75    0.00  16.12  10.86  26.78  66.05  66.00  20.00  40.05  66.00  67.00  41.05   0.00
