Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
08:47:12   0.0   0.0   0.0 100.0   0.0    1    268    352    0    0    0   5.43    0.00   1.45   0.20   3.77  51.05  51.00  20.00  40.05  51.00  58.00  41.05   0.00
08:47:13   0.0   0.0   0.0 100.0   0.0    1    169     98    0    0    0   1.88    0.00   0.52   0.07   1.28  50.05  50.00  20.00  40.05  50.00  54.00  41.05   0.00
08:47:14   0.1   0.0   0.1  99.8   0.0    2    231    136    5    3    3   2.94    0.00   0.82   0.19   1.92  49.05  49.00  20.00  40.05  49.00  54.00  41.05   0.00
08:47:15   7.7   0.0   1.2  91.1   0.0    3  54488   9660   39    0    1  59.69    0.00  16.49  11.17  32.03  69.05  69.00  20.00  40.05  69.00  54.00  41.05   0.00
08:47:16   4.5   0.0   0.8  94.8   0.0    2   5572    796    0    0    0  53.83    0.00  15.84  10.71  27.29  72.05  72.00  20.00  40.05  72.00  58.00  41.05   0.00
08:47:17   4.2   0.0   0.0  95.7   0.0    2    378    680    0    0    0  41.32    0.00  12.13   7.00  22.20  50.05  50.00  20.00  40.05  52.00  59.00  41.05   0.00
08:47:18   4.2   0.0   0.0  95.8   0.0    2    341    626    0    0    0  39.68    0.00  11.75   6.81  21.12  50.05  50.00  20.00  40.05  50.00  59.00  41.05   0.00
08:47:19   4.2   0.0   0.0  95.8   0.0    2    435    657    0    0    0  39.67    0.00  11.74   6.80  21.13  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:20   4.2   0.0   0.0  95.8   0.0    2    395    641    0    0    0  39.72    0.00  11.75   6.81  21.16  53.05  53.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:21   4.2   0.0   0.0  95.7   0.0    2    678    697    0    0    1  39.74    0.00  11.75   6.81  21.18  52.05  52.00  20.00  40.05  52.00  53.00  41.05   0.00
08:47:22   4.2   0.0   0.0  95.8   0.0    2    522    731    0    0    0  41.87    0.00  12.01   7.01  22.85  52.05  52.00  20.00  40.05  53.00  53.00  41.05   0.00
08:47:23   4.2   0.0   0.0  95.8   0.0    2    398    675    0    0    0  41.63    0.00  11.81   6.80  23.02  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:24   4.2   0.0   0.0  95.8   0.0    2    364    638    0    0    0  41.57    0.00  11.79   6.80  22.99  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:25   4.2   0.0   0.0  95.8   0.0    2    364    641    0    0    0  40.83    0.00  11.76   6.80  22.27  50.05  50.00  20.00  40.05  50.00  52.00  41.05   0.00
08:47:26   4.2   0.0   0.0  95.8   0.0    2    366    647    0    0    0  40.76    0.00  11.93   6.80  22.03  50.05  50.00  20.00  40.05  50.00  52.00  41.05   0.00
08:47:27   4.2   0.0   0.0  95.7   0.1    2    503    747    1    0    0  40.86    0.00  12.00   6.81  22.05  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:28   4.2   0.0   0.0  95.8   0.0    2    353    633    0    0    0  39.68    0.00  11.75   6.80  21.13  52.05  52.00  20.00  40.05  50.00  52.00  41.05   0.00
08:47:29   4.2   0.0   0.0  95.8   0.0    2    352    657    0    0    0  39.68    0.00  11.76   6.80  21.12  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:30   4.2   0.0   0.0  95.8   0.0    2    356    637    0    0    0  39.77    0.00  11.77   6.81  21.19  52.05  52.00  20.00  40.05  52.00  52.00  41.05   0.00
08:47:31   4.2   0.0   0.0  95.8   0.0    2    403    654    0    0    0  39.70    0.00  11.76   6.80  21.13  52.05  52.00  20.00  40.05  52.00  53.00  41.05   0.00
08:47:32   4.2   0.0   0.0  95.8   0.0    2    365    633    0    0    0  39.81    0.00  11.80   6.84  21.17  56.05  56.00  20.00  40.05  56.00  53.00  41.05   0.00
08:47:33   4.2   0.0   0.0  95.8   0.0    2    360    659    0    0    0  43.44    0.00  12.88   7.85  22.72  56.05  56.00  20.00  40.05  56.00  57.00  41.05   0.00
