Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
08:30:46   0.0   0.0   0.0 100.0   0.0    1    166    368    0    0    0   5.23    0.00   1.28   0.19   3.75  52.05  52.00  20.00  42.05  52.00  55.00  43.05   0.00
08:30:47   0.0   0.0   0.0 100.0   0.0    1    200    109    0    0    0   2.34    0.00   0.60   0.07   1.67  52.05  52.00  20.00  42.05  52.00  55.00  43.05   0.00
08:30:48   0.1   0.0   0.1  99.8   0.0    1    603    227   10    3    3   3.85    0.00   1.01   0.21   2.63  51.05  51.00  20.00  42.05  50.00  54.00  43.05   0.00
08:30:49   6.5   0.0   2.3  91.1   0.0    2  20202   4077   38    0    2  72.54    0.00  21.22  15.89  35.43  58.05  58.00  20.00  42.05  58.00  54.00  43.05   0.00
08:30:50   4.0   0.0   0.5  95.6   0.0    2    869   2313    0    0    2  46.69    0.00  13.95   8.93  23.81  52.05  52.00  20.00  42.05  52.00  68.00  43.05   0.00
08:30:51   4.2   0.0   0.0  95.8   0.0    2    353    615    0    0    0  41.04    0.00  12.06   6.82  22.16  53.05  53.00  20.00  42.05  53.00  68.00  43.05   0.00
08:30:52   4.2   0.0   0.0  95.8   0.0    2    208    533    0    0    0  39.89    0.00  11.84   6.80  21.24  52.05  52.00  20.00  42.05  52.00  53.00  43.05   0.00
08:30:53   4.2   0.0   0.0  95.8   0.0    2    205    533    0    0    0  40.05    0.00  11.87   6.81  21.37  52.05  52.00  20.00  42.05  52.00  53.00  43.05   0.00
08:30:54   4.2   0.0   0.0  95.8   0.0    2    213    523    0    0    0  40.09    0.00  11.89   6.81  21.40  52.05  52.00  20.00  42.05  52.00  53.00  43.05   0.00
08:30:55   4.2   0.0   0.0  95.8   0.0    2    312    622    0    0    2  40.29    0.00  11.91   6.86  21.51  53.05  53.00  20.00  42.05  53.00  53.00  43.05   0.00
08:30:56   4.2   0.0   0.0  95.8   0.0    2    200    527    0    0    0  40.12    0.00  11.85   6.87  21.39  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:30:57   4.2   0.0   0.0  95.8   0.0    2    194    532    0    0    0  40.13    0.00  11.86   6.87  21.40  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:30:58   4.2   0.0   0.0  95.8   0.0    2    222    512    0    0    0  40.68    0.00  11.96   6.88  21.84  54.05  54.00  20.00  42.05  54.00  54.00  43.05   0.00
08:30:59   4.2   0.0   0.0  95.8   0.0    2    238    544    0    0    0  40.68    0.00  11.97   6.87  21.84  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:00   4.2   0.0   0.0  95.7   0.0    2    274    622    0    0    0  40.44    0.00  11.92   6.91  21.61  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:01   4.2   0.0   0.0  95.8   0.0    2    236    553    0    0    0  41.03    0.00  12.05   6.82  22.16  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:02   4.2   0.0   0.0  95.8   0.0    2    184    500    0    0    0  39.92    0.00  11.85   6.81  21.27  52.05  52.00  20.00  42.05  52.00  54.00  43.05   0.00
08:31:03   4.2   0.0   0.0  95.8   0.0    2    248    538    0    0    0  40.02    0.00  11.87   6.81  21.34  52.05  52.00  20.00  42.05  52.00  54.00  43.05   0.00
08:31:04   4.2   0.0   0.0  95.8   0.0    2    200    536    0    0    0  40.09    0.00  11.88   6.81  21.41  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:05   4.2   0.0   0.0  95.8   0.0    2    237    614    0    0    1  40.26    0.00  11.91   6.87  21.48  56.05  56.00  20.00  42.05  56.00  54.00  43.05   0.00
08:31:06   4.2   0.0   0.0  95.8   0.0    2    222    551    0    0    0  40.98    0.00  11.95   6.82  22.21  55.05  55.00  20.00  42.05  55.00  54.00  43.05   0.00
08:31:07   3.2   0.0   1.2  95.6   0.0    2    288    608    0    0    0  47.85    0.00  14.15   9.02  24.68  71.05  71.00  20.00  42.05  71.00  56.00  43.05   0.00
08:31:08   4.2   0.0   0.0  95.8   0.0    2    220    412    0    0    0  41.55    0.00  12.38   7.38  21.79  53.05  53.00  20.00  42.05  53.00  56.00  43.05   0.00
08:31:09   4.2   0.0   0.0  95.8   0.0    2    228    519    0    0    0  39.94    0.00  11.85   6.83  21.26  53.05  53.00  20.00  42.05  53.00  57.00  43.05   0.00
08:31:10   4.2   0.0   0.0  95.8   0.0    2    206    499    0    0    0  39.79    0.00  11.82   6.81  21.16  52.05  52.00  20.00  42.05  52.00  57.00  43.05   0.00
08:31:11   4.2   0.0   0.0  95.8   0.0    2    270    526    0    0    0  39.78    0.00  11.82   6.81  21.16  52.05  52.00  20.00  42.05  52.00  53.00  43.05   0.00
08:31:12   4.1   0.0   0.0  95.9   0.0    2    222    524    0    0    0  39.62    0.00  11.77   6.77  21.08  52.05  52.00  20.00  42.05  52.00  53.00  43.05   0.00
08:31:13   4.2   0.0   0.0  95.8   0.0    2    211    549    0    0    0  39.32    0.00  11.70   6.74  20.88  53.05  53.00  20.00  42.05  53.00  53.00  43.05   0.00
08:31:14   4.2   0.0   0.0  95.8   0.0    2    188    557    0    0    0  39.33    0.00  11.74   6.80  20.80  53.05  53.00  20.00  42.05  53.00  53.00  43.05   0.00
08:31:15   4.2   0.0   0.0  95.8   0.0    2    274    492    0    0    0  40.31    0.00  11.94   6.79  21.58  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:16   4.2   0.0   0.0  95.8   0.0    2    196    565    0    0    0  39.34    0.00  11.74   6.80  20.80  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:17   4.2   0.0   0.0  95.8   0.0    2    192    556    0    0    0  39.45    0.00  11.74   6.79  20.92  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:18   4.2   0.0   0.0  95.8   0.0    2    228    585    0    0    0  39.37    0.00  11.72   6.79  20.85  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:19   4.2   0.0   0.0  95.8   0.0    2    545    593    0    0    0  39.53    0.00  11.75   6.77  21.00  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:20   4.2   0.0   0.0  95.8   0.0    2    204    565    0    0    0  39.47    0.00  11.75   6.77  20.95  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:21   4.2   0.0   0.0  95.8   0.0    2    213    539    0    0    0  39.45    0.00  11.75   6.78  20.92  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:22   4.2   0.0   0.0  95.8   0.0    2    361    738    0    0    0  40.72    0.00  11.97   6.97  21.78  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:23   4.2   0.0   0.0  95.8   0.0    3    261    623    0    0    0  42.61    0.00  12.01   6.77  23.84  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:24   4.2   0.0   0.0  95.8   0.0    2    191    568    0    0    0  41.72    0.00  11.83   6.80  23.09  54.05  54.00  20.00  42.05  54.00  54.00  42.05   0.00
08:31:25   4.2   0.0   0.0  95.8   0.0    2    208    575    0    0    0  43.33    0.00  12.28   7.26  23.79  66.05  66.00  20.00  42.05  68.00  54.00  43.05   0.00
08:31:26   3.1   0.0   1.1  95.8   0.0    2    204    582    0    0    0  47.25    0.00  13.98   8.90  24.37  54.05  54.00  20.00  42.05  54.00  55.00  43.05   0.00
08:31:27   4.2   0.0   0.0  95.8   0.0    2    258    440    0    0    0  39.31    0.00  11.72   6.76  20.84  53.05  53.00  20.00  42.05  53.00  64.00  43.05   0.00
08:31:28   4.2   0.0   0.0  95.8   0.0    2    252    573    0    0    0  40.19    0.00  11.86   6.75  21.58  54.05  54.00  20.00  42.05  54.00  64.00  43.05   0.00
08:31:29   4.2   0.0   0.0  95.8   0.0    2    200    540    0    0    0  39.32    0.00  11.71   6.75  20.86  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:30   4.2   0.0   0.0  95.8   0.0    2    210    577    0    0    0  39.32    0.00  11.71   6.76  20.86  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:31   4.2   0.0   0.0  95.8   0.0    2    238    558    0    0    0  39.21    0.00  11.68   6.74  20.80  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:32   4.2   0.0   0.0  95.8   0.0    2    220    546    0    0    0  39.39    0.00  11.72   6.78  20.89  52.05  52.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:33   4.2   0.0   0.0  95.8   0.0    2    194    546    0    0    0  39.51    0.00  11.76   6.81  20.94  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:34   4.2   0.0   0.0  95.8   0.0    2    198    563    0    0    0  39.52    0.00  11.76   6.81  20.95  53.05  53.00  20.00  42.05  53.00  54.00  42.05   0.00
08:31:35   4.2   0.0   0.0  95.8   0.0    2    266    585    0    0    0  39.56    0.00  11.78   6.81  20.98  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:36   4.2   0.0   0.0  95.8   0.0    2    194    558    0    0    0  39.63    0.00  11.78   6.81  21.04  54.05  54.00  20.00  42.05  54.00  53.00  43.05   0.00
08:31:37   4.2   0.0   0.0  95.8   0.0    2    200    560    0    0    0  40.45    0.00  11.93   6.80  21.71  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:38   4.2   0.0   0.0  95.8   0.0    2    267    599    0    0    0  39.44    0.00  11.74   6.79  20.91  53.05  53.00  20.00  42.05  53.00  54.00  43.05   0.00
08:31:39   4.2   0.0   0.0  95.7   0.1    2    246    556    0    0    0  40.00    0.00  11.82   6.73  21.45  54.05  54.00  20.00  42.05  54.00  53.00  43.05   0.00
08:31:40   4.2   0.0   0.0  95.8   0.0    2    199    566    0    0    0  39.51    0.00  11.74   6.75  21.02  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:41   4.2   0.0   0.0  95.8   0.0    2    206    508    0    0    0  39.21    0.00  11.68   6.74  20.79  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:42   4.2   0.0   0.0  95.8   0.0    2    200    544    0    0    0  39.20    0.00  11.68   6.74  20.78  53.05  53.00  20.00  42.05  53.00  53.00  42.05   0.00
08:31:43   4.2   0.0   0.0  95.8   0.0    2    244    483    0    0    0  39.41    0.00  11.70   6.77  20.94  54.05  54.00  20.00  42.05  54.00  53.00  42.05   0.00
08:31:44   4.2   0.0   0.0  95.8   0.0    2    218    461    0    0    0  40.88    0.00  12.06   7.09  21.74  62.05  62.00  20.00  42.05  62.00  53.00  42.05   0.00
08:31:45   3.0   0.0   1.2  95.8   0.0    2    224    554    0    0    0  46.77    0.00  13.95   8.88  23.95  53.05  53.00  20.00  42.05  54.00  53.00  42.05   0.00
08:31:46   4.2   0.0   0.0  95.8   0.0    2    196    536    0    0    0  39.46    0.00  11.72   6.77  20.96  53.05  53.00  20.00  42.05  52.00  59.00  42.05   0.00
08:31:47   4.2   0.0   0.0  95.8   0.0    2    246    451    0    0    0  39.29    0.00  11.70   6.74  20.84  52.05  52.00  20.00  42.05  52.00  53.00  42.05   0.00
