Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
00:23:02   0.0   0.0   0.0 100.0   0.0    1    208    311    0    0    0   4.98    0.00   1.35   0.21   3.42  55.05  55.00  20.00  42.05  55.00  74.00  44.05   0.00
00:23:03   0.0   0.0   0.0 100.0   0.0    1    214    138    0    0    0   2.45    0.00   0.68   0.08   1.69  55.05  55.00  20.00  42.05  55.00  61.00  44.05   0.00
00:23:04   0.0   0.0   0.1  99.8   0.1    2    222    138    4    3    3   2.85    0.00   0.80   0.14   1.91  54.05  54.00  20.00  42.05  54.00  61.00  44.05   0.00
00:23:05   3.1   0.0   1.2  95.8   0.0    2    465    618    0    0    0  36.40    0.00  10.62   5.28  20.51  58.05  58.00  20.00  43.05  58.00  58.00  44.05   0.00
00:23:06   3.8   0.0   0.3  95.8   0.0    2    152    528    0    0    0  34.48    0.00  10.29   5.17  19.02  55.05  55.00  20.00  43.05  55.00  58.00  44.05   0.00
00:23:07   3.7   0.0   0.6  95.8   0.0    2    176    520    0    0    0  33.87    0.00  10.14   4.97  18.76  55.05  55.00  20.00  43.05  55.00  58.00  44.05   0.00
00:23:08   3.7   0.0   0.4  95.9   0.0    2    170    497    0    0    0  33.75    0.00  10.09   4.95  18.70  55.05  55.00  20.00  43.05  55.00  56.00  44.05   0.00
00:23:09   4.2   0.0   0.0  95.8   0.0    2    148    535    0    0    0  34.87    0.00  10.32   5.02  19.52  54.05  54.00  20.00  43.05  54.00  56.00  44.05   0.00
00:23:10   4.2   0.0   0.0  95.7   0.0    2    230    527    0    0    0  34.92    0.00  10.33   5.04  19.55  54.05  54.00  20.00  43.05  54.00  56.00  44.05   0.00
00:23:11   4.2   0.0   0.0  95.8   0.0    2    199    542    0    0    0  33.74    0.00  10.11   5.02  18.61  54.05  54.00  20.00  43.05  54.00  55.00  44.05   0.00
00:23:12   4.2   0.0   0.0  95.8   0.0    2    144    512    0    0    0  33.75    0.00  10.10   5.02  18.63  54.05  54.00  20.00  43.05  54.00  55.00  44.05   0.00
00:23:13   4.2   0.0   0.0  95.8   0.0    2    136    508    0    0    0  34.15    0.00  10.19   5.03  18.92  55.05  55.00  20.00  43.05  55.00  55.00  44.05   0.00
00:23:14   4.2   0.0   0.0  95.8   0.0    2    151    570    0    0    0  35.15    0.00  10.39   5.03  19.74  55.05  55.00  20.00  43.05  55.00  55.00  44.05   0.00
00:23:15   4.2   0.0   0.0  95.8   0.0    2    166    528    0    0    0  33.75    0.00  10.06   4.91  18.78  54.05  54.00  20.00  43.05  54.00  56.00  44.05   0.00
00:23:16   4.2   0.0   0.0  95.8   0.0    2    183    575    0    0    0  33.90    0.00  10.09   4.91  18.90  56.05  56.00  20.00  43.05  56.00  56.00  44.05   0.00
00:23:17   3.9   0.0   0.3  95.8   0.0    2    142    527    0    0    0  38.08    0.00  11.15   5.75  21.18  58.05  58.00  20.00  43.05  58.00  56.00  44.05   0.00
00:23:18   3.9   0.0   0.3  95.8   0.0    2    156    544    0    0    0  34.30    0.00  10.20   5.11  18.99  55.05  55.00  20.00  43.05  55.00  56.00  44.05   0.00
00:23:19   3.6   0.0   0.6  95.8   0.0    2    178    513    0    0    0  33.74    0.00  10.07   4.94  18.73  55.05  55.00  20.00  43.05  55.00  56.00  44.05   0.00
