Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
16:13:35   0.0   0.0   0.0 100.0   0.0    1    277    381    0    0    0   4.69    0.00   1.22   0.17   3.29  52.05  52.00  20.00  41.05  52.00  54.00  42.05   0.00
16:13:36   0.0   0.0   0.0 100.0   0.0    1    178    136    0    0    0   2.36    0.00   0.67   0.08   1.61  51.05  51.00  20.00  41.05  51.00  53.00  42.05   0.00
16:13:37   0.0   0.0   0.0  99.9   0.0    2    245    125    9    3    3   2.38    0.00   0.67   0.18   1.54  49.05  49.00  20.00  41.05  49.00  53.00  42.05   0.00
16:13:38   8.3   0.0   2.4  89.2   0.0    2  21691   5221   40    0    2  70.83    0.00  20.55  15.19  35.09  62.05  62.00  20.00  41.05  62.00  61.00  42.05   0.00
16:13:39   2.5   0.0   1.7  95.8   0.0    2    925    579    0    0    0  52.70    0.00  15.64  10.37  26.69  61.05  61.00  20.00  41.05  61.00  61.00  42.05   0.00
16:13:40   4.3   0.0   0.0  95.7   0.0    2   1696    673    0    0    0  57.84    0.00  17.07  11.39  29.38  66.05  66.00  20.00  41.05  66.00  63.00  42.05   0.00
16:13:41   4.2   0.0   0.0  95.8   0.0    2    949    575    0    0    0  44.11    0.00  12.82   7.14  24.14  57.05  57.00  20.00  41.05  57.00  63.00  42.05   0.00
16:13:42   4.2   0.0   0.0  95.8   0.0    2    651    553    0    0    0  39.12    0.00  11.43   5.94  21.75  58.05  58.00  20.00  41.05  58.00  57.00  42.05   0.00
16:13:43   4.1   0.0   0.1  95.8   0.0    2   1890    601    0    0    6  33.11    0.00   9.35   3.71  20.05  57.05  57.00  20.00  41.05  57.00  57.00  42.05   0.00
16:13:44   4.2   0.0   0.0  95.8   0.0    2    832    546    0    0    0  43.89    0.00  12.84   7.29  23.77  56.05  56.00  20.00  41.05  56.00  57.00  42.05   0.00
16:13:45   4.2   0.0   0.0  95.8   0.0    2    849    573    0    0    0  39.23    0.00  11.45   5.94  21.85  57.05  57.00  20.00  41.05  57.00  57.00  42.05   0.00
16:13:46   4.2   0.0   0.0  95.8   0.0    2    784    566    0    0    0  36.73    0.00  10.59   5.00  21.14  56.05  56.00  20.00  41.05  56.00  60.00  42.05   0.00
16:13:47   4.2   0.0   0.0  95.8   0.0    2    869    569    0    0    0  37.80    0.00  10.95   5.41  21.45  56.05  56.00  20.00  41.05  53.00  55.00  42.05   0.00
16:13:48   4.2   0.0   0.0  95.8   0.0    2    524    533    0    0    0  39.13    0.00  11.41   5.91  21.81  56.05  56.00  20.00  41.05  56.00  55.00  42.05   0.00
16:13:49   4.2   0.0   0.0  95.8   0.0    2   1846    682    0    0    0  35.48    0.00   9.75   3.98  21.76  52.05  52.00  20.00  41.05  52.00  56.00  42.05   0.00
16:13:50   4.3   0.0   0.2  95.4   0.1    2   2412   1427    0    0    0  37.49    0.00   9.97   3.98  23.54  56.05  56.00  20.00  41.05  56.00  56.00  42.05   0.00
16:13:51   4.2   0.0   0.0  95.8   0.0    2    567    585    0    0    0  41.25    0.00  11.53   5.96  23.76  56.05  56.00  20.00  41.05  56.00  54.00  42.05   0.00
16:13:52   4.2   0.0   0.1  95.6   0.0    2    906    572    0    0    0  39.75    0.00  11.14   5.54  23.08  52.05  52.00  20.00  41.05  52.00  54.00  42.05   0.00
16:13:53   4.2   0.0   0.0  95.8   0.0    2    819    554    0    0    0  36.78    0.00  10.54   4.95  21.30  55.05  55.00  20.00  41.05  55.00  56.00  42.05   0.00
16:13:54   4.2   0.0   0.0  95.8   0.0    2    493    560    0    0    0  39.25    0.00  11.47   5.95  21.83  57.05  57.00  20.00  41.05  57.00  56.00  42.05   0.00
16:13:55   4.2   0.0   0.0  95.8   0.0    2    872    521    0    0    0  39.45    0.00  11.36   5.61  22.48  53.05  53.00  20.00  41.05  53.00  56.00  42.05   0.00
16:13:56   4.4   0.0   0.1  95.5   0.0    2   1102    561    0    0    0  37.23    0.00  10.60   4.79  21.85  51.05  51.00  20.00  41.05  51.00  56.00  42.05   0.00
16:13:57   4.1   0.0   0.0  95.9   0.0    2    778    531    0    0    0  36.17    0.00  10.41   4.80  20.96  53.05  53.00  20.00  41.05  53.00  55.00  42.05   0.00
16:13:58   4.2   0.0   0.0  95.8   0.0    2    800    550    0    0    0  38.36    0.00  11.16   5.63  21.58  56.05  56.00  20.00  41.05  56.00  55.00  42.05   0.00
16:13:59   4.2   0.0   0.0  95.8   0.0    2    554    573    0    0    0  39.29    0.00  11.48   5.96  21.85  56.05  56.00  20.00  41.05  56.00  55.00  42.05   0.00
16:14:00   4.2   0.0   0.0  95.8   0.0    2   1173    540    0    0    0  36.74    0.00  10.59   4.95  21.20  52.05  52.00  20.00  41.05  52.00  55.00  42.05   0.00
16:14:01   4.2   0.0   0.0  95.8   0.0    2    486    396    0    0    0  37.97    0.00  11.04   5.50  21.43  57.05  57.00  20.00  41.05  57.00  56.00  42.05   0.00
16:14:02   4.1   0.0   0.0  95.9   0.0    2    816    409    0    0    0  39.21    0.00  11.46   5.94  21.81  56.05  56.00  20.00  41.05  56.00  56.00  42.05   0.00
16:14:03   4.3   0.0   0.0  95.7   0.0    2   2144    566    0    0    0  32.05    0.00   8.94   3.15  19.96  52.05  52.00  20.00  40.05  52.00  56.00  42.05   0.00
16:14:04   4.3   0.0   0.0  95.7   0.0    2   1579   1110    0    0    0  34.16    0.00   9.67   3.99  20.50  52.05  52.00  20.00  40.05  52.00  56.00  42.05   0.00
16:14:05   4.3   0.0   0.2  95.5   0.0    2    521    491    0    0    0  40.24    0.00  11.67   5.95  22.61  52.05  52.00  20.00  40.05  52.00  56.00  42.05   0.00
16:14:06   4.1   0.0   0.0  95.9   0.0    2    808    469    0    0    0  37.90    0.00  11.01   5.45  21.43  53.05  53.00  20.00  40.05  53.00  52.00  42.05   0.00
16:14:07   4.2   0.0   0.0  95.8   0.0    2    818    441    0    0    0  36.75    0.00  10.62   5.04  21.08  57.05  57.00  20.00  40.05  54.00  53.00  42.05   0.00
