Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
08:55:09   0.0   0.0   0.0 100.0   0.0    1    152    338    0    0    0   4.54    0.00   1.20   0.16   3.18  52.05  52.00  20.00  40.05  52.00  61.00  41.05   0.00
08:55:10   0.0   0.0   0.0 100.0   0.0    1    250    101    0    0    0   2.21    0.00   0.62   0.10   1.48  52.05  52.00  20.00  40.05  52.00  61.00  41.05   0.00
08:55:11   0.0   0.0   0.1  99.8   0.0    2    286    184    3    3    3   5.88    0.00   1.62   0.20   4.06  52.05  52.00  20.00  40.05  52.00  56.00  41.05   0.00
08:55:12  20.6   0.0   3.1  76.2   0.0    3  35844  18235   66    0    0  83.67    0.00  24.59  18.88  40.20  58.05  58.00  20.00  40.05  58.00  54.00  41.05   0.00
08:55:13   8.7   0.0   0.3  91.0   0.0    3   3233   8474    0    0    0  49.69    0.00  14.72   9.26  25.71  57.05  57.00  20.00  41.05  57.00  54.00  41.05   0.00
08:55:14   8.6   0.0   0.3  91.1   0.0    3   3224   2139    0    0    0  49.13    0.00  14.52   9.09  25.52  57.05  57.00  20.00  41.05  57.00  59.00  41.05   0.00
08:55:15  10.0   0.0   0.2  89.8   0.0    3   3976   3275    0    0    0  53.80    0.00  15.74  10.28  27.77  60.05  60.00  20.00  41.05  60.00  59.00  41.05   0.00
08:55:16   8.5   0.0   0.3  91.1   0.0    3   3433   2443    0    0    0  64.92    0.00  17.86  12.32  34.74  66.05  66.00  20.00  41.05  66.00  59.00  41.05   0.00
08:55:17   7.0   0.0   0.1  92.8   0.0    2   3051   2173    0    0    0  57.94    0.00  16.06  10.52  31.36  53.05  53.00  20.00  41.05  53.00  59.00  41.05   0.00
08:55:18   4.5   0.0   0.2  95.2   0.0    2   2899   2136    0    0    0  40.01    0.00  11.64   6.36  22.00  55.05  55.00  20.00  41.05  53.00  69.00  41.05   0.00
08:55:19   4.3   0.0   0.3  95.3   0.0    2   3186   2127    0    0    0  39.44    0.00  11.49   6.22  21.73  53.05  53.00  20.00  41.05  53.00  69.00  41.05   0.00
08:55:20   4.5   0.0   0.2  95.3   0.0    2   3069   2123    0    0    0  39.49    0.00  11.50   6.23  21.76  53.05  53.00  20.00  41.05  52.00  69.00  41.05   0.00
08:55:21   4.4   0.0   0.3  95.4   0.0    2   2929   2086    0    0    0  40.42    0.00  11.67   6.20  22.55  53.05  53.00  20.00  41.05  52.00  54.00  41.05   0.00
08:55:22   4.5   0.0   0.2  95.4   0.0    3   3002   2066    0    0    0  39.67    0.00  11.50   6.22  21.95  52.05  52.00  20.00  41.05  53.00  53.00  41.05   0.00
08:55:23   4.3   0.0   0.3  95.4   0.0    2   3031   2254    0    0    0  42.08    0.00  11.73   6.39  23.96  53.05  53.00  20.00  41.05  53.00  53.00  41.05   0.00
08:55:24   4.3   0.0   0.2  95.5   0.0    2   2810   1944    0    0    0  41.22    0.00  11.50   6.17  23.56  52.05  52.00  20.00  41.05  52.00  54.00  41.05   0.00
08:55:25   4.5   0.0   0.2  95.2   0.0    2   3098   2153    0    0    0  42.57    0.00  11.78   6.24  24.55  53.05  53.00  20.00  41.05  53.00  54.00  41.05   0.00
08:55:26   4.3   0.0   0.3  95.4   0.0    2   2882   2078    0    0    0  40.08    0.00  11.51   6.21  22.35  52.05  52.00  20.00  41.05  52.00  53.00  41.05   0.00
08:55:27   4.4   0.0   0.3  95.3   0.0    2   2935   1960    0    0    0  40.35    0.00  11.65   6.17  22.54  52.05  52.00  20.00  41.05  52.00  53.00  41.05   0.00
08:55:28   4.4   0.0   0.2  95.5   0.0    2   2822   2000    0    0    0  39.24    0.00  11.45   6.17  21.63  53.05  53.00  20.00  41.05  53.00  54.00  41.05   0.00
08:55:29   4.3   0.0   0.2  95.5   0.0    2   3112   2051    0    0    0  39.45    0.00  11.50   6.21  21.74  52.05  52.00  20.00  41.05  52.00  54.00  41.05   0.00
08:55:30   4.4   0.0   0.3  95.4   0.0    2   2784   1945    0    0    0  39.29    0.00  11.47   6.18  21.63  53.05  53.00  20.00  41.05  53.00  54.00  41.05   0.00
