Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
07:19:42   0.0   0.0   0.0 100.0   0.0    1    246    379    0    0    0   5.65    0.00   1.55   0.22   3.88  50.05  50.00  20.00  39.05  50.00  62.00  39.05   0.00
07:19:43   0.0   0.0   0.0 100.0   0.0    1    217    105    0    0    0   2.29    0.00   0.65   0.08   1.57  49.05  49.00  20.00  39.05  49.00  62.00  39.05   0.00
07:19:44   0.0   0.0   0.1  99.8   0.0    2    509    212    5    3    3   3.99    0.00   1.13   0.19   2.67  48.05  48.00  20.00  39.05  48.00  55.00  39.05   0.00
07:19:45   4.9   0.0   0.6  94.5   0.0    2  32647   2100   39    0    1  42.00    0.00  11.90   6.60  23.49  50.05  50.00  20.00  39.05  50.00  52.00  39.05   0.00
07:19:46   4.2   0.0   0.1  95.7   0.0    2   3246    732    0    0    0  35.29    0.00  10.55   5.72  19.02  50.05  50.00  20.00  39.05  50.00  52.00  39.05   0.00
07:19:47   4.2   0.0   0.0  95.8   0.0    2   3224    846    0    0    0  37.69    0.00  10.87   5.97  20.84  49.05  49.00  20.00  39.05  50.00  51.00  39.05   0.00
07:19:48   4.4   0.0   0.1  95.5   0.0    2   3207    776    0    0    0  38.77    0.00  10.93   5.82  22.03  50.05  50.00  20.00  39.05  50.00  51.00  39.05   0.00
07:19:49   4.2   0.0   0.1  95.7   0.0    3   3071    703    0    0    0  36.88    0.00  10.45   5.55  20.88  50.05  50.00  20.00  39.05  50.00  51.00  39.05   0.00
07:19:50   4.4   0.0   0.0  95.6   0.0    2   3144    766    0    0    0  36.73    0.00  10.61   5.71  20.40  49.05  49.00  20.00  39.05  49.00  51.00  39.05   0.00
07:19:51   4.1   0.0   0.0  95.8   0.0    2   3516    734    0    0    0  35.17    0.00  10.42   5.56  19.18  49.05  49.00  20.00  39.05  49.00  51.00  39.05   0.00
07:19:52   4.3   0.0   0.0  95.7   0.0    2   3393    737    0    0    0  36.16    0.00  10.66   5.60  19.91  50.05  50.00  20.00  39.05  50.00  51.00  39.05   0.00
