Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
09:11:00   0.0   0.0   0.0 100.0   0.0    1    233    305    0    0    0   4.89    0.00   1.29   0.21   3.38  52.05  52.00  20.00  42.05  52.00  59.00  42.05   0.00
09:11:01   0.0   0.0   0.0 100.0   0.0    1    180    114    0    0    0   4.96    0.00   1.34   0.08   3.55  52.05  52.00  20.00  42.05  52.00  56.00  42.05   0.00
09:11:02   0.1   0.0   0.1  99.8   0.0    2    289    164    9    3    3   3.07    0.00   0.86   0.19   2.02  50.05  50.00  20.00  42.05  50.00  56.00  42.05   0.00
09:11:03   9.0   0.0   1.1  89.9   0.0    2  21919   3434   30    0    0  75.78    0.00  22.28  16.88  36.61  58.05  58.00  20.00  42.05  58.00  54.00  42.05   0.00
09:11:04   3.9   0.0   0.2  95.9   0.0    2   2047    518    3    0    0  40.54    0.00  11.94   6.44  22.17  59.05  59.00  20.00  42.05  59.00  54.00  42.05   0.00
09:11:05   4.2   0.0   0.0  95.8   0.0    2   2536    538    3    0    0  42.65    0.00  12.46   6.69  23.50  59.05  59.00  20.00  42.05  59.00  59.00  42.05   0.00
09:11:06   4.4   0.0   0.2  95.4   0.0    2   2494    893    1    0    3  41.88    0.00  12.26   6.73  22.89  59.05  59.00  20.00  42.05  59.00  59.00  42.05   0.00
09:11:07   4.2   0.0   0.1  95.6   0.0    2   2690    742    0    0    0  42.41    0.00  12.46   6.77  23.18  59.05  59.00  20.00  42.05  59.00  59.00  42.05   0.00
09:11:08   4.2   0.0   0.1  95.7   0.0    2   2272    501    0    0    0  42.28    0.00  12.44   6.76  23.08  58.05  58.00  20.00  42.05  58.00  59.00  42.05   0.00
09:11:09   4.2   0.0   0.0  95.8   0.0    2   2904    648    0    0    3  42.67    0.00  12.53   6.84  23.30  58.05  58.00  20.00  42.05  58.00  59.00  43.05   0.00
09:11:10   4.2   0.0   0.1  95.6   0.0    2   2535    576    0    0    0  43.48    0.00  12.67   6.79  24.02  59.05  58.00  20.00  42.05  58.00  59.00  43.05   0.00
09:11:11   4.2   0.0   0.0  95.8   0.0    2   2333    539    0    0    0  43.33    0.00  12.49   6.79  24.06  57.05  57.00  20.00  42.05  57.00  59.00  43.05   0.00
09:11:12   4.1   0.0   0.0  95.8   0.0    2   2526    494    0    0    0  42.30    0.00  12.42   6.77  23.11  57.05  57.00  20.00  42.05  57.00  59.00  43.05   0.00
09:11:13   4.2   0.0   0.0  95.8   0.0    2   2500    490    0    0    0  42.27    0.00  12.41   6.76  23.10  57.05  57.00  20.00  42.05  57.00  57.00  43.05   0.00
09:11:14   4.1   0.0   0.0  95.8   0.0    2   2232    522    0    0    1  42.25    0.00  12.41   6.75  23.09  57.05  57.00  20.00  42.05  57.00  57.00  43.05   0.00
09:11:15   4.2   0.0   0.0  95.8   0.0    2   2601    543    0    0    0  43.46    0.00  12.64   6.77  24.04  58.05  58.00  20.00  42.05  58.00  58.00  43.05   0.00
09:11:16   4.1   0.0   0.1  95.8   0.0    2   2564    510    0    0    0  42.33    0.00  12.43   6.78  23.13  57.05  57.00  20.00  42.05  57.00  58.00  43.05   0.00
09:11:17   4.1   0.0   0.0  95.9   0.0    2   2288    475    0    0    0  42.25    0.00  12.40   6.76  23.09  57.05  57.00  20.00  42.05  57.00  57.00  43.05   0.00
09:11:18   4.1   0.0   0.0  95.8   0.0    2   2583    468    0    0    0  42.37    0.00  12.45   6.80  23.12  58.05  58.00  20.00  42.05  58.00  57.00  43.05   0.00
09:11:19   4.2   0.0   0.1  95.7   0.0    2   2591    538    0    0    2  42.24    0.00  12.40   6.74  23.10  58.05  58.00  20.00  42.05  58.00  57.00  42.05   0.00
09:11:20   4.2   0.0   0.0  95.8   0.0    2   2235    529    0    0    0  43.25    0.00  12.59   6.74  23.92  58.05  58.00  20.00  42.05  59.00  58.00  42.05   0.00
09:11:21   4.1   0.0   0.0  95.9   0.0    2   2564    515    0    0    0  42.46    0.00  12.41   6.74  23.32  58.05  58.00  20.00  42.05  59.00  60.00  42.05   0.00
09:11:22   4.1   0.0   0.0  95.9   0.0    2   2397    668    0    0    0  45.04    0.00  12.69   6.95  25.40  57.05  57.00  20.00  42.05  57.00  60.00  42.05   0.00
09:11:23   4.1   0.0   0.0  95.9   0.0    2   2490    543    0    0    0  44.27    0.00  12.50   6.77  25.00  57.05  57.00  20.00  42.05  57.00  56.00  42.05   0.00
09:11:24   4.2   0.0   0.1  95.7   0.0    2   2550    543    0    0    0  44.27    0.00  12.49   6.77  25.00  56.05  56.00  20.00  42.05  56.00  56.00  43.05   0.00
09:11:25   4.1   0.0   0.0  95.9   0.0    2   2272    508    0    0    0  43.87    0.00  12.63   6.76  24.48  56.05  56.00  20.00  42.05  56.00  57.00  43.05   0.00
09:11:26   4.4   0.0   0.2  95.4   0.0    2   2509    532    0    0    0  42.36    0.00  12.44   6.77  23.15  57.05  57.00  20.00  42.05  57.00  57.00  43.05   0.00
09:11:27   4.2   0.0   0.1  95.7   0.0    2   2578    569    0    0    0  42.35    0.00  12.43   6.75  23.16  56.05  56.00  20.00  42.05  56.00  57.00  43.05   0.00
09:11:28   4.4   0.0   0.0  95.6   0.0    2   2285    492    0    0    0  42.23    0.00  12.42   6.74  23.07  57.05  57.00  20.00  42.05  57.00  57.00  43.05   0.00
09:11:29   4.2   0.0   0.0  95.7   0.1    2   2601    506    0    0    0  43.51    0.00  12.65   6.75  24.11  57.05  57.00  20.00  42.05  57.00  57.00  42.05   0.00
09:11:30   4.1   0.0   0.0  95.8   0.0    2   2582    506    0    0    0  43.34    0.00  12.63   6.75  23.95  57.05  57.00  20.00  42.05  57.00  57.00  42.05   0.00
09:11:31   4.1   0.0   0.2  95.7   0.0    2   2270    492    0    0    0  42.23    0.00  12.43   6.75  23.05  57.05  57.00  20.00  42.05  57.00  57.00  42.05   0.00
09:11:32   4.2   0.0   0.0  95.8   0.0    2   2618    511    0    0    0  42.32    0.00  12.45   6.77  23.10  56.05  56.00  20.00  42.05  56.00  57.00  42.05   0.00
09:11:33   4.2   0.0   0.2  95.7   0.0    2   2554    494    0    0    0  42.23    0.00  12.42   6.74  23.07  58.05  58.00  20.00  42.05  58.00  57.00  42.05   0.00
09:11:34   4.1   0.0   0.0  95.9   0.0    2   2256    460    0    0    0  42.32    0.00  12.45   6.77  23.10  58.05  58.00  20.00  42.05  58.00  57.00  42.05   0.00
09:11:35   4.2   0.0   0.0  95.8   0.0    2   2627    523    0    0    0  42.44    0.00  12.48   6.80  23.15  58.05  58.00  20.00  42.05  58.00  59.00  42.05   0.00
