Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
00:25:11   0.0   0.0   0.0 100.0   0.0    1    234    323    0    0    0   4.82    0.00   1.30   0.18   3.33  52.05  52.00  20.00  40.05  52.00  64.00  41.05   0.00
00:25:12   0.0   0.0   0.0 100.0   0.0    1    480    160    0    0    0   2.77    0.00   0.78   0.09   1.90  50.05  50.00  20.00  40.05  50.00  64.00  41.05   0.00
00:25:13   0.1   0.0   0.1  99.8   0.0    2    270    159   10    3    3   2.79    0.00   0.79   0.20   1.80  49.05  49.00  20.00  40.05  49.00  56.00  41.05   0.00
00:25:14   5.5   0.0   0.6  93.9   0.0    2   8347   1513   28    0    1  59.39    0.00  17.52  12.30  29.58  67.05  67.00  20.00  40.05  67.00  56.00  41.05   0.00
00:25:15   4.4   0.0   0.3  95.2   0.0    2   3169    753    8    0    5  56.91    0.00  17.01  11.70  28.19  71.05  71.00  20.00  40.05  71.00  66.00  41.05   0.00
00:25:16   4.0   0.0   0.3  95.7   0.0    2   2726    629    2    0    3  56.96    0.00  16.94  11.34  28.68  71.05  71.00  20.00  40.05  71.00  66.00  41.05   0.00
00:25:17   4.1   0.0   0.0  95.9   0.0    2   2370    522    0    0    0  55.47    0.00  16.63  11.33  27.51  71.05  71.00  20.00  40.05  71.00  72.00  41.05   0.00
00:25:18   4.3   0.0   0.1  95.6   0.0    2   2512    632    0    0    0  56.50    0.00  16.85  11.35  28.30  71.05  71.00  20.00  40.05  71.00  72.00  41.05   0.00
00:25:19   4.1   0.0   0.0  95.9   0.0    2   2488    576    0    0    0  55.49    0.00  16.64  11.34  27.50  72.05  72.00  20.00  40.05  72.00  72.00  41.05   0.00
00:25:20   4.2   0.0   0.0  95.7   0.0    2   2440    539    0    0    0  55.49    0.00  16.64  11.34  27.51  72.05  72.00  20.00  40.05  72.00  72.00  41.05   0.00
00:25:21   4.1   0.0   0.0  95.9   0.0    2   2458    583    0    0    2  55.60    0.00  16.67  11.36  27.57  71.05  71.00  20.00  40.05  72.00  72.00  41.05   0.00
00:25:22   4.3   0.0   0.0  95.6   0.0    2   2346    640    0    0    0  56.55    0.00  16.83  11.33  28.39  64.05  64.00  20.00  40.05  62.00  72.00  41.05   0.00
00:25:23   4.4   0.0   0.1  95.5   0.0    2   2609    701    0    0    0  57.78    0.00  16.82  11.45  29.50  64.05  64.00  20.00  40.05  64.00  69.00  41.05   0.00
00:25:24   4.2   0.0   0.0  95.8   0.0    2   2417    601    0    0    0  57.39    0.00  16.56  11.20  29.64  64.05  64.00  20.00  40.05  64.00  69.00  41.05   0.00
00:25:25   4.1   0.0   0.0  95.9   0.0    2   2425    567    0    0    0  57.46    0.00  16.59  11.23  29.64  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:26   4.2   0.0   0.0  95.8   0.0    2   2392    617    0    0    0  56.44    0.00  16.52  11.19  28.72  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:27   4.2   0.0   0.1  95.7   0.0    2   2467    560    0    0    0  55.23    0.00  16.51  11.21  27.51  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:28   4.2   0.0   0.0  95.8   0.0    2   2475    590    0    0    0  55.29    0.00  16.55  11.24  27.50  62.05  62.00  20.00  40.05  62.00  64.00  41.05   0.00
00:25:29   4.4   0.0   0.0  95.6   0.0    2   2418    605    0    0    0  54.53    0.00  16.27  10.96  27.29  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:30   4.1   0.0   0.1  95.8   0.0    2   2400    627    0    0    0  54.50    0.00  16.26  10.96  27.28  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:31   4.1   0.0   0.0  95.9   0.0    2   2443    619    0    0    0  54.53    0.00  16.26  10.95  27.31  62.05  62.00  20.00  40.05  62.00  64.00  41.05   0.00
00:25:32   4.1   0.0   0.0  95.9   0.0    2   2423    585    0    0    0  54.48    0.00  16.24  10.94  27.30  61.05  61.00  20.00  40.05  61.00  64.00  41.05   0.00
00:25:33   4.1   0.0   0.2  95.7   0.0    2   2142    596    0    0    0  54.51    0.00  16.26  10.96  27.30  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:34   4.1   0.0   0.0  95.8   0.0    2   2320    600    0    0    0  54.52    0.00  16.26  10.95  27.31  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:35   4.1   0.0   0.0  95.9   0.0    2   2471    586    0    0    0  54.55    0.00  16.27  10.96  27.32  64.05  64.00  20.00  40.05  64.00  64.00  40.05   0.00
00:25:36   4.3   0.0   0.0  95.6   0.0    2   2399    615    0    0    0  54.51    0.00  16.25  10.94  27.32  62.05  62.00  20.00  40.05  62.00  64.00  40.05   0.00
00:25:37   4.2   0.0   0.1  95.7   0.0    2   2394    596    0    0    0  55.54    0.00  16.45  10.95  28.15  62.05  62.00  20.00  40.05  62.00  64.00  40.05   0.00
00:25:38   4.4   0.0   0.1  95.5   0.0    2   2421    645    0    0    0  54.63    0.00  16.28  10.97  27.38  64.05  64.00  20.00  40.05  64.00  64.00  40.05   0.00
00:25:39   4.1   0.0   0.0  95.9   0.0    2   2465    620    0    0    0  54.49    0.00  16.25  10.95  27.29  62.05  62.00  20.00  40.05  62.00  64.00  40.05   0.00
00:25:40   4.1   0.0   0.0  95.9   0.0    2   2384    600    0    0    0  54.48    0.00  16.24  10.95  27.29  60.05  60.00  20.00  40.05  60.00  64.00  41.05   0.00
00:25:41   4.1   0.0   0.0  95.8   0.0    2   2094    583    0    0    0  55.61    0.00  16.46  10.97  28.19  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:42   4.2   0.0   0.1  95.6   0.0    2   2733    645    0    0    0  54.64    0.00  16.26  10.97  27.41  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:43   4.1   0.0   0.0  95.9   0.0    2   2416    659    0    0    0  54.54    0.00  16.25  10.95  27.35  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:44   4.2   0.0   0.0  95.8   0.0    2   2422    587    0    0    0  54.57    0.00  16.27  10.97  27.33  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:45   4.2   0.0   0.0  95.8   0.0    2   2412    545    0    0    0  54.46    0.00  16.25  10.95  27.27  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:46   4.1   0.0   0.0  95.8   0.0    2   2424    619    0    0    0  54.55    0.00  16.26  10.96  27.32  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:47   4.2   0.0   0.1  95.7   0.0    2   2465    643    0    0    0  54.57    0.00  16.27  10.96  27.34  62.05  62.00  20.00  40.05  62.00  64.00  41.05   0.00
00:25:48   4.1   0.0   0.0  95.9   0.0    3   2075    590    0    0    0  54.47    0.00  16.23  10.94  27.29  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:49   4.2   0.0   0.0  95.8   0.0    2   2620    690    0    0    0  57.32    0.00  16.54  11.16  29.62  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:50   4.1   0.0   0.0  95.9   0.0    2   2401    611    0    0    0  57.57    0.00  16.50  10.94  30.13  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:51   4.1   0.0   0.0  95.9   0.0    2   2459    668    0    0    0  56.69    0.00  16.35  10.97  29.37  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:52   4.1   0.0   0.1  95.8   0.0    2   2386    565    0    0    0  55.40    0.00  16.28  10.95  28.17  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:53   4.1   0.0   0.0  95.9   0.0    2   2354    570    0    0    0  54.63    0.00  16.26  10.95  27.41  64.05  64.00  20.00  41.05  64.00  64.00  41.05   0.00
00:25:54   4.1   0.0   0.0  95.9   0.0    2   2392    539    0    0    0  54.57    0.00  16.27  10.97  27.33  62.05  62.00  20.00  41.05  62.00  64.00  41.05   0.00
00:25:55   4.1   0.0   0.0  95.8   0.0    2   2388    533    0    0    0  54.60    0.00  16.28  10.97  27.34  62.05  62.00  20.00  41.05  62.00  64.00  41.05   0.00
00:25:56   4.1   0.0   0.0  95.8   0.0    2   2115    550    0    0    0  55.62    0.00  16.47  10.96  28.19  64.05  64.00  20.00  41.05  64.00  64.00  41.05   0.00
00:25:57   4.1   0.0   0.0  95.9   0.0    2   2389    523    0    0    0  54.58    0.00  16.28  10.96  27.34  64.05  64.00  20.00  41.05  64.00  64.00  41.05   0.00
00:25:58   4.1   0.0   0.0  95.9   0.0    2   2408    563    0    0    0  54.62    0.00  16.28  10.97  27.36  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:25:59   4.1   0.0   0.0  95.9   0.0    2   2438    615    0    0    0  54.71    0.00  16.30  10.99  27.42  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:00   4.2   0.0   0.0  95.8   0.0    2   2391    579    0    0    0  54.73    0.01  16.30  10.98  27.45  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:01   4.2   0.0   0.0  95.8   0.0    2   2375    563    0    0    0  54.74    0.00  16.31  10.99  27.43  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:02   4.2   0.0   0.0  95.8   0.0    2   2404    555    0    0    0  54.72    0.00  16.31  10.99  27.43  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:03   4.2   0.0   0.0  95.8   0.0    2   2420    572    0    0    0  54.68    0.00  16.30  10.97  27.41  61.05  61.00  20.00  40.05  61.00  64.00  41.05   0.00
00:26:04   4.2   0.0   0.1  95.7   0.0    2   2106    547    0    0    0  54.71    0.00  16.31  10.99  27.41  64.05  64.00  20.00  40.05  64.00  65.00  41.05   0.00
00:26:05   4.2   0.0   0.0  95.8   0.0    2   2364    580    0    0    0  55.75    0.00  16.49  10.98  28.28  64.05  64.00  20.00  40.05  64.00  65.00  41.05   0.00
00:26:06   4.1   0.0   0.0  95.9   0.0    2   2457    548    0    0    0  54.66    0.00  16.29  10.98  27.39  65.05  65.00  20.00  40.05  65.00  64.00  41.05   0.00
00:26:07   4.2   0.0   0.1  95.7   0.0    2   2378    577    0    0    0  54.69    0.00  16.30  10.99  27.40  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:08   4.1   0.0   0.0  95.9   0.0    2   2412    538    0    0    0  54.63    0.00  16.28  10.97  27.38  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:09   4.2   0.0   0.1  95.7   0.0    2   2402    515    0    0    0  54.63    0.00  16.28  10.97  27.37  62.05  62.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:10   4.1   0.0   0.1  95.8   0.0    2   2452    549    0    0    0  54.76    0.00  16.30  10.99  27.47  62.05  62.00  20.00  40.05  62.00  64.00  41.05   0.00
00:26:11   4.2   0.0   0.0  95.8   0.0    2   2182    574    0    0    0  55.78    0.00  16.51  10.99  28.28  64.05  64.00  20.00  40.05  64.00  65.00  41.05   0.00
00:26:12   4.1   0.0   0.0  95.9   0.0    2   2759    579    0    0    0  54.82    0.00  16.31  10.99  27.53  64.05  64.00  20.00  40.05  64.00  64.00  41.05   0.00
00:26:13   4.1   0.0   0.0  95.9   0.0    2   2352    530    0    0    0  54.62    0.00  16.27  10.98  27.37  64.05  64.00  20.00  41.05  64.00  64.00  41.05   0.00
00:26:14   4.2   0.0   0.0  95.8   0.0    2   2414    568    0    0    0  54.61    0.00  16.27  10.98  27.37  64.05  64.00  20.00  41.05  64.00  65.00  41.05   0.00
00:26:15   4.1   0.0   0.0  95.9   0.0    2   2470    544    0    0    0  54.60    0.00  16.27  10.97  27.36  64.05  64.00  20.00  41.05  64.00  65.00  41.05   0.00
00:26:16   4.2   0.0   0.0  95.8   0.0    2   2410    562    0    0    0  54.61    0.00  16.27  10.98  27.36  65.05  65.00  20.00  41.05  65.00  64.00  41.05   0.00
