          Category;                      Type;  Run Identifier;  Throughput (Ops/sec)
    oracle-graalvm;           string_template;         default;           5268787.663
 eclipse-openj9-vm;            string_builder;         default;           1472199.030
        graalvm-ce;            string_builder;         default;           2742734.320
     azul-prime-vm;           string_template;         default;           4538093.868
     azul-prime-vm;             plus_operator;         default;           7220061.861
 eclipse-openj9-vm;             plus_operator;         default;           1978379.405
      native-image;             plus_operator;        pgo_g1gc;           6985074.987
openjdk-hotspot-vm;            string_builder;         default;           2880942.105
      native-image;             plus_operator;         default;           6123137.845
     azul-prime-vm;            string_builder;         default;           3922371.362
      native-image;            string_builder;         default;           6063722.665
        graalvm-ce;             plus_operator;         default;           4640973.847
 eclipse-openj9-vm;           string_template;         default;           2063128.657
      native-image;           string_template;        pgo_g1gc;           6007729.043
        graalvm-ce;           string_template;         default;           4702264.439
      native-image;           string_template;         default;           6123602.124
    oracle-graalvm;            string_builder;         default;           3639490.106
    oracle-graalvm;             plus_operator;         default;           5609743.243
      native-image;            string_builder;        pgo_g1gc;           6506957.802
openjdk-hotspot-vm;           string_template;         default;           5158226.806
openjdk-hotspot-vm;             plus_operator;         default;           4778111.834
