Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
11:07:53   0.0   0.0   0.0 100.0   0.0    1    163    315    0    0    0   4.30    0.00   1.15   0.18   2.97  50.05  50.00  20.00  39.05  50.00  55.00  39.05   0.00
11:07:54   0.0   0.0   0.0 100.0   0.0    1    214    112    0    0    0   4.65    0.00   1.27   0.08   3.30  49.05  49.00  20.00  39.05  49.00  55.00  39.05   0.00
11:07:55   0.0   0.0   0.1  99.9   0.0    3    294    163    5    3    3   2.84    0.00   0.80   0.17   1.87  48.05  48.00  20.00  39.05  48.00  52.00  39.05   0.00
11:07:56   8.0   0.0   0.8  91.2   0.0    3  67635   9824   39    0    1  47.50    0.00  12.76   7.43  27.31  53.05  53.00  20.00  39.05  53.00  52.00  39.05   0.00
11:07:57   4.9   0.0   0.0  95.0   0.0    2   3143    877    0    0    0  37.88    0.00  11.19   6.33  20.36  57.05  57.00  20.00  39.05  57.00  57.00  39.05   0.00
11:07:58   4.2   0.0   0.0  95.7   0.0    2   1315    651    0    0    0  37.40    0.00  10.97   5.97  20.46  58.05  58.00  20.00  39.05  58.00  57.00  39.05   0.00
11:07:59   4.2   0.0   0.0  95.8   0.0    2   1305    652    0    0    0  36.39    0.00  10.77   5.97  19.65  58.05  58.00  20.00  39.05  60.00  59.00  39.05   0.00
11:08:00   4.2   0.0   0.0  95.8   0.0    2   1312    660    0    0    0  36.47    0.00  10.79   5.98  19.70  58.05  58.00  20.00  39.05  60.00  59.00  39.05   0.00
11:08:01   4.2   0.0   0.0  95.8   0.0    2   1575    629    0    0    0  36.46    0.00  10.79   5.98  19.69  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:02   4.2   0.0   0.0  95.8   0.0    2   1314    620    0    0    0  36.37    0.00  10.76   5.96  19.65  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:03   4.2   0.0   0.0  95.8   0.0    2   1319    654    0    0    0  36.40    0.00  10.78   5.97  19.65  60.05  60.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:04   4.2   0.0   0.0  95.8   0.0    2   1272    617    0    0    0  36.34    0.00  10.76   5.96  19.62  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:05   4.2   0.0   0.0  95.8   0.0    2   1298    640    0    0    0  36.40    0.00  10.78   5.96  19.66  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:06   4.2   0.0   0.0  95.8   0.0    2   1304    494    0    0    0  36.31    0.00  10.77   5.96  19.59  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:07   4.2   0.0   0.0  95.7   0.0    2   1332    644    0    0    0  37.41    0.00  10.96   5.96  20.48  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:08   4.2   0.0   0.0  95.7   0.1    2   1359    654    2    0    0  37.40    0.00  10.96   5.96  20.49  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:09   4.2   0.0   0.0  95.8   0.0    2   1281    633    0    0    0  36.36    0.00  10.77   5.96  19.64  58.05  58.00  20.00  39.05  58.00  59.00  39.05   0.00
11:08:10   4.2   0.0   0.0  95.7   0.0    2   1371    607    0    0    0  36.46    0.00  10.80   5.98  19.68  60.05  60.00  20.00  39.05  58.00  59.00  39.05   0.00
