Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
10:51:17   0.0   0.0   0.0 100.0   0.0    1    187    343    0    0    0   4.37    0.00   1.16   0.18   3.03  50.05  50.00  20.00  40.05  50.00  53.00  40.05   0.00
10:51:18   0.0   0.0   0.0 100.0   0.0    1    169     82    0    0    0   1.93    0.00   0.55   0.07   1.31  50.05  50.00  20.00  40.05  50.00  53.00  40.05   0.00
10:51:19   0.0   0.0   0.1  99.8   0.0    2    380    204    9    3    3   3.50    0.00   0.98   0.20   2.31  49.05  49.00  20.00  40.05  49.00  52.00  40.05   0.00
10:51:20   9.4   0.0   0.6  90.0   0.0    2  14554   2964   24    0    1  67.06    0.00  19.74  14.69  32.62  66.05  66.00  20.00  40.05  66.00  52.00  40.05   0.00
10:51:21   4.2   0.0   0.0  95.8   0.0    2    853    729    0    0    5  51.03    0.00  15.51  10.75  24.77  66.05  66.00  20.00  40.05  66.00  65.00  40.05   0.00
10:51:22   4.1   0.0   0.0  95.8   0.0    2    889    608    0    0    0  52.14    0.00  15.68  10.74  25.71  65.05  65.00  20.00  40.05  65.00  65.00  40.05   0.00
10:51:23   4.2   0.0   0.0  95.8   0.0    2    956    683    0    0    0  53.77    0.00  15.82  11.00  26.96  66.05  66.00  20.00  40.05  66.00  65.00  40.05   0.00
10:51:24   4.1   0.0   0.0  95.9   0.0    2    732    530    0    0    0  52.84    0.00  15.58  10.78  26.48  65.05  65.00  20.00  40.05  66.00  67.00  40.05   0.00
10:51:25   4.1   0.0   0.0  95.9   0.0    2    797    535    0    0    0  52.83    0.00  15.58  10.77  26.47  69.05  69.00  20.00  40.05  69.00  66.00  40.05   0.00
10:51:26   4.1   0.0   0.0  95.8   0.0    2    736    524    0    0    0  51.58    0.00  15.52  10.75  25.31  69.05  69.00  20.00  40.05  69.00  66.00  40.05   0.00
10:51:27   4.2   0.0   0.0  95.8   0.0    2    832    558    0    0    0  51.10    0.00  15.56  10.78  24.76  69.05  69.00  20.00  40.05  69.00  70.00  40.05   0.00
10:51:28   4.2   0.0   0.0  95.8   0.0    2   1042    572    0    0    0  51.10    0.00  15.55  10.78  24.77  69.05  69.00  20.00  40.05  71.00  70.00  40.05   0.00
10:51:29   4.3   0.0   0.1  95.7   0.0    2    951    625    0    0    0  51.53    0.00  15.59  10.81  25.13  68.05  68.00  20.00  40.05  68.00  70.00  40.05   0.00
10:51:30   4.2   0.0   0.0  95.8   0.0    2    754    596    0    0    0  50.94    0.00  15.51  10.76  24.67  69.05  69.00  20.00  40.05  69.00  70.00  40.05   0.00
10:51:31   4.1   0.0   0.0  95.9   0.0    2    828    559    0    0    0  51.01    0.00  15.53  10.77  24.71  69.05  69.00  20.00  40.05  69.00  71.00  40.05   0.00
10:51:32   4.2   0.0   0.0  95.8   0.0    2    750    545    0    0    0  51.97    0.00  15.71  10.76  25.50  69.05  69.00  20.00  40.05  69.00  71.00  40.05   0.00
10:51:33   4.1   0.0   0.0  95.9   0.0    2    780    535    0    0    0  51.01    0.00  15.53  10.77  24.71  71.05  71.00  20.00  40.05  71.00  71.00  40.05   0.00
10:51:34   4.2   0.0   0.0  95.7   0.0    2    750    612    0    0    0  51.15    0.00  15.55  10.77  24.83  71.05  71.00  20.00  40.05  71.00  71.00  40.05   0.00
10:51:35   4.2   0.0   0.0  95.8   0.0    2    817    600    0    0    0  51.30    0.00  15.54  10.77  24.98  71.05  71.00  20.00  40.05  71.00  71.00  40.05   0.00
10:51:36   4.2   0.0   0.0  95.8   0.0    2    756    556    0    0    0  52.17    0.00  15.71  10.76  25.71  71.05  71.00  20.00  40.05  71.00  71.00  40.05   0.00
10:51:37   4.2   0.0   0.0  95.8   0.0    2    838    554    0    0    0  51.21    0.00  15.54  10.77  24.90  69.05  69.00  20.00  40.05  69.00  71.00  40.05   0.00
10:51:38   4.1   0.0   0.0  95.9   0.0    2    769    550    0    0    0  51.23    0.00  15.52  10.76  24.94  71.05  71.00  20.00  40.05  71.00  71.00  40.05   0.00
10:51:39   4.2   0.0   0.0  95.7   0.0    2    872    603    0    0    0  51.22    0.00  15.53  10.78  24.91  71.05  71.00  20.00  40.05  71.00  71.00  40.05   0.00
10:51:40   4.1   0.0   0.0  95.9   0.0    2    754    532    0    0    0  51.19    0.00  15.54  10.78  24.87  69.05  69.00  20.00  40.05  71.00  71.00  40.05   0.00
