Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
01:48:07   0.0   0.0   0.0 100.0   0.0    1    198    290    0    0    0   4.21    0.00   1.11   0.15   2.95  52.05  52.00  20.00  42.05  52.00  59.00  42.05   0.00
01:48:08   0.0   0.0   0.0 100.0   0.0    1    234    106    0    0    0   4.58    0.00   1.24   0.07   3.27  53.05  53.00  20.00  42.05  53.00  59.00  43.05   0.00
01:48:09   0.1   0.0   0.1  99.8   0.0    1    307    155   11    3    3   2.64    0.00   0.73   0.20   1.71  50.05  50.00  20.00  42.05  50.00  56.00  43.05   0.00
01:48:10   8.6   0.0   0.3  91.1   0.0    2  25594   2777   20    0    1  73.07    0.00  21.91  17.00  34.16  73.05  73.00  20.00  42.05  73.00  57.00  43.05   0.00
01:48:11   4.2   0.0   0.0  95.8   0.0    2    354    617    0    0    5  53.57    0.00  16.39  11.67  25.51  73.05  73.00  20.00  42.05  73.00  57.00  43.05   0.00
01:48:12   4.2   0.0   0.0  95.7   0.0    2    317    562    0    0    2  54.61    0.00  16.55  11.64  26.41  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:13   4.2   0.0   0.0  95.8   0.0    2    278    578    2    0    0  53.57    0.00  16.39  11.68  25.50  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:14   4.2   0.0   0.0  95.8   0.0    2    223    542    0    0    0  53.64    0.00  16.42  11.71  25.51  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:15   4.2   0.0   0.0  95.8   0.0    2    283    571    0    0    0  53.69    0.00  16.43  11.72  25.54  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:16   4.2   0.0   0.0  95.8   0.0    2    238    546    0    0    0  53.68    0.00  16.43  11.72  25.54  75.05  75.00  20.00  42.05  75.00  74.00  43.05   0.00
01:48:17   4.2   0.0   0.0  95.8   0.0    2    204    563    0    0    0  53.80    0.00  16.43  11.72  25.65  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:18   4.2   0.0   0.0  95.8   0.0    2    287    542    0    0    0  53.79    0.00  16.39  11.68  25.72  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:19   4.2   0.0   0.0  95.8   0.0    2    232    581    0    0    0  54.89    0.00  16.61  11.70  26.58  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:20   4.2   0.0   0.0  95.8   0.0    2    216    539    0    0    0  53.84    0.00  16.42  11.72  25.70  73.05  73.00  20.00  42.05  73.00  75.00  42.05   0.00
01:48:21   4.2   0.0   0.0  95.8   0.0    2    194    557    0    0    0  53.82    0.00  16.42  11.71  25.69  73.05  73.00  20.00  42.05  73.00  75.00  42.05   0.00
01:48:22   4.2   0.0   0.0  95.8   0.0    2    254    551    0    0    0  55.08    0.00  16.64  11.73  26.71  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:23   4.2   0.0   0.0  95.8   0.0    2    371    651    0    0    0  56.68    0.00  16.73  11.95  28.00  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:24   4.2   0.0   0.0  95.8   0.0    2    217    546    0    0    0  56.11    0.00  16.54  11.72  27.85  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:25   4.2   0.0   0.0  95.8   0.0    2    205    575    0    0    0  59.11    0.00  16.82  11.71  30.58  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:26   4.2   0.0   0.0  95.8   0.0    2    250    537    0    0    0  54.93    0.00  16.43  11.70  26.80  72.05  72.00  20.00  42.05  72.00  74.00  43.05   0.00
01:48:27   4.1   0.0   0.0  95.9   0.0    2    302    562    0    0    0  54.49    0.00  16.37  11.65  26.47  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
01:48:28   4.2   0.0   0.0  95.8   0.0    2    208    536    0    0    0  54.52    0.00  16.42  11.70  26.40  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:29   4.2   0.0   0.0  95.8   0.0    2    481    583    0    0    0  54.67    0.00  16.44  11.71  26.52  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:30   4.2   0.0   0.0  95.8   0.0    2    220    488    0    0    0  54.56    0.00  16.44  11.71  26.41  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:31   4.2   0.0   0.0  95.8   0.0    2    249    380    0    0    0  54.49    0.00  16.44  11.72  26.33  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:32   4.2   0.0   0.0  95.8   0.0    2    216    360    0    0    0  54.38    0.00  16.41  11.69  26.28  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
01:48:33   4.2   0.0   0.0  95.8   0.0    2    194    361    0    0    0  55.53    0.00  16.64  11.72  27.17  73.05  73.00  20.00  42.05  73.00  74.00  43.05   0.00
