Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
18:34:06   0.0   0.0   0.0 100.0   0.0    1    150    323    0    0    0   4.41    0.00   1.18   0.19   3.04  53.05  53.00  20.00  42.05  53.00  69.00  42.05   0.00
18:34:07   0.0   0.0   0.0 100.0   0.0    1    218    116    0    0    0   2.00    0.00   0.56   0.07   1.37  54.05  54.00  20.00  42.05  54.00  63.00  42.05   0.00
18:34:08   0.1   0.0   0.1  99.8   0.0    2    281    149   10    3    3   3.06    0.00   0.87   0.21   1.98  51.05  51.00  20.00  42.05  52.00  63.00  42.05   0.00
18:34:09   8.6   0.0   0.7  90.7   0.0    2  18579   3101   27    0    0  72.23    0.00  21.45  16.38  34.40  71.05  71.00  20.00  42.05  71.00  59.00  42.05   0.00
18:34:10   4.2   0.0   0.0  95.8   0.0    2    714    622    0    0    4  51.65    0.00  15.70  10.89  25.06  72.05  72.00  20.00  42.05  72.00  59.00  42.05   0.00
18:34:11   4.1   0.0   0.0  95.8   0.0    3    880    608    0    0    0  51.96    0.00  15.72  10.87  25.37  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
18:34:12   4.1   0.0   0.0  95.9   0.0    2    649    542    0    0    0  52.14    0.00  15.76  10.83  25.55  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
18:34:13   4.2   0.0   0.0  95.8   0.0    2    621    570    0    0    0  51.39    0.00  15.61  10.82  24.96  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
18:34:14   4.2   0.0   0.0  95.8   0.0    2    602    537    0    0    0  51.38    0.00  15.61  10.83  24.94  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
18:34:15   4.2   0.0   0.0  95.8   0.0    2    691    571    0    0    1  51.62    0.00  15.62  10.83  25.17  72.05  72.00  20.00  42.05  72.00  74.00  42.05   0.00
18:34:16   4.2   0.0   0.0  95.8   0.0    2    736    559    0    0    1  51.55    0.00  15.60  10.81  25.13  72.05  72.00  20.00  42.05  72.00  74.00  42.05   0.00
18:34:17   4.3   0.0   0.0  95.7   0.0    2    688    645    0    0    0  52.05    0.00  15.67  10.87  25.51  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
18:34:18   4.2   0.0   0.0  95.8   0.0    2    942    551    0    0    0  51.77    0.00  15.64  10.85  25.28  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
18:34:19   4.2   0.0   0.0  95.8   0.0    2    726    562    0    0    0  52.65    0.00  15.80  10.83  26.01  73.05  73.00  20.00  42.05  73.00  73.00  42.05   0.00
18:34:20   4.1   0.0   0.0  95.9   0.0    2    634    538    0    0    0  51.62    0.00  15.63  10.84  25.15  73.05  73.00  20.00  42.05  72.00  73.00  42.05   0.00
18:34:21   4.2   0.0   0.0  95.8   0.1    2    797    546    0    0    0  52.64    0.00  15.80  10.82  26.02  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
18:34:22   4.1   0.0   0.1  95.8   0.0    2    763    639    0    0    0  53.98    0.00  15.93  11.08  26.97  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
18:34:23   4.5   0.0   0.0  95.4   0.0    2    709    678    0    0    0  54.65    0.00  15.83  10.93  27.88  73.05  73.00  20.00  42.05  73.00  74.00  42.05   0.00
18:34:24   4.1   0.0   0.0  95.9   0.0    2    619    498    0    0    0  53.57    0.00  15.70  10.84  27.03  71.05  71.00  20.00  42.05  71.00  74.00  42.05   0.00
18:34:25   4.2   0.0   0.0  95.8   0.0    2    647    498    0    0    0  52.77    0.00  15.66  10.84  26.26  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:26   4.1   0.0   0.0  95.9   0.0    2    600    581    0    0    0  51.72    0.00  15.62  10.83  25.27  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:27   4.2   0.0   0.0  95.8   0.0    2    682    596    0    0    0  52.60    0.00  15.81  10.82  25.97  70.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:28   4.1   0.0   0.0  95.9   0.0    2    506    577    0    0    0  51.54    0.00  15.63  10.84  25.06  70.05  70.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:29   4.2   0.0   0.0  95.8   0.0    2    624    574    0    0    0  51.49    0.00  15.60  10.81  25.08  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:30   4.2   0.0   0.0  95.8   0.0    2    656    575    0    0    0  51.53    0.00  15.62  10.82  25.09  70.05  70.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:31   4.1   0.0   0.0  95.9   0.0    2    688    572    0    0    0  51.63    0.00  15.63  10.84  25.16  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:32   4.2   0.0   0.0  95.8   0.0    2    629    580    0    0    0  52.61    0.00  15.83  10.84  25.94  70.05  70.00  20.00  42.05  70.00  72.00  42.05   0.00
18:34:33   4.1   0.0   0.0  95.9   0.0    2    626    580    0    0    0  51.56    0.00  15.62  10.83  25.11  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:34   4.2   0.0   0.0  95.8   0.0    2    506    554    0    0    0  51.57    0.00  15.64  10.84  25.10  71.05  71.00  20.00  42.05  71.00  71.00  42.05   0.00
18:34:35   4.1   0.0   0.0  95.8   0.0    2    710    582    0    0    0  52.62    0.00  15.82  10.83  25.97  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:36   4.1   0.0   0.0  95.8   0.0    2    644    610    0    0    0  51.55    0.00  15.62  10.82  25.11  71.05  70.00  20.00  42.05  70.00  72.00  42.05   0.00
18:34:37   4.2   0.0   0.0  95.8   0.0    3    626    568    0    0    0  51.53    0.00  15.61  10.82  25.11  71.05  71.00  20.00  42.05  71.00  71.00  42.05   0.00
18:34:38   4.1   0.0   0.0  95.8   0.0    2    627    614    0    0    0  51.51    0.00  15.60  10.82  25.09  71.05  71.00  20.00  42.05  71.00  71.00  42.05   0.00
18:34:39   4.2   0.0   0.0  95.8   0.0    2    675    617    0    0    0  51.56    0.00  15.61  10.83  25.12  70.05  70.00  20.00  42.05  70.00  72.00  42.05   0.00
18:34:40   4.2   0.0   0.0  95.8   0.0    2    540    587    0    0    0  51.54    0.00  15.62  10.83  25.09  71.05  71.00  20.00  42.05  71.00  72.00  42.05   0.00
18:34:41   4.1   0.0   0.0  95.9   0.0    2    644    569    0    0    0  51.51    0.00  15.60  10.82  25.09  71.05  71.00  20.00  42.05  71.00  71.00  42.05   0.00
