          Category;                      Type;  Run Identifier;         Score;          Score Metric
openjdk-hotspot-vm;                       new;         default;      4329.074;  Throughput (ops/sec)
    oracle-graalvm;             override_fist;         default;    110513.061;  Throughput (ops/sec)
    oracle-graalvm;                       new;         default;      7444.054;  Throughput (ops/sec)
openjdk-hotspot-vm;                    lambda;         default;      6449.913;  Throughput (ops/sec)
      native-image;                       new;        pgo_g1gc;     14475.802;  Throughput (ops/sec)
      native-image;             override_fist;        pgo_g1gc;    509232.173;  Throughput (ops/sec)
        graalvm-ce;             override_fist;         default;     92431.381;  Throughput (ops/sec)
    oracle-graalvm;                     const;         default;     15955.629;  Throughput (ops/sec)
     azul-prime-vm;                    lambda;         default;      2069.738;  Throughput (ops/sec)
 eclipse-openj9-vm;                    lambda;         default;      3539.099;  Throughput (ops/sec)
        graalvm-ce;                    lambda;         default;      5002.234;  Throughput (ops/sec)
     azul-prime-vm;             override_fist;         default;     52416.775;  Throughput (ops/sec)
      native-image;                    lambda;        pgo_g1gc;     13324.324;  Throughput (ops/sec)
    oracle-graalvm;                    lambda;         default;      7463.996;  Throughput (ops/sec)
        graalvm-ce;                     const;         default;     94223.072;  Throughput (ops/sec)
openjdk-hotspot-vm;             override_fist;         default;     43279.283;  Throughput (ops/sec)
openjdk-hotspot-vm;                     const;         default;     45304.593;  Throughput (ops/sec)
      native-image;                    lambda;         default;     19912.138;  Throughput (ops/sec)
     azul-prime-vm;                     const;         default;     53280.788;  Throughput (ops/sec)
 eclipse-openj9-vm;                     const;         default;    127079.021;  Throughput (ops/sec)
 eclipse-openj9-vm;                       new;         default;      3526.460;  Throughput (ops/sec)
        graalvm-ce;                       new;         default;      5370.130;  Throughput (ops/sec)
      native-image;             override_fist;         default;    512224.319;  Throughput (ops/sec)
      native-image;                     const;         default;     65112.788;  Throughput (ops/sec)
      native-image;                       new;         default;     12737.738;  Throughput (ops/sec)
      native-image;                     const;        pgo_g1gc;     43251.551;  Throughput (ops/sec)
 eclipse-openj9-vm;             override_fist;         default;     79848.822;  Throughput (ops/sec)
     azul-prime-vm;                       new;         default;      2412.822;  Throughput (ops/sec)
