          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
openjdk-hotspot-vm;             override_fist;         default;                  1;         4.970;  Power (Watt)
openjdk-hotspot-vm;             override_fist;         default;                  2;         1.740;  Power (Watt)
openjdk-hotspot-vm;             override_fist;         default;                  3;         2.960;  Power (Watt)
openjdk-hotspot-vm;             override_fist;         default;                  4;       106.420;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  1;         5.140;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  2;         5.280;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  3;         3.650;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  4;        44.930;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  5;        52.220;  Power (Watt)
 eclipse-openj9-vm;                    lambda;         default;                  6;        54.610;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  1;         4.090;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  2;         1.860;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  3;         2.670;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  4;        98.330;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  5;       102.980;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  6;       103.570;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  7;       101.370;  Power (Watt)
     azul-prime-vm;             override_fist;         default;                  8;        84.530;  Power (Watt)
      native-image;                     const;         default;                  1;         4.450;  Power (Watt)
      native-image;                     const;         default;                  2;         4.390;  Power (Watt)
      native-image;                     const;         default;                  3;         4.910;  Power (Watt)
      native-image;                     const;         default;                  4;        99.080;  Power (Watt)
      native-image;                     const;         default;                  5;       104.720;  Power (Watt)
      native-image;                     const;         default;                  6;        79.770;  Power (Watt)
      native-image;                     const;         default;                  7;        82.470;  Power (Watt)
      native-image;                     const;         default;                  8;        82.250;  Power (Watt)
      native-image;                     const;         default;                  9;       111.560;  Power (Watt)
      native-image;                     const;         default;                 10;       108.660;  Power (Watt)
