Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
12:31:35   0.0   0.0   0.0 100.0   0.0    1    172    272    0    0    0   3.23    0.00   0.92   0.18   2.13  51.05  51.00  20.00  41.05  51.00  71.00  41.05   0.00
12:31:36   0.0   0.0   0.0 100.0   0.0    1    249    151    0    0    0   2.64    0.00   0.75   0.09   1.80  51.05  51.00  20.00  41.05  51.00  62.00  41.05   0.00
12:31:37   0.0   0.0   0.1  99.9   0.0    2    264    134    9    3    3   2.75    0.00   0.78   0.20   1.76  50.05  50.00  20.00  41.05  50.00  62.00  41.05   0.00
12:31:38  18.1   0.0   2.1  79.7   0.0    3 177388  29659   66    0    0  79.43    0.00  22.91  17.52  39.01  52.05  52.00  20.00  41.05  52.00  62.00  41.05   0.00
12:31:39  25.0   0.0   5.6  69.4   0.0    3 605576 101482    0    0    4  79.33    0.00  23.13  17.95  38.24  60.05  60.00  20.00  41.05  60.00  56.00  41.05   0.00
12:31:40  10.7   0.0   3.7  85.6   0.0    5 884477 212232    0    0    0  66.46    0.00  19.15  14.17  33.14  59.05  59.00  20.00  41.05  59.00  59.00  41.05   0.00
12:31:41   7.2   0.0   7.7  85.1   0.0    6 1901670 468624    0    0    0  95.59    0.00  27.99  22.69  44.91  60.05  60.00  20.00  41.05  58.00  59.00  41.05   0.00
12:31:42   8.3   0.0   7.3  84.5   0.0    4 1724787 436159    2    0    2  93.78    0.00  27.40  22.09  44.30  56.05  56.00  20.00  41.05  56.00  62.00  41.05   0.00
12:31:43  10.9   0.0   2.3  86.9   0.0    7 171954  44483    0    0    0  35.34    0.00   9.65   4.96  20.72  58.05  58.00  20.00  41.05  58.00  62.00  41.05   0.00
12:31:44  10.8   0.0   5.0  84.3   0.0    3 1171096 283513    0    0    0  78.12    0.00  22.76  17.69  37.67  60.05  60.00  20.00  41.05  60.00  56.00  41.05   0.00
12:31:45   8.5   0.0   6.9  84.6   0.0    5 1795644 433622    0    0    0 102.56    0.00  30.27  25.05  47.23  61.05  61.00  20.00  41.05  61.00  56.00  41.05   0.00
12:31:46   8.1   0.0   7.9  84.0   0.0    4 1878597 487993    0    0    0  94.50    0.00  27.63  22.21  44.66  63.05  63.00  20.00  41.05  63.00  63.00  41.05   0.00
12:31:47   9.4   0.0   4.1  86.5   0.0    3 835471 217900    0    0    0  56.24    0.00  15.88  10.95  29.40  52.05  52.00  20.00  41.05  52.00  63.00  41.05   0.00
12:31:48  10.2   0.0   3.2  86.6   0.0    4 557037 139504    0    0    2  45.98    0.00  12.83   8.00  25.15  59.05  59.00  20.00  41.05  59.00  63.00  41.05   0.00
12:31:49   7.1   0.0   7.3  85.6   0.0    6 1958026 503288    0    0    0  98.55    0.00  28.53  22.94  47.07  60.05  60.00  20.00  41.05  60.00  57.00  41.05   0.00
12:31:50   9.0   0.0   5.4  85.6   0.0    3 1133714 288244    0    0    0  78.32    0.00  22.12  16.76  39.45  53.05  53.00  20.00  41.05  53.00  61.00  41.05   0.00
12:31:51   9.2   0.0   3.5  87.3   0.0    5 481334 118282    0    0    0  49.13    0.00  13.37   8.53  27.24  65.05  65.00  20.00  41.05  65.00  61.00  41.05   0.00
12:31:52   7.0   0.0   7.4  85.6   0.0    7 1932632 503656    0    0    0  94.57    0.00  27.25  21.82  45.51  59.05  59.00  20.00  41.05  59.00  62.00  41.05   0.00
12:31:53   7.9   0.0   7.3  84.9   0.0    5 1900277 499319    0    0    2  95.90    0.00  28.05  22.64  45.21  63.05  63.00  20.00  41.05  63.00  62.00  41.05   0.00
12:31:54  10.8   0.0   2.1  87.1   0.0    3 198722  52133    0    0    0  38.26    0.00  10.40   5.46  22.40  53.05  53.00  20.00  41.05  53.00  62.00  41.05   0.00
12:31:55   9.0   0.0   4.8  86.2   0.0    6 1133283 293635    0    0    0  68.91    0.00  19.92  14.91  34.08  60.05  60.00  20.00  41.05  60.00  62.00  41.05   0.00
12:31:56   6.6   0.0   7.5  85.8   0.0    4 2014378 511950    0    0    0 103.76    0.00  30.64  25.38  47.73  65.05  66.00  20.00  41.05  66.00  64.00  41.05   0.00
12:31:57   8.8   0.0   6.1  85.1   0.0    4 1489440 369555    0    0    0  91.73    0.00  26.88  21.63  43.22  53.05  53.00  20.00  41.05  53.00  64.00  41.05   0.00
