Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
04:51:33   0.0   0.0   0.0 100.0   0.0    1    163    298    0    0    0   4.22    0.00   1.12   0.22   2.88  61.05  61.00  20.00  48.05  61.00  81.00  49.05   0.00
04:51:34   0.1   0.0   0.0  99.9   0.0    1    223    131    0    0    0   2.80    0.00   0.80   0.13   1.87  60.05  60.00  20.00  48.05  60.00  70.00  49.05   0.00
04:51:35   0.4   0.0   0.1  99.5   0.0   27    463    192   28    3    3   3.34    0.00   0.95   0.28   2.12  58.05  58.00  20.00  48.05  58.00  70.00  49.05   0.00
04:51:36  13.7   0.0   0.5  85.8   0.0    2    941   5212    0    0    0  60.72    0.00  18.19  12.62  29.90  65.05  65.00  20.00  48.05  65.00  65.00  49.05   0.00
04:51:37   8.3   0.0   0.4  91.3   0.0    2    475   6381    0    0    0  60.47    0.00  18.04  12.33  30.10  80.05  80.00  20.00  48.05  80.00  65.00  49.05   0.00
04:51:38  10.6   0.0   0.5  89.0   0.0    2    589   6195    0    0    0  63.41    0.00  19.10  13.38  30.94  72.05  72.00  20.00  48.05  72.00  65.00  49.05   0.00
04:51:39   9.9   0.0   0.3  89.7   0.0    2    439  15964    0    0    0  61.59    0.00  18.58  13.00  30.02  62.05  62.00  20.00  48.05  62.00  68.00  49.05   0.00
04:51:40   6.7   0.0   0.5  92.7   0.0    2    446   5241    0    0    0  46.07    0.00  13.62   8.01  24.44  80.05  80.00  20.00  48.05  80.00  77.00  49.05   0.00
04:51:41   3.5   0.0   0.6  95.8   0.0    2    316    598    0    0    0  54.65    0.00  16.43  10.98  27.25  81.05  81.00  20.00  48.05  81.00  77.00  49.05   0.00
04:51:42  25.3   0.0   0.2  74.5   0.0    2    331   3805    0    0    0  63.09    0.00  18.79  13.16  31.13  63.05  63.00  20.00  48.05  63.00  78.00  49.05   0.00
04:51:43  20.4   0.0   0.3  79.3   0.0    2    310   1444    0    0    0  55.93    0.00  16.60  11.03  28.30  72.05  72.00  20.00  48.05  72.00  78.00  49.05   0.00
04:51:44   3.8   0.0   0.3  95.8   0.0    2    273    435    0    0    0  52.31    0.00  15.72  10.32  26.27  75.05  75.00  20.00  48.05  75.00  63.00  49.05   0.00
04:51:45   5.2   0.0   1.0  93.9   0.0   25    391    619    0    0    0  56.02    0.00  16.93  11.64  27.45  71.05  71.00  20.00  48.05  71.00  63.00  49.05   0.00
04:51:46  45.0   0.0   0.1  54.9   0.0    2    321   2860    0    0    0  86.04    0.00  25.65  19.72  40.67  72.05  72.00  20.00  48.05  72.00  77.00  49.05   0.00
04:51:47   3.7   0.0   0.5  95.8   0.0    2    339    518    0    0    0  52.97    0.00  15.92  10.62  26.43  76.05  76.00  20.00  48.05  76.00  77.00  49.05   0.00
04:51:48   3.0   0.0   1.1  95.9   0.0    2    448    525    0    0    0  53.10    0.00  15.88  10.52  26.70  67.05  67.00  20.00  48.05  68.00  77.00  49.05   0.00
04:51:49  20.1   0.0   0.2  79.7   0.0    2   2241   1657    0    0    0  78.25    0.00  22.89  17.19  38.17  71.05  71.00  20.00  48.05  71.00  76.00  49.05   0.00
04:51:50  20.6   0.0   0.0  79.4   0.0    2   1138   7452    0    0    0  82.83    0.00  23.72  18.06  41.05  78.05  78.00  20.00  48.05  78.00  71.00  49.05   0.00
04:51:51  22.2   0.0   0.0  77.7   0.0    2    353   2017    0    0    0  70.44    0.00  20.30  14.43  35.71  80.05  80.00  20.00  48.05  80.00  71.00  49.05   0.00
04:51:52   3.8   0.0   0.5  95.8   0.0    2    337    534    0    0    0  53.06    0.00  15.26   9.68  28.12  78.05  78.00  20.00  48.05  78.00  74.00  49.05   0.00
04:51:53  19.3   0.0   0.2  80.5   0.0    2    291  10234    0    0    0  77.08    0.00  22.96  17.16  36.96  73.05  73.00  20.00  48.05  73.00  74.00  48.05   0.00
04:51:54   3.6   0.0   0.6  95.8   0.0    2    325    510    0    0    0  54.16    0.00  15.99  10.40  27.77  81.05  81.00  20.00  48.05  81.00  79.00  48.05   0.00
04:51:55  29.7   0.0   0.5  69.8   0.0    2    393   8700    0    0    0  75.28    0.00  22.35  16.77  36.15  61.05  61.00  20.00  48.05  61.00  79.00  48.05   0.00
04:51:56   4.1   0.0   0.1  95.8   0.0    2    149    367    0    0    0  52.65    0.00  15.58  10.08  26.99  74.05  74.00  20.00  48.05  74.00  79.00  48.05   0.00
04:51:57   4.7   0.0   1.0  94.3   0.0   25    455    657    0    0    0  56.30    0.00  16.76  11.47  28.07  68.05  68.00  20.00  48.05  68.00  79.00  48.05   0.00
04:51:58  47.6   0.0   0.0  52.4   0.0   25    336   3051    0    0    0  84.76    0.00  25.08  19.35  40.33  70.05  70.00  20.00  48.05  70.00  79.00  48.05   0.00
04:51:59  28.5   0.0   0.5  71.0   0.0    2  80135  21418    0    0    0  87.55    0.00  25.06  19.21  43.29  76.05  76.00  20.00  48.05  76.00  74.00  48.05   0.00
04:52:00   3.9   0.0   0.3  95.8   0.0    2    276    579    0    0    0  51.79    0.00  15.35   9.93  26.51  76.05  76.00  20.00  48.05  76.00  69.00  48.05   0.00
