Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
20:54:32   0.0   0.0   0.0 100.0   0.0    1    174    291    0    0    0   4.55    0.00   1.22   0.23   3.10  61.05  61.00  20.00  47.05  61.00  73.00  49.05   0.00
20:54:33   0.0   0.0   0.0 100.0   0.0    1    183    104    0    0    0   2.28    0.00   0.64   0.09   1.55  59.05  59.00  20.00  47.05  59.00  69.00  49.05   0.00
20:54:34   0.0   0.0   0.2  99.8   0.0    2    270    139    9    3    3   2.71    0.00   0.76   0.19   1.76  58.05  58.00  20.00  47.05  58.00  69.00  49.05   0.00
20:54:35  52.8   0.0   1.9  45.3   0.0   19  19946   9453   65    0    0 107.07    0.00  31.49  25.14  50.44  66.05  66.00  20.00  47.05  66.00  73.00  49.05   0.00
20:54:36  85.2   0.0   3.4  11.4   0.0   28   5802   6282    0    0    4 101.55    0.00  29.74  23.17  48.64  66.05  66.00  20.00  47.05  66.00  73.00  49.05   0.00
20:54:37  83.9   0.0   1.5  14.7   0.0    8  39995   8495    0    0    3  97.63    0.00  28.56  22.64  46.43  67.05  67.00  20.00  47.05  67.00  68.00  49.05   0.00
20:54:38  24.5   0.0   1.0  74.5   0.0    4 157841  17743    0    0    1  92.04    0.00  26.52  20.44  45.08  86.05  86.00  20.00  47.05  86.00  68.00  49.05   0.00
20:54:39  81.1   0.0   3.0  15.8   0.0   26   3777   8746    2    0    2 108.93    0.00  32.05  25.71  51.17  68.05  68.00  20.00  47.05  68.00  68.00  49.05   0.00
20:54:40  95.3   0.0   1.2   3.5   0.0   26   1459   6097    0    0    0 101.73    0.00  30.00  24.09  47.64  65.05  65.00  20.00  47.05  65.00  75.00  49.05   0.00
20:54:41  33.3   0.0   0.0  66.7   0.0    3    681   2522    0    0    0  78.94    0.00  22.21  16.66  40.07  78.05  78.00  20.00  47.05  78.00  70.00  49.05   0.00
20:54:42  36.9   0.0   1.3  61.9   0.0   19  89132   9666    0    0    0  96.45    0.00  27.34  21.76  47.34  68.05  68.00  20.00  47.05  68.00  70.00  49.05   0.00
20:54:43  91.9   0.0   2.1   6.0   0.0   30   3053   6038    0    0    0 102.33    0.00  30.04  23.73  48.57  66.05  66.00  20.00  47.05  66.00  68.00  49.05   0.00
20:54:44  73.8   0.0   0.3  26.0   0.0   10   3043   5077    0    0    1  99.74    0.00  29.18  22.99  47.56  71.05  71.00  20.00  47.05  71.00  68.00  49.05   0.00
20:54:45  22.0   0.0   0.0  78.0   0.0    3    346   1657    0    0    0  86.47    0.00  24.88  19.10  42.49  75.05  75.00  20.00  47.05  75.00  72.00  49.05   0.00
20:54:46  38.1   0.0   0.2  61.7   0.0   26  25361   5992    0    0    0  84.38    0.00  24.05  18.11  42.22  68.05  68.00  20.00  47.05  68.00  72.00  49.05   0.00
20:54:47  95.8   0.0   0.8   3.4   0.0   25   1152   6137    0    0    0 101.88    0.00  29.84  23.71  48.33  67.05  67.00  20.00  47.05  67.00  68.00  49.05   0.00
20:54:48  49.2   0.0   0.5  50.3   0.0    4    947   4342    0    0    0  94.89    0.00  27.52  21.58  45.79  70.05  70.00  20.00  47.05  70.00  68.00  49.05   0.00
20:54:49  55.1   0.0   0.2  44.8   0.0   32   5032   3940    0    0    0 100.25    0.00  29.26  23.03  47.97  66.05  66.00  20.00  47.05  66.00  68.00  49.05   0.00
20:54:50  98.3   0.0   0.2   1.5   0.0   19   3726   7297    0    0    0 101.72    0.00  30.00  23.95  47.77  69.05  69.00  20.00  47.05  69.00  71.00  49.05   0.00
20:54:51  62.2   0.0   0.3  37.5   0.0    6   8449   7151    6    0    0  97.02    0.00  28.30  22.09  46.64  74.05  74.00  20.00  47.05  74.00  67.00  49.05   0.00
20:54:52  32.1   0.0   0.9  67.0   0.0   10  87125   9212    0    0    0  87.87    0.00  24.59  18.41  44.87  62.05  62.00  20.00  47.05  62.00  67.00  49.05   0.00
20:54:53  84.8   0.0   1.3  13.8   0.0   25 113667  13563    0    0    0  99.98    0.00  28.65  22.35  48.98  66.05  65.00  20.00  47.05  65.00  66.00  49.05   0.00
20:54:54  90.7   0.0   0.4   8.8   0.0    5   1285   5816    0    0    0 101.18    0.00  29.26  23.28  48.64  68.05  68.00  20.00  47.05  68.00  66.00  49.05   0.00
20:54:55  18.1   0.0   0.0  81.9   0.0   27    915   1523    0    0    0  82.44    0.00  23.44  17.48  41.52  69.05  69.00  20.00  47.05  69.00  72.00  49.05   0.00
20:54:56  94.6   0.0   0.6   4.8   0.0   30   2960   6583    0    0    0 108.74    0.00  32.09  25.69  50.96  68.05  68.00  20.00  47.05  66.00  72.00  49.05   0.00
20:54:57  82.0   0.0   0.0  17.9   0.0    4  16702   6916    0    0    0  97.95    0.00  28.60  22.50  46.84  66.05  66.00  20.00  47.05  66.00  72.00  49.05   0.00
20:54:58  37.7   0.0   0.5  61.8   0.0   26  55352   6868    0    0    0  97.05    0.00  28.18  22.02  46.86  66.05  66.00  20.00  47.05  66.00  70.00  49.05   0.00
20:54:59  97.4   0.0   0.0   2.6   0.0   25    802   5991    0    0    0 101.63    0.00  29.85  23.89  47.89  66.05  66.00  20.00  47.05  66.00  70.00  49.05   0.00
20:55:00  85.9   0.0   0.5  13.6   0.0    9  56772   9893    0    0    0  97.68    0.00  28.64  22.64  46.40  68.05  68.00  20.00  47.05  68.00  70.00  49.05   0.00
20:55:01  38.8   0.0   0.8  60.3   0.1    9  62778   9081    3    2    3 100.39    0.00  29.20  22.74  48.46  76.05  76.00  20.00  47.05  76.00  67.00  49.05   0.00
20:55:02  83.8   0.0   0.0  16.2   0.0   19   1343   5381    0    0    0 106.62    0.00  31.35  25.15  50.12  70.05  70.00  20.00  47.05  70.00  72.00  49.05   0.00
20:55:03  90.2   0.0   0.2   9.6   0.0    8   2919   7103    0    0    0  99.42    0.00  29.14  23.02  47.26  68.05  68.00  20.00  47.05  68.00  72.00  49.05   0.00
20:55:04  33.7   0.0   0.2  66.1   0.0    9   5542   3143    0    0    0 102.46    0.00  29.99  23.63  48.83  76.05  76.00  20.00  47.05  76.00  68.00  49.05   0.00
20:55:05  62.4   0.0   0.7  37.0   0.0   26    908   4035    0    0    0 104.81    0.00  30.71  24.32  49.78  68.05  68.00  20.00  47.05  68.00  68.00  49.05   0.00
20:55:06  97.4   0.0   0.0   2.6   0.0   19    501   5943    0    0    0 103.91    0.00  30.50  24.40  49.00  71.05  71.00  20.00  47.05  71.00  69.00  49.05   0.00
20:55:07  52.5   0.0   1.0  46.6   0.0    8  76829  10820    0    0    0 101.42    0.00  29.64  23.33  48.45  77.05  77.00  20.00  47.05  77.00  69.00  49.05   0.00
20:55:08  36.5   0.0   0.0  63.5   0.0   26    716   2486    0    0    0 102.83    0.00  30.17  23.99  48.67  69.05  69.00  20.00  47.05  69.00  74.00  49.05   0.00
20:55:09  96.2   0.0   0.0   3.8   0.0   26   1090   5948    0    0    0 101.70    0.00  29.79  23.63  48.28  68.05  68.00  20.00  47.05  68.00  74.00  49.05   0.00
20:55:10  74.4   0.0   0.0  25.6   0.0    5   1845   4738    0    0    0  98.36    0.00  28.68  22.55  47.14  76.05  76.00  20.00  47.05  76.00  74.00  49.05   0.00
20:55:11  33.5   0.0   1.1  65.4   0.0    4  99613  10813    0    0    0 100.71    0.00  29.37  23.40  47.93  65.05  65.00  20.00  47.05  65.00  68.00  49.05   0.00
20:55:12  81.5   0.0   2.1  16.5   0.0   32 146414  17992    0    0    0  97.32    0.00  28.43  22.28  46.61  66.05  66.00  20.00  47.05  68.00  73.00  49.05   0.00
20:55:13  97.3   0.0   0.0   2.6   0.0   19   2144   6260    0    0    0 103.72    0.00  30.56  24.57  48.60  72.05  72.00  20.00  47.05  71.00  73.00  49.05   0.00
20:55:14  27.1   0.0   0.0  72.9   0.0    4   1233   1996    0    0    0  83.35    0.00  23.84  18.10  41.41  73.05  73.00  20.00  47.05  73.00  68.00  49.05   0.00
20:55:15  48.1   0.0   2.5  49.4   0.0    3 306565  26093    0    0    0  91.49    0.00  26.38  20.20  44.92  65.05  65.00  20.00  47.05  65.00  68.00  49.05   0.00
20:55:16  93.4   0.0   0.2   6.4   0.0   25  42741   8794    0    0    0 102.73    0.00  30.11  23.87  48.75  68.05  68.00  20.00  47.05  68.00  68.00  49.05   0.00
20:55:17  66.4   0.0   0.0  33.6   0.0    6    944   4224    0    0    0  99.01    0.00  28.99  23.10  46.92  77.05  77.00  20.00  47.05  77.00  68.00  49.05   0.00
20:55:18  47.7   0.0   0.3  52.0   0.0   28   9712   5033    0    0    0 105.78    0.00  30.99  24.88  49.92  65.05  65.00  20.00  47.05  65.00  74.00  49.05   0.00
20:55:19 100.0   0.0   0.0   0.0   0.0   25    562   6273    0    0    0 101.01    0.00  29.78  24.02  47.21  66.05  66.00  20.00  47.05  66.00  74.00  49.05   0.00
20:55:20  62.3   0.0   0.2  37.5   0.0    5  16852   5543    0    0    0 102.90    0.00  30.09  23.93  48.87  74.05  74.00  20.00  47.05  74.00  74.00  49.05   0.00
20:55:21  33.8   0.0   0.8  65.4   0.0   26  79594  10179    0    0    0  90.53    0.00  25.98  19.92  44.64  66.05  66.00  20.00  47.05  66.00  68.00  49.05   0.00
20:55:22  95.0   0.0   0.3   4.8   0.0   31   5780   7235    0    0    0 103.91    0.00  29.98  23.59  50.34  68.05  68.00  20.00  47.05  68.00  69.00  49.05   0.00
20:55:23  76.2   0.0   0.1  23.7   0.0    4  27827   8935    0    0    0  97.10    0.00  27.72  21.50  47.88  68.05  68.00  20.00  47.05  68.00  69.00  49.05   0.00
20:55:24  48.3   0.0   0.1  51.6   0.0   25   5129   3744    0    0    0 100.41    0.00  28.58  22.27  49.56  66.05  66.00  20.00  47.05  66.00  69.00  49.05   0.00
20:55:25  97.8   0.0   0.0   2.2   0.0   31    924   6179    0    0    0 102.55    0.00  29.92  23.95  48.68  68.05  68.00  20.00  47.05  68.00  69.00  49.05   0.00
20:55:26  78.5   0.0   0.2  21.3   0.0   10   2206   5162    0    0    0 100.07    0.00  29.30  23.05  47.73  74.05  74.00  20.00  47.05  74.00  68.00  49.05   0.00
20:55:27  30.2   0.0   0.0  69.7   0.0    5    364   2156    0    0    0  85.74    0.00  24.69  18.67  42.38  71.05  71.00  20.00  47.05  71.00  68.00  49.05   0.00
20:55:28  89.1   0.0   1.3   9.6   0.0   25   2022   5692    0    0    0 107.26    0.00  31.50  25.19  50.57  67.05  67.00  20.00  47.05  66.00  72.00  49.05   0.00
20:55:29  85.0   0.0   0.0  15.0   0.0    5   1788   5389    0    0    0  99.82    0.00  29.25  23.24  47.33  74.05  74.00  20.00  47.05  74.00  72.00  49.05   0.00
20:55:30  15.4   0.0   0.0  84.6   0.0   26    304   1228    0    0    0  91.19    0.00  26.33  20.60  44.26  75.05  75.00  20.00  47.05  75.00  72.00  49.05   0.00
20:55:31  82.8   0.0   1.4  15.9   0.0   25 145945  18214    0    0    0 104.38    0.00  30.53  24.12  49.73  68.05  66.00  20.00  47.05  66.00  73.00  49.05   0.00
20:55:32  97.1   0.0   0.0   2.9   0.0   26    678   5956    0    0    0 101.90    0.00  29.97  24.02  47.91  68.05  68.00  20.00  47.05  68.00  68.00  49.05   0.00
20:55:33  41.1   0.0   0.2  58.7   0.0    6  50233   7585    0    0    0 102.12    0.00  29.82  23.94  48.36  69.05  69.00  20.00  47.05  69.00  68.00  49.05   0.00
20:55:34  84.3   0.0   2.5  13.2   0.0   19 138802  15310    0    0    0 106.05    0.00  31.21  25.19  49.65  71.05  71.00  20.00  47.05  71.00  71.00  49.05   0.00
20:55:35  97.8   0.0   0.0   2.2   0.0   19   1806   6269    0    0    0 100.48    0.00  29.55  23.38  47.55  68.05  68.00  20.00  47.05  68.00  71.00  49.05   0.00
20:55:36  39.6   0.0   0.1  60.2   0.0    4   6446   3576    0    0    0  96.18    0.00  27.81  21.51  46.85  83.05  83.00  20.00  47.05  83.00  69.00  49.05   0.00
20:55:37  65.5   0.0   1.0  33.5   0.0   25  80653  10297    0    0    0 103.05    0.00  30.09  23.76  49.19  65.05  65.00  20.00  47.05  65.00  69.00  49.05   0.00
20:55:38  97.2   0.0   0.0   2.8   0.0   26    971   6013    0    0    0 101.58    0.00  29.85  23.93  47.80  66.05  66.00  20.00  47.05  66.00  68.00  49.05   0.00
20:55:39  64.5   0.0   1.2  34.2   0.0   27 121233  16770    0    0    0 105.21    0.00  30.94  24.84  49.43  68.05  68.00  20.00  47.05  68.00  68.00  49.05   0.00
