          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
openjdk-hotspot-vm;                  platform;         default;                  1;         5.110;  Power (Watt)
openjdk-hotspot-vm;                  platform;         default;                  2;         1.730;  Power (Watt)
openjdk-hotspot-vm;                  platform;         default;                  3;         2.910;  Power (Watt)
openjdk-hotspot-vm;                  platform;         default;                  4;       108.030;  Power (Watt)
      native-image;                  platform;         default;                  1;         4.200;  Power (Watt)
      native-image;                  platform;         default;                  2;         1.740;  Power (Watt)
      native-image;                  platform;         default;                  3;         5.350;  Power (Watt)
      native-image;                  platform;         default;                  4;        75.980;  Power (Watt)
      native-image;                  platform;         default;                  5;        86.800;  Power (Watt)
      native-image;                  platform;         default;                  6;        99.580;  Power (Watt)
      native-image;                  platform;         default;                  7;        67.040;  Power (Watt)
      native-image;                  platform;         default;                  8;        95.190;  Power (Watt)
      native-image;                  platform;         default;                  9;        73.710;  Power (Watt)
      native-image;                  platform;         default;                 10;        99.140;  Power (Watt)
      native-image;                  platform;         default;                 11;       117.950;  Power (Watt)
      native-image;                  platform;         default;                 12;       107.640;  Power (Watt)
      native-image;                  platform;         default;                 13;       103.150;  Power (Watt)
      native-image;                  platform;         default;                 14;       102.380;  Power (Watt)
      native-image;                  platform;         default;                 15;        92.420;  Power (Watt)
      native-image;                  platform;         default;                 16;       106.150;  Power (Watt)
      native-image;                  platform;         default;                 17;       105.730;  Power (Watt)
      native-image;                  platform;         default;                 18;       101.030;  Power (Watt)
      native-image;                  platform;         default;                 19;       104.090;  Power (Watt)
      native-image;                  platform;         default;                 20;        96.340;  Power (Watt)
      native-image;                  platform;         default;                 21;       107.880;  Power (Watt)
      native-image;                  platform;         default;                 22;       101.330;  Power (Watt)
      native-image;                  platform;         default;                 23;        95.230;  Power (Watt)
      native-image;                  platform;         default;                 24;       106.520;  Power (Watt)
      native-image;                  platform;         default;                 25;       100.570;  Power (Watt)
      native-image;                  platform;         default;                 26;       100.930;  Power (Watt)
      native-image;                  platform;         default;                 27;       101.520;  Power (Watt)
      native-image;                  platform;         default;                 28;       100.730;  Power (Watt)
