Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
12:17:16   0.0   0.0   0.0 100.0   0.0    1    146    310    0    0    0   4.23    0.00   1.13   0.17   2.93  50.05  50.00  20.00  39.05  51.00  59.00  40.05   0.00
12:17:17   0.0   0.0   0.0 100.0   0.0    1    159     88    0    0    0   3.36    0.00   0.92   0.06   2.37  52.05  52.00  20.00  39.05  52.00  56.00  40.05   0.00
12:17:18   0.1   0.0   0.1  99.8   0.0    3    212    133    3    3    3   3.25    0.00   0.90   0.15   2.21  48.05  50.00  20.00  39.05  50.00  54.00  40.05   0.00
12:17:19   8.9   0.0   2.8  88.3   0.0    2  26358   8787   66    0    0  63.37    0.00  18.64  13.34  31.39  61.05  61.00  20.00  40.05  60.00  54.00  40.05   0.00
12:17:20   4.2   0.0   0.0  95.8   0.0    2    525    614    0    0    0  38.36    0.00  11.61   6.69  20.06  61.05  61.00  20.00  40.05  60.00  62.00  40.05   0.00
12:17:21   4.2   0.0   0.0  95.8   0.0    2    606    657    0    0    0  39.30    0.00  11.78   6.71  20.81  60.05  60.00  20.00  40.05  60.00  62.00  40.05   0.00
12:17:22   4.4   0.0   0.0  95.6   0.0    2    553    660    0    0    0  38.55    0.00  11.65   6.78  20.13  60.05  60.00  20.00  40.05  61.00  61.00  40.05   0.00
12:17:23   4.2   0.0   0.0  95.7   0.0    2    804    825    0    0    0  40.52    0.00  11.87   6.93  21.71  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:24   4.2   0.0   0.0  95.8   0.0    2    551    611    0    0    1  40.14    0.00  11.62   6.68  21.84  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:25   4.2   0.0   0.0  95.8   0.0    2    603    644    0    0    0  40.04    0.00  11.55   6.60  21.89  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:26   4.2   0.0   0.0  95.8   0.0    2    517    622    0    0    0  38.88    0.00  11.32   6.38  21.18  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:27   4.2   0.0   0.0  95.8   0.0    2    648    671    0    0    0  37.96    0.00  11.38   6.45  20.13  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:28   4.2   0.0   0.0  95.8   0.0    2    512    599    0    0    0  37.70    0.00  11.35   6.43  19.93  58.05  58.00  20.00  40.05  58.00  60.00  40.05   0.00
12:17:29   4.2   0.0   0.0  95.8   0.0    2    586    642    0    0    0  37.73    0.00  11.36   6.44  19.93  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:30   4.2   0.0   0.0  95.8   0.0    2    811    636    0    0    0  37.84    0.00  11.39   6.47  19.99  60.05  60.00  20.00  39.05  60.00  60.00  40.05   0.00
12:17:31   4.2   0.0   0.0  95.8   0.0    2    625    673    0    0    0  37.85    0.00  11.40   6.48  19.97  60.05  60.00  20.00  39.05  60.00  60.00  40.05   0.00
12:17:32   4.2   0.0   0.0  95.8   0.0    2    520    571    0    0    0  37.69    0.00  11.35   6.44  19.89  60.05  60.00  20.00  39.05  60.00  60.00  40.05   0.00
12:17:33   4.2   0.0   0.0  95.8   0.0    2    597    596    0    0    0  38.55    0.00  11.49   6.39  20.67  60.05  60.00  20.00  39.05  60.00  60.00  40.05   0.00
12:17:34   4.2   0.0   0.0  95.8   0.0    2    536    557    0    0    0  38.64    0.00  11.50   6.40  20.73  60.05  60.00  20.00  39.05  60.00  60.00  40.05   0.00
12:17:35   4.2   0.0   0.0  95.8   0.0    2    622    607    0    0    0  37.59    0.00  11.32   6.40  19.87  61.05  61.00  20.00  40.05  61.00  61.00  40.05   0.00
12:17:36   4.2   0.0   0.0  95.8   0.0    2    496    531    0    0    0  37.66    0.00  11.35   6.43  19.87  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:37   4.2   0.0   0.0  95.8   0.0    2    583    586    0    0    0  37.66    0.00  11.34   6.42  19.90  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:38   4.2   0.0   0.0  95.7   0.0    2    561    618    0    0    0  38.62    0.00  11.51   6.44  20.66  60.05  60.00  20.00  40.05  60.00  61.00  40.05   0.00
12:17:39   4.2   0.0   0.0  95.8   0.0    2    642    643    0    0    0  37.91    0.00  11.40   6.45  20.06  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:40   4.2   0.0   0.0  95.8   0.0    2    500    527    0    0    0  37.90    0.00  11.48   6.45  19.98  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:41   4.2   0.0   0.0  95.8   0.0    2    584    609    0    0    0  38.71    0.00  11.51   6.42  20.78  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:42   4.2   0.0   0.0  95.8   0.0    2    540    587    0    0    0  37.68    0.00  11.36   6.45  19.87  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:43   4.2   0.0   0.0  95.8   0.0    2    618    634    0    0    0  37.66    0.00  11.32   6.42  19.91  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:44   4.2   0.0   0.0  95.8   0.0    2    520    520    0    0    0  37.64    0.00  11.32   6.44  19.87  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:45   4.2   0.0   0.0  95.7   0.0    2    572    588    0    0    0  38.70    0.00  11.55   6.44  20.72  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:46   4.2   0.0   0.0  95.8   0.0    2    504    567    0    0    0  37.69    0.00  11.35   6.46  19.88  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
12:17:47   4.2   0.0   0.0  95.8   0.0    2    633    608    0    0    0  37.65    0.00  11.33   6.42  19.89  60.05  60.00  20.00  40.05  60.00  60.00  40.05   0.00
