Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
11:31:24   0.0   0.0   0.0 100.0   0.0    1    231    319    0    0    0   4.59    0.00   1.14   0.20   3.25  53.05  53.00  20.00  42.05  54.00  69.00  42.05   0.00
11:31:25   0.0   0.0   0.0 100.0   0.0    1    215     99    0    0    0   2.36    0.00   0.60   0.06   1.69  52.05  52.00  20.00  42.05  52.00  62.00  42.05   0.00
11:31:26   0.1   0.0   0.1  99.8   0.0    2    274    152    9    3    3   2.72    0.00   0.74   0.19   1.79  51.05  51.00  20.00  42.05  51.00  62.00  42.05   0.00
11:31:27   8.5   0.0   0.3  91.3   0.0    2  17940   3200   22    0    2  68.12    0.00  20.34  15.35  32.43  72.05  72.00  20.00  42.05  72.00  62.00  42.05   0.00
11:31:28   4.2   0.0   0.0  95.8   0.0    2    247    549    0    0    0  49.92    0.00  15.20  10.47  24.25  71.05  71.00  20.00  42.05  71.00  59.00  42.05   0.00
11:31:29   4.2   0.0   0.0  95.8   0.0    2    243    620    0    0    0  50.39    0.00  15.20  10.28  24.92  71.05  71.00  20.00  42.05  71.00  73.00  42.05   0.00
11:31:30   4.2   0.0   0.0  95.8   0.0    2    216    539    0    0    0  49.35    0.00  14.97  10.25  24.13  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:31   4.2   0.0   0.0  95.8   0.0    2    230    569    0    0    0  49.35    0.00  15.01  10.29  24.05  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:32   4.2   0.0   0.0  95.8   0.0    2    242    558    0    0    0  49.34    0.00  14.99  10.28  24.07  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:33   4.2   0.0   0.0  95.8   0.0    2    214    557    0    0    3  49.46    0.00  15.00  10.28  24.18  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:34   4.2   0.0   0.0  95.8   0.0    2    214    554    0    0    0  49.56    0.00  15.01  10.29  24.26  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:35   4.2   0.0   0.0  95.8   0.0    2    291    598    0    0    0  49.67    0.00  15.04  10.31  24.31  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:36   4.2   0.0   0.0  95.8   0.0    2    266    590    0    0    0  49.64    0.00  15.02  10.30  24.31  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:37   4.2   0.0   0.0  95.8   0.0    2    189    564    0    0    0  49.57    0.00  15.01  10.30  24.27  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:38   4.2   0.0   0.0  95.8   0.0    2    244    562    0    0    1  49.57    0.00  15.01  10.27  24.28  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:39   4.2   0.0   0.0  95.8   0.0    2    293    594    0    0    0  50.58    0.00  15.17  10.28  25.13  73.05  73.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:40   4.2   0.0   0.0  95.8   0.0    2    219    554    0    0    0  49.47    0.00  15.00  10.27  24.20  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:41   4.2   0.0   0.0  95.8   0.0    2    182    558    0    0    0  49.55    0.00  15.00  10.28  24.26  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:42   4.2   0.0   0.0  95.8   0.0    2    211    551    0    0    0  49.50    0.00  14.98  10.26  24.26  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:43   4.2   0.0   0.0  95.8   0.0    2    260    585    0    0    0  49.53    0.00  14.99  10.28  24.27  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:44   4.2   0.0   0.0  95.7   0.0    2    260    592    0    0    0  50.69    0.00  15.22  10.32  25.15  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:45   4.2   0.0   0.0  95.8   0.0    2    207    561    0    0    0  49.49    0.00  14.98  10.26  24.25  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:46   4.2   0.0   0.0  95.8   0.0    2    200    554    0    0    0  49.54    0.00  14.99  10.30  24.25  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:47   4.2   0.0   0.0  95.8   0.0    2    228    559    0    0    0  49.53    0.00  15.00  10.27  24.26  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:48   4.2   0.0   0.0  95.8   0.0    2    693    674    0    0    0  51.26    0.00  15.29  10.54  25.42  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:49   4.2   0.0   0.0  95.8   0.0    2    214    564    0    0    0  51.45    0.00  15.05  10.26  26.14  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
11:31:50   4.2   0.0   0.0  95.8   0.0    2    208    552    0    0    0  51.42    0.00  15.04  10.26  26.12  72.05  72.00  20.00  42.05  72.00  73.00  42.05   0.00
