Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
02:46:09   0.0   0.0   0.0 100.0   0.0    1    221    291    0    0    0   4.68    0.00   1.25   0.21   3.22  52.05  52.00  20.00  40.05  52.00  66.00  41.05   0.00
02:46:10   0.0   0.0   0.0 100.0   0.0    1    171    108    0    0    0   4.68    0.00   1.28   0.07   3.32  53.05  53.00  20.00  40.05  53.00  66.00  41.05   0.00
02:46:11   0.0   0.0   0.2  99.8   0.0    2    344    201   10    3    3   4.02    0.00   1.14   0.21   2.66  51.05  51.00  20.00  40.05  51.00  60.00  41.05   0.00
02:46:12   4.5   0.0   0.0  95.5   0.0    2   1744    831   15    0    2  53.05    0.00  15.96  11.14  25.95  69.05  69.00  20.00  40.05  69.00  60.00  41.05   0.00
02:46:13   4.2   0.0   0.0  95.8   0.0    2    221    556    0    0    0  52.00    0.00  15.73  10.97  25.30  70.05  71.00  20.00  40.05  71.00  68.00  41.05   0.00
02:46:14   4.2   0.0   0.0  95.8   0.0    2    195    553    0    0    0  51.46    0.00  15.61  10.93  24.92  70.05  70.00  20.00  40.05  70.00  68.00  41.05   0.00
02:46:15   4.2   0.0   0.0  95.8   0.0    2    214    562    0    0    0  51.62    0.00  15.66  10.97  24.99  70.05  70.00  20.00  40.05  70.00  68.00  40.05   0.00
02:46:16   4.2   0.0   0.0  95.8   0.0    2    270    543    0    0    0  51.46    0.00  15.61  10.92  24.93  70.05  70.00  20.00  40.05  70.00  70.00  40.05   0.00
02:46:17   4.2   0.0   0.0  95.8   0.0    2    232    562    0    0    1  51.58    0.00  15.64  10.96  24.98  71.05  71.00  20.00  40.05  71.00  70.00  40.05   0.00
02:46:18   4.2   0.0   0.0  95.8   0.0    2    214    600    0    0    0  52.65    0.00  15.85  11.00  25.80  70.05  70.00  20.00  41.05  69.00  70.00  40.05   0.00
02:46:19   4.2   0.0   0.0  95.8   0.0    2    221    563    0    0    0  51.63    0.00  15.68  10.96  24.99  68.05  68.00  20.00  41.05  68.00  70.00  40.05   0.00
02:46:20   4.2   0.0   0.0  95.8   0.0    2    180    548    0    0    0  51.64    0.00  15.66  10.97  25.01  70.05  70.00  20.00  41.05  69.00  70.00  41.05   0.00
02:46:21   4.2   0.0   0.0  95.8   0.0    2    384    649    0    0    0  53.62    0.00  15.96  11.21  26.44  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:22   4.2   0.0   0.0  95.8   0.0    2    497    625    0    0    2  53.61    0.00  15.74  10.97  26.90  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:46:23   4.2   0.0   0.0  95.8   0.0    2    271    571    0    0    0  54.06    0.00  15.82  10.95  27.29  71.05  71.00  20.00  40.05  71.00  70.00  41.05   0.00
02:46:24   4.2   0.0   0.0  95.8   0.0    2    198    539    0    0    0  53.51    0.00  15.79  10.96  26.76  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:25   4.2   0.0   0.0  95.8   0.0    2    181    547    0    0    0  51.82    0.00  15.68  10.97  25.18  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:26   4.2   0.0   0.0  95.8   0.0    2    201    562    0    0    0  51.59    0.00  15.66  10.95  24.99  71.05  71.00  20.00  40.05  71.00  70.00  41.05   0.00
02:46:27   4.2   0.0   0.0  95.8   0.0    2    233    564    0    0    0  51.66    0.00  15.68  10.96  25.01  69.05  69.00  20.00  40.05  69.00  71.00  41.05   0.00
02:46:28   4.2   0.0   0.0  95.8   0.0    2    204    556    0    0    0  51.83    0.00  15.65  10.94  25.24  71.05  71.00  20.00  40.05  71.00  71.00  41.05   0.00
02:46:29   4.2   0.0   0.0  95.8   0.0    2    208    552    0    0    0  51.78    0.00  15.65  10.95  25.18  70.05  70.00  20.00  40.05  70.00  71.00  41.05   0.00
02:46:30   4.2   0.0   0.0  95.8   0.0    2    184    550    0    0    0  51.76    0.00  15.65  10.94  25.17  70.05  70.00  20.00  40.05  70.00  71.00  41.05   0.00
02:46:31   4.2   0.0   0.0  95.8   0.0    2    230    556    0    0    0  51.81    0.00  15.67  10.96  25.19  68.05  68.00  20.00  40.05  68.00  71.00  41.05   0.00
02:46:32   4.2   0.0   0.0  95.8   0.0    2    194    555    0    0    0  51.84    0.00  15.68  10.97  25.19  70.05  70.00  20.00  40.05  70.00  71.00  41.05   0.00
02:46:33   4.2   0.0   0.0  95.8   0.0    2    204    543    0    0    0  51.75    0.00  15.64  10.94  25.16  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:34   4.2   0.0   0.0  95.8   0.0    2    192    562    0    0    0  51.85    0.00  15.68  10.97  25.20  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:35   4.2   0.0   0.0  95.8   0.0    2    211    558    0    0    0  51.76    0.00  15.65  10.94  25.16  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:36   4.2   0.0   0.0  95.8   0.0    2    194    553    0    0    0  51.77    0.00  15.65  10.94  25.18  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:37   4.2   0.0   0.0  95.8   0.0    2    215    560    0    0    0  51.87    0.00  15.66  10.97  25.24  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:38   4.2   0.0   0.0  95.8   0.0    2    180    554    0    0    0  51.82    0.00  15.66  10.97  25.19  68.05  68.00  20.00  41.05  68.00  71.00  41.05   0.00
02:46:39   4.2   0.0   0.0  95.8   0.0    2    238    576    0    0    0  52.82    0.00  15.84  10.96  26.02  70.05  70.00  20.00  40.05  70.00  71.00  41.05   0.00
02:46:40   4.2   0.0   0.0  95.8   0.0    2    182    551    0    0    0  51.72    0.00  15.63  10.93  25.16  71.05  71.00  20.00  40.05  71.00  70.00  41.05   0.00
02:46:41   4.2   0.0   0.0  95.8   0.0    2    192    545    0    0    0  51.76    0.00  15.64  10.95  25.17  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:42   4.2   0.0   0.0  95.8   0.0    2    182    557    0    0    0  51.78    0.00  15.65  10.95  25.18  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:43   4.2   0.0   0.0  95.8   0.0    2    239    588    0    0    0  52.91    0.00  15.86  10.98  26.07  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:44   4.2   0.0   0.0  95.8   0.0    2    208    557    0    0    0  51.91    0.00  15.69  10.99  25.22  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:46:45   4.2   0.0   0.0  95.8   0.0    2    185    543    0    0    0  51.82    0.00  15.67  10.97  25.18  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:46   4.2   0.0   0.0  95.8   0.0    2    198    480    0    0    0  51.78    0.00  15.66  10.96  25.16  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
02:46:47   4.2   0.0   0.0  95.8   0.0    2    399    677    0    0    0  54.16    0.00  15.98  11.21  26.97  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:48   4.2   0.0   0.0  95.8   0.0    2    172    540    0    0    0  53.65    0.00  15.69  10.93  27.02  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:49   4.2   0.0   0.0  95.8   0.0    2    188    555    0    0    0  53.61    0.00  15.69  10.93  27.00  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:50   4.2   0.0   0.0  95.8   0.0    2    188    539    0    0    0  53.03    0.00  15.70  10.95  26.38  70.05  70.00  20.00  40.05  70.00  71.00  41.05   0.00
02:46:51   4.2   0.0   0.0  95.8   0.0    2    236    571    0    0    0  51.96    0.00  15.67  10.96  25.34  69.05  69.00  20.00  40.05  69.00  71.00  41.05   0.00
02:46:52   4.2   0.0   0.0  95.8   0.0    2    482    573    0    0    0  51.90    0.00  15.68  10.97  25.25  71.05  71.00  20.00  40.05  71.00  70.00  41.05   0.00
02:46:53   4.2   0.0   0.0  95.8   0.0    2    190    539    0    0    0  51.82    0.00  15.67  10.96  25.20  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:46:54   4.2   0.0   0.0  95.8   0.0    2    198    556    0    0    0  51.80    0.00  15.66  10.94  25.21  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:55   4.2   0.0   0.0  95.8   0.0    2    208    556    0    0    0  51.81    0.00  15.66  10.95  25.20  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:46:56   4.2   0.0   0.0  95.8   0.0    2    200    551    0    0    0  51.80    0.00  15.65  10.94  25.20  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:57   4.2   0.0   0.0  95.8   0.0    2    208    543    0    0    0  51.73    0.00  15.63  10.92  25.18  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:46:58   4.2   0.0   0.0  95.8   0.0    2    184    582    0    0    0  52.80    0.00  15.83  10.94  26.03  70.05  70.00  20.00  41.05  70.00  71.00  41.05   0.00
02:46:59   4.2   0.0   0.0  95.8   0.0    2    232    574    0    0    0  51.77    0.00  15.65  10.94  25.19  70.05  70.00  20.00  41.05  70.00  71.00  41.05   0.00
02:47:00   4.2   0.0   0.0  95.8   0.0    2    205    568    0    0    0  51.84    0.00  15.64  10.93  25.26  70.05  70.00  20.00  41.05  70.00  71.00  41.05   0.00
02:47:01   4.2   0.0   0.0  95.8   0.0    2    204    549    0    0    0  51.75    0.00  15.63  10.93  25.19  69.05  69.00  20.00  41.05  69.00  71.00  40.05   0.00
02:47:02   4.2   0.0   0.0  95.8   0.0    2    210    575    0    0    0  51.79    0.00  15.64  10.93  25.22  68.05  68.00  20.00  41.05  68.00  71.00  40.05   0.00
02:47:03   4.2   0.0   0.0  95.8   0.0    2    240    574    0    0    0  52.83    0.00  15.84  10.94  26.06  69.05  69.00  20.00  41.05  69.00  71.00  40.05   0.00
02:47:04   4.2   0.0   0.0  95.8   0.0    2    186    548    0    0    0  51.83    0.00  15.66  10.96  25.21  70.05  70.00  20.00  41.05  70.00  71.00  40.05   0.00
02:47:05   4.2   0.0   0.0  95.8   0.0    2    186    535    0    0    0  51.78    0.00  15.65  10.95  25.18  70.05  70.00  20.00  41.05  70.00  71.00  40.05   0.00
02:47:06   4.2   0.0   0.0  95.8   0.0    2    192    563    0    0    0  51.80    0.00  15.66  10.95  25.19  69.05  69.00  20.00  41.05  69.00  71.00  41.05   0.00
02:47:07   4.2   0.0   0.0  95.8   0.0    2    236    564    0    0    0  51.85    0.00  15.67  10.97  25.21  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:08   4.2   0.0   0.0  95.8   0.0    2    186    555    0    0    0  51.89    0.00  15.69  10.98  25.22  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:09   4.2   0.0   0.0  95.8   0.0    2    238    553    0    0    0  51.91    0.00  15.68  10.97  25.25  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:10   4.2   0.0   0.0  95.8   0.0    2    186    567    0    0    0  51.85    0.00  15.68  10.97  25.20  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:11   4.2   0.0   0.0  95.8   0.0    2    223    562    0    0    0  51.79    0.00  15.65  10.95  25.19  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:12   4.2   0.0   0.0  95.8   0.0    2    209    554    0    0    0  51.90    0.00  15.68  10.97  25.25  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:13   4.2   0.0   0.0  95.8   0.0    2    192    541    0    0    0  51.83    0.00  15.67  10.97  25.19  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:14   4.2   0.0   0.0  95.8   0.0    2    200    560    0    0    0  51.83    0.00  15.67  10.98  25.18  69.05  69.00  20.00  40.05  69.00  70.00  41.05   0.00
02:47:15   4.2   0.0   0.0  95.8   0.0    2    206    562    0    0    0  51.87    0.00  15.68  10.99  25.20  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:16   4.2   0.0   0.0  95.8   0.0    2    192    554    0    0    0  51.84    0.00  15.67  10.99  25.19  68.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:47:17   4.2   0.0   0.0  95.8   0.0    2    214    567    0    0    0  52.28    0.00  15.75  10.99  25.55  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:18   4.2   0.0   0.0  95.8   0.0    2    194    558    0    0    0  52.51    0.00  15.80  10.99  25.72  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:19   4.2   0.0   0.0  95.8   0.0    2    218    568    0    0    0  52.02    0.00  15.75  11.04  25.23  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:20   4.2   0.0   0.0  95.8   0.0    2    196    554    0    0    0  51.99    0.00  15.72  11.03  25.24  71.05  71.00  20.00  41.05  71.00  70.00  41.05   0.00
02:47:21   4.2   0.0   0.0  95.8   0.0    2    225    579    0    0    0  51.97    0.00  15.72  11.03  25.23  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:22   4.2   0.0   0.0  95.8   0.0    2    507    602    0    0    0  52.45    0.00  15.76  11.05  25.64  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:23   4.2   0.0   0.0  95.8   0.0    2    367    672    0    0    0  54.71    0.00  16.02  11.25  27.44  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:24   4.2   0.0   0.0  95.8   0.0    2    188    555    0    0    0  54.02    0.00  15.82  11.06  27.13  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:25   4.2   0.0   0.0  95.8   0.0    2    180    552    0    0    0  53.79    0.00  15.75  10.99  27.06  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
02:47:26   4.2   0.0   0.0  95.8   0.0    2    212    558    0    0    0  52.40    0.00  15.68  10.97  25.75  70.05  70.00  20.00  41.05  71.00  70.00  41.05   0.00
02:47:27   4.2   0.0   0.0  95.8   0.0    2    247    566    0    0    0  52.39    0.00  15.78  10.97  25.65  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:28   4.2   0.0   0.0  95.8   0.0    2    182    567    0    0    0  53.41    0.00  15.96  10.99  26.46  70.05  70.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:29   4.2   0.0   0.0  95.8   0.0    2    214    432    0    0    0  51.86    0.00  15.69  10.96  25.21  69.05  69.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:30   4.2   0.0   0.0  95.8   0.0    2    190    593    0    0    0  51.90    0.00  15.69  10.99  25.22  68.05  68.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:31   4.2   0.0   0.0  95.8   0.0    2    226    574    0    0    0  51.86    0.00  15.68  10.98  25.21  69.05  69.00  20.00  40.05  69.00  70.00  41.05   0.00
02:47:32   4.2   0.0   0.0  95.8   0.0    2    200    549    0    0    0  51.89    0.00  15.69  10.99  25.21  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:33   4.2   0.0   0.0  95.8   0.0    2    212    558    0    0    0  52.96    0.00  15.90  11.00  26.06  68.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:47:34   4.2   0.0   0.0  95.8   0.0    2    190    572    0    0    0  51.97    0.00  15.72  11.01  25.25  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:35   4.2   0.0   0.0  95.8   0.0    2    217    553    0    0    0  51.89    0.00  15.70  10.99  25.21  69.05  69.00  20.00  41.05  69.00  70.00  41.05   0.00
02:47:36   4.2   0.0   0.0  95.8   0.0    2    180    549    0    0    0  51.95    0.00  15.72  11.01  25.22  68.05  68.00  20.00  41.05  70.00  70.00  41.05   0.00
02:47:37   4.2   0.0   0.0  95.8   0.0    2    212    548    0    0    0  51.90    0.00  15.70  11.00  25.20  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
02:47:38   4.2   0.0   0.0  95.8   0.0    2    209    560    0    0    0  51.96    0.00  15.70  11.00  25.25  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
02:47:39   4.2   0.0   0.0  95.8   0.0    2    216    557    0    0    0  51.92    0.00  15.71  11.01  25.21  70.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:47:40   4.2   0.0   0.0  95.8   0.0    2    178    554    0    0    0  51.85    0.00  15.68  11.00  25.18  69.05  69.00  20.00  40.05  69.00  70.00  41.05   0.00
02:47:41   4.2   0.0   0.0  95.8   0.0    2    196    546    0    0    0  52.02    0.00  15.72  11.03  25.26  68.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:47:42   4.2   0.0   0.0  95.8   0.0    2    184    566    0    0    0  51.93    0.00  15.72  11.01  25.20  69.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:43   4.2   0.0   0.0  95.8   0.0    2    242    579    0    0    0  52.79    0.00  15.84  10.96  25.98  68.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:47:44   4.2   0.0   0.0  95.8   0.0    2    186    555    0    0    0  51.85    0.00  15.68  10.98  25.19  70.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:45   4.2   0.0   0.0  95.8   0.0    2    184    536    0    0    0  51.88    0.00  15.69  10.99  25.19  69.05  70.00  20.00  40.05  70.00  70.00  41.05   0.00
02:47:46   4.2   0.0   0.0  95.8   0.0    2    188    576    0    0    0  51.83    0.00  15.67  10.98  25.19  69.05  69.00  20.00  40.05  69.00  70.00  40.05   0.00
02:47:47   4.2   0.0   0.0  95.8   0.0    2    227    562    0    0    0  51.79    0.00  15.67  10.98  25.15  68.05  68.00  20.00  40.05  68.00  70.00  40.05   0.00
02:47:48   4.2   0.0   0.0  95.8   0.0    2    339    635    0    0    0  53.31    0.00  15.95  11.23  26.12  69.05  69.00  20.00  40.05  69.00  70.00  40.05   0.00
02:47:49   4.2   0.0   0.0  95.8   0.0    2    214    573    0    0    0  53.81    0.00  15.74  10.99  27.08  69.05  69.00  20.00  40.05  69.00  70.00  40.05   0.00
02:47:50   4.2   0.0   0.0  95.8   0.0    2    184    557    0    0    0  53.90    0.00  15.78  11.02  27.10  68.05  68.00  20.00  41.05  68.00  70.00  40.05   0.00
02:47:51   4.2   0.0   0.0  95.8   0.0    2    254    585    0    0    0  53.93    0.00  15.78  11.04  27.11  69.05  69.00  20.00  41.05  69.00  70.00  40.05   0.00
02:47:52   4.2   0.0   0.0  95.8   0.0    2    492    436    0    0    0  52.22    0.00  15.71  11.01  25.50  68.05  68.00  20.00  41.05  68.00  70.00  40.05   0.00
02:47:53   4.2   0.0   0.0  95.8   0.0    2    216    565    0    0    0  52.97    0.00  15.90  11.01  26.07  69.05  69.00  20.00  41.05  69.00  70.00  40.05   0.00
02:47:54   4.2   0.0   0.0  95.8   0.0    2    188    562    0    0    0  51.84    0.00  15.67  10.98  25.19  68.05  68.00  20.00  41.05  68.00  70.00  40.05   0.00
02:47:55   4.2   0.0   0.0  95.8   0.0    2    228    567    0    0    0  51.86    0.00  15.68  10.98  25.20  68.05  68.00  20.00  40.05  68.00  70.00  40.05   0.00
02:47:56   4.2   0.0   0.0  95.8   0.0    2    191    556    0    0    0  51.91    0.00  15.70  10.99  25.22  68.05  68.00  20.00  40.05  68.00  70.00  40.05   0.00
02:47:57   4.2   0.0   0.0  95.8   0.0    2    196    547    0    0    0  51.95    0.00  15.72  11.02  25.21  68.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:47:58   4.2   0.0   0.0  95.8   0.0    2    190    562    0    0    0  53.02    0.00  15.93  11.03  26.06  69.05  69.00  20.00  40.05  69.00  70.00  41.05   0.00
02:47:59   4.2   0.0   0.0  95.8   0.0    2    232    571    0    0    0  52.01    0.00  15.74  11.03  25.24  68.05  68.00  20.00  40.05  68.00  70.00  41.05   0.00
02:48:00   4.2   0.0   0.0  95.8   0.0    2    213    585    0    0    0  52.05    0.00  15.74  11.04  25.27  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
02:48:01   4.2   0.0   0.0  95.8   0.0    2    216    553    0    0    0  51.87    0.00  15.69  10.98  25.21  68.05  68.00  20.00  41.05  68.00  70.00  41.05   0.00
