          Category;                      Type;  Run Identifier;  Energy Samples; Total Energy (Watt⋅sec)
        graalvm-ce;               monomorphic;         default;            1203;               62387.487
      native-image;             megamorphic_3;        pgo_g1gc;            1203;               43788.217
      native-image;             megamorphic_8;        pgo_g1gc;            1203;               46103.417
     azul-prime-vm;                 bimorphic;         default;            1204;               61869.135
      native-image;             megamorphic_8;         default;            1203;               67485.557
openjdk-hotspot-vm;               monomorphic;         default;            1203;               42988.167
      native-image;               monomorphic;        pgo_g1gc;            1203;               46140.847
 eclipse-openj9-vm;             megamorphic_3;         default;            1204;               42772.155
     azul-prime-vm;             megamorphic_3;         default;            1204;               63844.315
 eclipse-openj9-vm;               monomorphic;         default;            1204;               43587.635
    oracle-graalvm;               monomorphic;         default;            1203;               61061.447
 eclipse-openj9-vm;                 bimorphic;         default;            1204;               43983.575
     azul-prime-vm;               monomorphic;         default;            1204;               59358.485
 eclipse-openj9-vm;             megamorphic_8;         default;            1204;               45130.315
    oracle-graalvm;             megamorphic_8;         default;            1203;               67469.187
     azul-prime-vm;             megamorphic_8;         default;            1209;               45926.492
      native-image;               monomorphic;         default;            1203;               61448.607
    oracle-graalvm;             megamorphic_3;         default;            1203;               61050.307
    oracle-graalvm;                 bimorphic;         default;            1203;               61503.307
        graalvm-ce;             megamorphic_3;         default;            1203;               58057.757
        graalvm-ce;                 bimorphic;         default;            1203;               58492.907
openjdk-hotspot-vm;             megamorphic_3;         default;            1203;               45810.257
openjdk-hotspot-vm;             megamorphic_8;         default;            1203;               45886.457
        graalvm-ce;             megamorphic_8;         default;            1203;               62555.917
      native-image;             megamorphic_3;         default;            1203;               60927.607
openjdk-hotspot-vm;                 bimorphic;         default;            1203;               45080.357
      native-image;                 bimorphic;         default;            1203;               60733.397
      native-image;                 bimorphic;        pgo_g1gc;            1203;               46801.617

# Note: The power reference baseline has already been excluded from the energy scores
