     Test Category;                 Test Type;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;                        NA;               3;                     69.150;                 20.100;         26.130
     azul-prime-vm;                        NA;               2;                     68.840;                 20.010;         25.929
     azul-prime-vm;                        NA;               1;                     69.310;                 20.360;         26.503
     azul-prime-vm;                        NA;               5;                     69.440;                 20.330;         26.316
     azul-prime-vm;                        NA;               4;                     68.940;                 20.090;         26.130
 eclipse-openj9-vm;                        NA;               4;                    109.900;                 28.380;         40.783
 eclipse-openj9-vm;                        NA;               3;                    119.800;                 30.740;         43.827
 eclipse-openj9-vm;                        NA;               2;                     98.460;                 25.070;         36.637
 eclipse-openj9-vm;                        NA;               5;                    107.620;                 27.900;         39.699
 eclipse-openj9-vm;                        NA;               1;                    109.250;                 27.820;         39.683
        graalvm-ce;                        NA;               2;                     41.450;                 12.840;         18.168
        graalvm-ce;                        NA;               4;                     41.470;                 12.920;         18.312
        graalvm-ce;                        NA;               5;                     41.220;                 12.830;         18.193
        graalvm-ce;                        NA;               3;                     41.480;                 12.890;         18.189
        graalvm-ce;                        NA;               1;                     41.210;                 12.900;         18.235
        graalvm-ee;                        NA;               5;                     40.910;                 13.070;         17.949
        graalvm-ee;                        NA;               4;                     41.260;                 13.170;         18.094
        graalvm-ee;                        NA;               2;                     40.830;                 13.010;         17.877
        graalvm-ee;                        NA;               3;                     40.470;                 13.160;         18.046
        graalvm-ee;                        NA;               1;                     40.790;                 13.060;         17.891
      native-image;                        NA;               4;                    830.930;                296.240;        297.114
      native-image;                        NA;               2;                    820.090;                291.110;        291.583
      native-image;                        NA;               5;                    828.880;                292.200;        295.266
      native-image;                        NA;               1;                    823.940;                293.400;        295.605
      native-image;                        NA;               3;                    839.920;                296.330;        294.829
openjdk-hotspot-vm;                        NA;               1;                     47.530;                 13.870;         18.999
openjdk-hotspot-vm;                        NA;               5;                     48.250;                 13.660;         18.771
openjdk-hotspot-vm;                        NA;               3;                     46.750;                 13.740;         18.762
openjdk-hotspot-vm;                        NA;               2;                     47.110;                 13.800;         18.929
openjdk-hotspot-vm;                        NA;               4;                     48.540;                 13.870;         18.891
