     Test Category;                 Test Type;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Total (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;                     const;               3;                     56.530;                 16.830;            73.360;         27.452
     azul-prime-vm;                     const;               4;                     54.870;                 16.940;            71.810;         27.578
     azul-prime-vm;                     const;               2;                     55.980;                 16.820;            72.800;         27.466
     azul-prime-vm;                     const;               5;                     56.910;                 16.920;            73.830;         27.594
     azul-prime-vm;                     const;               1;                     54.780;                 17.090;            71.870;         27.879
     azul-prime-vm;                    lambda;               1;                    423.930;                134.130;           558.060;        233.815
     azul-prime-vm;                    lambda;               3;                    433.350;                133.670;           567.020;        233.008
     azul-prime-vm;                    lambda;               5;                    439.550;                132.690;           572.240;        230.428
     azul-prime-vm;                    lambda;               4;                    430.030;                134.260;           564.290;        233.860
     azul-prime-vm;                    lambda;               2;                    439.320;                134.180;           573.500;        233.916
     azul-prime-vm;                       new;               4;                    432.090;                132.930;           565.020;        231.156
     azul-prime-vm;                       new;               3;                    421.120;                132.140;           553.260;        229.867
     azul-prime-vm;                       new;               2;                    433.290;                132.550;           565.840;        230.609
     azul-prime-vm;                       new;               5;                    437.150;                133.060;           570.210;        230.444
     azul-prime-vm;                       new;               1;                    426.160;                132.200;           558.360;        229.953
     azul-prime-vm;             override_fist;               4;                     55.480;                 16.910;            72.390;         27.455
     azul-prime-vm;             override_fist;               1;                     54.860;                 16.780;            71.640;         27.328
     azul-prime-vm;             override_fist;               2;                     56.570;                 16.880;            73.450;         27.476
     azul-prime-vm;             override_fist;               3;                     55.310;                 16.820;            72.130;         27.388
     azul-prime-vm;             override_fist;               5;                     57.100;                 16.930;            74.030;         27.461
 eclipse-openj9-vm;                     const;               4;                     39.750;                 10.870;            50.620;         17.201
 eclipse-openj9-vm;                     const;               1;                     82.090;                 20.160;           102.250;         28.315
 eclipse-openj9-vm;                     const;               2;                     47.970;                 12.760;            60.730;         19.792
 eclipse-openj9-vm;                     const;               5;                     45.810;                 12.130;            57.940;         19.031
 eclipse-openj9-vm;                     const;               3;                     43.820;                 11.590;            55.410;         18.267
 eclipse-openj9-vm;                    lambda;               5;                    491.250;                156.890;           648.140;        279.960
 eclipse-openj9-vm;                    lambda;               4;                    499.770;                156.780;           656.550;        279.966
 eclipse-openj9-vm;                    lambda;               2;                    512.440;                157.430;           669.870;        281.078
 eclipse-openj9-vm;                    lambda;               3;                    506.650;                157.950;           664.600;        281.664
 eclipse-openj9-vm;                    lambda;               1;                    522.470;                159.840;           682.310;        284.612
 eclipse-openj9-vm;                       new;               3;                    502.180;                158.270;           660.450;        281.624
 eclipse-openj9-vm;                       new;               1;                    504.270;                158.090;           662.360;        282.111
 eclipse-openj9-vm;                       new;               4;                    496.540;                159.040;           655.580;        283.147
 eclipse-openj9-vm;                       new;               5;                    494.700;                156.650;           651.350;        278.786
 eclipse-openj9-vm;                       new;               2;                    517.130;                159.550;           676.680;        284.438
 eclipse-openj9-vm;             override_fist;               1;                     50.100;                 13.550;            63.650;         21.318
 eclipse-openj9-vm;             override_fist;               5;                     43.790;                 11.900;            55.690;         19.179
 eclipse-openj9-vm;             override_fist;               2;                     44.890;                 12.170;            57.060;         19.338
 eclipse-openj9-vm;             override_fist;               4;                     45.880;                 12.410;            58.290;         19.814
 eclipse-openj9-vm;             override_fist;               3;                     52.360;                 14.020;            66.380;         22.031
        graalvm-ce;                     const;               2;                     35.850;                 11.980;            47.830;         20.795
        graalvm-ce;                     const;               3;                     35.600;                 11.890;            47.490;         20.646
        graalvm-ce;                     const;               5;                     37.110;                 12.000;            49.110;         20.821
        graalvm-ce;                     const;               1;                     38.210;                 12.150;            50.360;         21.033
        graalvm-ce;                     const;               4;                     37.730;                 12.080;            49.810;         20.934
        graalvm-ce;                    lambda;               5;                    337.030;                106.780;           443.810;        187.620
        graalvm-ce;                    lambda;               3;                    327.920;                107.990;           435.910;        189.937
        graalvm-ce;                    lambda;               2;                    329.410;                108.940;           438.350;        191.621
        graalvm-ce;                    lambda;               1;                    324.730;                107.570;           432.300;        189.341
        graalvm-ce;                    lambda;               4;                    331.290;                109.350;           440.640;        192.170
        graalvm-ce;                       new;               1;                    333.830;                107.110;           440.940;        188.157
        graalvm-ce;                       new;               3;                    330.310;                106.770;           437.080;        187.484
        graalvm-ce;                       new;               5;                    336.310;                107.850;           444.160;        189.306
