Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
09:04:56   0.0   0.0   0.0 100.0   0.0    1    203    274    0    0    0   6.97    0.00   1.74   0.10   5.12  43.05  43.00  20.00  32.05  43.00  46.00  33.05   0.00
09:04:57   0.2   0.0   0.1  99.6   0.1    1    829    519    9    2    1   9.90    0.00   2.42   0.12   7.35  43.05  43.00  20.00  32.05  43.00  45.00  33.05   0.00
09:04:58   0.1   0.0   0.1  99.8   0.0    2    339    177    6    4    4   7.09    0.00   1.80   0.10   5.19  42.05  42.00  20.00  32.05  42.00  45.00  33.05   0.00
09:04:59  17.4   0.0   1.2  81.5   0.0    7  37793  10329   42    0    1  36.05    0.00  10.16   4.81  21.07  43.05  43.00  20.00  33.05  43.00  44.00  33.05   0.00
09:05:00  10.4   0.0   0.5  89.1   0.0    3  28275   8653    0    0    0  29.90    0.00   8.30   3.19  18.40  44.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:01  13.3   0.0   0.7  86.0   0.0    4  17546  11192    9    3    5  30.45    0.00   8.44   3.19  18.83  45.05  45.00  20.00  33.05  45.00  44.00  33.05   0.00
09:05:02  13.4   0.0   3.2  83.4   0.0    6   9686  14274  214  190  192  36.20    0.00   9.92   4.29  21.99  44.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:03  12.1   0.0   1.1  86.6   0.1    2  12463   9066   30   28   26  33.87    0.00   9.23   3.68  20.96  42.05  42.00  20.00  33.05  42.00  45.00  33.05   0.00
09:05:04   4.2   0.0   0.3  95.5   0.0    2    569    805    3    3    3  30.26    0.00   8.34   3.17  18.75  45.05  45.00  20.00  33.05  44.00  45.00  33.05   0.00
09:05:05   4.3   0.0   0.3  95.5   0.0    3    471    807    3    2    3  29.81    0.00   8.15   2.85  18.81  44.05  44.00  20.00  33.05  44.00  45.00  33.05   0.00
09:05:06   0.8   0.0   0.1  99.0   0.0    1    597    572    6    3    6  13.91    0.00   3.54   0.49   9.87  43.05  44.00  20.00  33.05  43.00  45.00  33.05   0.00
09:05:07   0.2   0.0   0.3  99.6   0.0    1    577    369    3    3    3   9.91    0.00   2.50   0.21   7.20  43.05  43.00  20.00  33.05  43.00  45.00  33.05   0.00
09:05:08   0.1   0.0   0.3  99.5   0.0    1    501    415    3    3    3  11.96    0.00   2.98   0.22   8.76  43.05  44.00  20.00  33.05  43.00  45.00  33.05   0.00
09:05:09   0.1   0.0   0.3  99.6   0.0    1    498    359    3    3    3  10.12    0.00   2.56   0.21   7.35  44.05  43.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:10   0.1   0.0   0.3  99.6   0.0    1    364    286    3    3    3   9.11    0.00   2.33   0.19   6.59  44.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:11   0.2   0.0   0.3  99.5   0.0    1    697    396    3    3    3  11.73    0.00   2.98   0.21   8.54  44.05  43.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:12   0.1   0.0   0.3  99.6   0.0    1    302    254    3    3    4  10.73    0.00   2.72   0.20   7.82  43.05  43.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:13   0.0   0.0   0.3  99.6   0.0    1    264    249    3    3    4   8.10    0.00   2.08   0.18   5.84  43.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:14   0.0   0.0   0.3  99.6   0.0    1    276    228    3    3    3  10.10    0.00   2.55   0.18   7.37  43.05  43.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:15   0.1   0.0   0.3  99.7   0.0    1    348    258    3    3    3   7.95    0.00   2.04   0.17   5.73  44.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:16   0.1   0.0   0.3  99.6   0.0    1    237    207    3    3    3   7.63    0.00   1.95   0.16   5.52  43.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:17   0.1   0.0   0.3  99.6   0.0    1    280    244    3    3    3   8.03    0.00   2.05   0.17   5.80  44.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
09:05:18   0.0   0.0   0.3  99.7   0.0    1    213    223    3    3    3   7.94    0.00   2.04   0.18   5.72  44.05  44.00  20.00  33.05  44.00  44.00  33.05   0.00
