Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
11:45:29   0.0   0.0   0.0 100.0   0.0    1    198    268    0    0    0   7.77    0.00   1.89   0.10   5.78  39.05  39.00  20.00  28.05  39.00  40.00  28.05   0.00
11:45:30   0.0   0.0   0.0 100.0   0.0    1    220    119    0    0    0   5.91    0.00   1.46   0.04   4.41  39.05  39.00  20.00  28.05  39.00  41.00  28.05   0.00
11:45:31   0.1   0.0   0.2  99.7   0.0    3    697    244   10    5    9   8.89    0.00   2.20   0.11   6.58  39.05  39.00  20.00  28.05  39.00  41.00  28.05   0.00
11:45:32  12.6   0.0   1.2  86.0   0.3    2  18032   4082   40    0    1  41.90    0.00  10.58   4.08  27.23  42.05  42.00  20.00  28.05  42.00  40.00  28.05   0.00
11:45:33  14.8   0.0   0.6  84.5   0.1    7  20754   3698    1    0    0  44.06    0.00  11.36   4.94  27.75  39.05  40.00  20.00  28.05  40.00  40.00  28.05   0.00
11:45:34  19.5   0.0   1.0  79.5   0.1    6  13554   3104    0    0    0  42.12    0.00  11.39   5.41  25.31  42.05  42.00  20.00  28.05  42.00  40.00  28.05   0.00
11:45:35  15.4   0.0   1.2  83.3   0.1    4  14763   3962    4    0    0  42.49    0.00  10.92   4.24  27.33  40.05  40.00  20.00  28.05  40.00  42.00  28.05   0.00
11:45:36  18.4   0.0   0.9  80.6   0.1    5  14577   3023    1    0    3  43.68    0.00  11.32   4.74  27.62  42.05  42.00  20.00  28.05  42.00  42.00  28.05   0.00
11:45:37  18.5   0.0   0.8  80.7   0.0    5   8234   2641    0    0    0  39.65    0.00  10.78   4.83  24.05  39.05  39.00  20.00  28.05  40.00  42.00  28.05   0.00
11:45:38  20.2   0.0   0.8  79.0   0.1    5  10505   2893    0    0    0  43.13    0.00  11.39   4.85  26.89  40.05  40.00  20.00  28.05  40.00  42.00  28.05   0.00
11:45:39  26.8   0.0   1.3  71.8   0.2    5  32325   5544   63    0    0  47.14    0.00  12.25   5.76  29.12  42.05  42.00  20.00  28.05  42.00  42.00  28.05   0.00
11:45:40  28.3   0.0   0.8  70.8   0.0    8  28911   4691   18    0    0  46.34    0.00  12.22   5.80  28.32  42.05  42.00  20.00  28.05  42.00  42.00  28.05   0.00
11:45:41  16.6   0.0   2.3  81.0   0.1    3  18274   3072    0    0    1  38.46    0.00  10.33   4.52  23.61  39.05  39.00  20.00  28.05  39.00  42.00  28.05   0.00
11:45:42   8.3   0.0   1.7  89.7   0.3    2   8329   2731   53   10   47  35.67    0.00   9.38   3.51  22.79  43.05  43.00  20.00  28.05  43.00  42.00  28.05   0.00
11:45:43  11.2   0.0   1.6  86.5   0.6    2  23574   6556   38    0    0  41.90    0.00  10.33   3.55  28.02  43.05  43.00  20.00  28.05  43.00  42.00  28.05   0.00
11:45:44  71.9   0.0   1.9  26.2   0.0   32  25078  10701   32    0    0  57.93    0.00  14.83   8.02  35.08  40.05  40.00  20.00  28.05  40.00  42.00  29.05   0.00
11:45:45  69.6   0.0   2.9  27.4   0.1    8  20830  12089    0    0    1  62.96    0.00  15.92   8.60  38.44  43.05  43.00  20.00  28.05  43.00  44.00  29.05   0.00
11:45:46  42.5   0.0   2.3  55.1   0.1   12  33738  11280    0    0    0  56.45    0.00  13.92   6.65  35.88  43.05  43.00  20.00  28.05  43.00  43.00  29.05   0.00
11:45:47  46.5   0.0   2.6  50.9   0.1   10  61622  16070    0    0    6  53.58    0.00  13.51   6.86  33.21  40.05  40.00  20.00  29.05  40.00  43.00  29.05   0.00
11:45:48  21.6   0.0   0.8  77.5   0.1    5   8167   3539    3    0   11  40.92    0.00  10.81   4.74  25.36  43.05  43.00  20.00  29.05  43.00  44.00  29.05   0.00
11:45:49  16.3   0.0   0.4  83.2   0.1    3   6612   2388    4    2    1  44.42    0.00  11.91   5.55  26.95  42.05  42.00  20.00  29.05  42.00  44.00  29.05   0.00
11:45:50  10.8   0.0   0.9  88.1   0.2    2   5738   3282   59   78   56  42.85    0.00  11.15   4.63  27.07  44.05  44.00  20.00  29.05  44.00  42.00  29.05   0.00
11:45:51  20.9   0.0   0.9  78.2   0.0    7  21283   3904    8   10   10  44.52    0.00  11.79   5.99  26.73  40.05  40.00  20.00  29.05  40.00  42.00  29.05   0.00
11:45:52  21.5   0.0   0.3  78.1   0.1   19  14980   3375   17    0    1  45.46    0.00  12.38   6.57  26.51  44.05  44.00  20.00  28.05  44.00  43.00  29.05   0.00
11:45:53  66.1   0.0   1.7  32.1   0.0   21  45043  13608    2    0    1  60.50    0.00  16.23  10.04  34.24  41.05  41.00  20.00  28.05  41.00  43.00  29.05   0.00
11:45:54  81.2   0.0   1.5  17.3   0.0   21  21900   7608    0    0    0  66.14    0.00  18.10  11.99  36.05  42.05  42.00  20.00  28.05  42.00  43.00  29.05   0.00
11:45:55  75.8   0.0   0.8  23.3   0.0   14  18905   7293    0    0    0  66.15    0.00  17.97  11.56  36.63  40.05  40.00  20.00  28.05  40.00  43.00  29.05   0.00
