Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
17:17:12   0.0   0.0   0.0 100.0   0.0    1    305    227    0    0    0  17.65    0.00   4.06   0.10  13.49  45.05  20.00  33.05  45.00  45.00  47.00  33.05   0.00
17:17:13   0.0   0.0   0.0  99.9   0.0    1    252    112    0    0    0  14.84    0.00   3.40   0.04  11.40  45.05  20.00  33.05  45.00  45.00  47.00  33.05   0.00
17:17:14   0.1   0.0   0.2  99.7   0.0    3    358    214   10    4    3  15.73    0.00   3.65   0.13  11.95  45.05  20.00  33.05  45.00  45.00  47.00  33.05   0.00
17:17:15   9.4   0.0   0.6  89.8   0.1    3  19538   3281   31    0    3  39.16    0.00   9.68   3.53  25.94  46.05  20.00  33.05  46.00  46.00  46.00  33.05   0.00
17:17:16   9.5   0.0   0.8  89.7   0.0    2  10061   2350   12    0    2  40.29    0.00  10.07   3.64  26.59  46.05  20.00  33.05  46.00  46.00  46.00  33.05   0.00
17:17:17   5.6   0.0   0.3  94.0   0.1    2   4677   1394   31    1    2  32.22    0.00   7.97   2.39  21.86  45.05  20.00  33.05  45.00  45.00  46.00  33.05   0.00
17:17:18   2.8   0.0   0.5  96.7   0.1    1   3096   1049    9    8    8  29.89    0.00   7.25   1.75  20.89  44.05  20.00  33.05  45.00  45.00  46.00  33.05   0.00
17:17:19   0.1   0.0   0.3  99.6   0.0    1    310    279    3    3    3  16.84    0.00   3.93   0.20  12.71  45.05  20.00  33.05  45.00  45.00  46.00  33.05   0.00
17:17:20   0.0   0.0   0.4  99.6   0.0    1    397    322    3    3    3  17.06    0.00   3.98   0.20  12.87  45.05  20.00  33.05  45.00  45.00  46.00  33.05   0.00
17:17:21   0.3   0.0   0.4  99.2   0.1    1    409    446    9    5    9  20.69    0.00   4.81   0.29  15.60  47.05  20.00  33.05  47.00  47.00  46.00  33.05   0.00
17:17:22   0.1   0.0   0.3  99.6   0.0    1    331    284    3    3    3  17.31    0.00   4.04   0.22  13.06  45.05  20.00  33.05  45.00  45.00  46.00  33.05   0.00
17:17:23   0.0   0.0   0.3  99.6   0.0    1    318    248    3    3    5  16.63    0.00   3.89   0.19  12.55  45.05  20.00  33.05  45.00  45.00  46.00  33.05   0.00
