Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
07:27:22   0.0   0.0   0.0 100.0   0.0    1    265    247    0    0    0  19.37    0.00   4.06   0.12  15.18  47.05  47.00  20.00  37.05  47.00  50.00  37.05   0.00
07:27:23   0.0   0.0   0.0 100.0   0.0    1    271    153    0    0    0  19.79    0.00   4.16   0.06  15.57  46.05  46.00  20.00  37.05  46.00  50.00  37.05   0.00
07:27:24   0.0   0.0   0.1  99.8   0.0    3    292    169    6    4    3  18.27    0.00   3.90   0.11  14.26  46.05  46.00  20.00  37.05  47.00  50.00  37.05   0.00
07:27:25   7.5   0.0   1.2  91.3   0.0    3  38844   5297   40    0    1  36.19    0.00   9.09   2.89  24.21  46.05  46.00  20.00  37.05  46.00  48.00  37.05   0.00
07:27:26  10.7   0.0   0.5  88.8   0.0    4  19317   5828    1    0    0  35.63    0.00   9.13   3.23  23.27  47.05  47.00  20.00  37.05  47.00  47.00  37.05   0.00
07:27:27  10.2   0.0   0.6  89.2   0.0    3   9726   5831    1    1    1  37.54    0.00   9.56   3.42  24.56  46.05  46.00  20.00  36.05  46.00  47.00  37.05   0.00
07:27:28  11.8   0.0   2.8  85.3   0.1    3  23307   7011  191  190  192  40.66    0.00  10.38   4.10  26.18  46.05  46.00  20.00  36.05  46.00  48.00  37.05   0.00
07:27:29  14.3   0.0   3.0  82.7   0.0    5  18841   7513  189  189  189  39.86    0.00  10.45   4.40  25.01  47.05  47.00  20.00  36.05  47.00  48.00  37.05   0.00
07:27:30  10.5   0.0   2.9  86.6   0.0    5  15956   6754  200  199  200  36.82    0.00   9.44   3.43  23.95  48.05  48.00  20.00  36.05  48.00  48.00  37.05   0.00
07:27:31  11.2   0.0   3.1  85.7   0.0    4  28294   7824  196  197  196  38.17    0.00   9.80   3.67  24.70  47.05  47.00  20.00  36.05  47.00  48.00  37.05   0.00
07:27:32   9.7   0.0   2.8  87.5   0.0    5  21441   6053  205  202  202  39.95    0.00  10.14   3.84  25.97  48.05  48.00  20.00  36.05  48.00  48.00  37.05   0.00
07:27:33   8.5   0.0   2.8  88.7   0.0    4  12323   6046  215  211  212  37.39    0.00   9.47   3.40  24.51  48.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:34   8.1   0.0   2.7  89.1   0.0    4  10016   6484  215  215  215  36.02    0.00   9.14   3.21  23.67  48.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:35  12.5   0.0   2.9  84.6   0.0    4   8121   9397  192  192  192  39.87    0.00  10.31   4.18  25.39  47.05  47.00  20.00  37.05  47.00  48.00  37.05   0.00
07:27:36  11.4   0.0   2.8  85.8   0.0    3  16128   8182  196  196  196  38.16    0.00   9.71   3.56  24.89  47.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:37   7.8   0.0   3.1  89.1   0.0    3  15267   6026  216  216  216  36.12    0.00   9.19   3.26  23.67  48.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:38   9.8   0.0   2.9  87.3   0.0    4  14055   5364  198  198  198  36.84    0.00   9.27   3.16  24.42  48.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:39  10.9   0.0   2.8  86.3   0.0    6  12497   5270  203  202  203  37.96    0.00   9.73   3.76  24.47  47.05  47.00  20.00  37.05  47.00  48.00  37.05   0.00
07:27:40   9.3   0.0   2.9  87.8   0.0    2  14900   5419  202  202  201  37.40    0.00   9.39   3.26  24.74  48.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:41   7.3   0.0   0.3  92.4   0.0    2  10360   3193   12    0    0  34.98    0.00   8.82   2.83  23.33  47.05  47.00  20.00  37.05  47.00  48.00  37.05   0.00
07:27:42   1.8   0.0   0.3  97.8   0.0    1   2220   1048    8    7    6  24.62    0.01   5.82   0.96  17.83  48.05  48.00  20.00  37.05  48.00  48.00  37.05   0.00
07:27:43   0.6   0.0   0.3  99.0   0.0    2   1190    591    3    3    3  21.30    0.00   4.94   0.37  15.99  47.05  47.00  20.00  37.05  47.00  48.00  37.05   0.00
