Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
05:28:44   0.0   0.0   0.0 100.0   0.0    1    234    255    0    0    0  13.08    0.00   3.19   0.10   9.79  42.05  39.00  20.00  29.05  39.00  41.00  29.05   0.00
05:28:45   0.0   0.0   0.0 100.0   0.0    1    284    160    0    0    2  13.40    0.00   3.27   0.03  10.09  40.05  40.00  20.00  29.05  40.00  41.00  29.05   0.00
05:28:46   0.2   0.0   0.1  99.7   0.0    3    335    186    9    6    8  12.52    0.00   3.10   0.10   9.32  40.05  40.00  20.00  29.05  39.00  41.00  29.05   0.00
05:28:47  14.0   0.0   1.3  84.7   0.0    5  20902   4112   24    0    0  33.48    0.00   8.86   3.94  20.68  42.05  42.00  20.00  29.05  42.00  41.00  29.05   0.00
05:28:48  12.7   0.0   0.5  86.7   0.0    5  24987   3679   17    0    0  32.25    0.00   8.43   3.52  20.30  40.05  40.00  20.00  29.05  40.00  41.00  29.05   0.00
05:28:49  19.6   0.0   0.8  79.5   0.1    5  20779   3850    0    0    1  35.77    0.00   9.45   4.19  22.13  40.05  40.00  20.00  29.05  40.00  41.00  29.05   0.00
05:28:50  16.3   0.0   1.0  82.7   0.0    7   9660   3000    4    0    0  32.95    0.00   8.89   3.80  20.25  40.05  40.00  20.00  29.05  40.00  41.00  29.05   0.00
05:28:51  18.3   0.0   0.8  80.9   0.0    5  15611   3161    0    0    0  38.90    0.00  10.61   4.73  23.55  42.05  42.00  20.00  29.05  42.00  41.00  29.05   0.00
05:28:52  17.8   0.0   0.4  81.8   0.0    3  11648   2870    0    0    0  39.18    0.00  10.69   4.56  23.93  42.05  42.00  20.00  29.05  42.00  42.00  29.05   0.00
05:28:53  16.5   0.0   0.6  82.9   0.0    5  14046   3057    7    4    4  37.70    0.00  10.34   4.37  22.99  42.05  42.00  20.00  29.05  42.00  42.00  29.05   0.00
05:28:54  16.3   0.0   0.5  83.1   0.0    5  13308   2807    0    0    0  37.76    0.00  10.24   4.15  23.37  42.05  42.00  20.00  29.05  42.00  42.00  29.05   0.00
05:28:55  18.9   0.0   0.8  80.2   0.0    5  19599   3390    1    0    1  40.04    0.00  10.82   4.69  24.52  42.05  42.00  20.00  29.05  42.00  43.00  29.05   0.00
05:28:56  14.9   0.0   1.1  84.0   0.0    3  15900   3791   25    2    0  35.09    0.00   9.38   3.35  22.37  42.05  42.00  20.00  29.05  43.00  43.00  29.05   0.00
05:28:57  20.6   0.0   0.9  78.5   0.0    3  16315   3862   22    0    2  37.90    0.00  10.35   4.23  23.33  42.05  42.00  20.00  29.05  42.00  43.00  29.05   0.00
05:28:58  16.5   0.0   0.5  83.0   0.0    5   9721   2604    0    0    0  37.05    0.00  10.28   4.21  22.56  42.05  42.00  20.00  29.05  42.00  43.00  29.05   0.00
05:28:59  17.5   0.0   0.8  81.7   0.0    5   8706   2506    0    0    0  38.89    0.00  10.73   4.49  23.67  43.05  43.00  20.00  29.05  42.00  43.00  29.05   0.00
05:29:00  17.9   0.0   0.2  81.8   0.1    5   5903   2319    0    0    0  39.11    0.00  10.86   4.57  23.69  42.05  42.00  20.00  29.05  42.00  43.00  29.05   0.00
05:29:01  18.8   0.0   0.5  80.6   0.0    5  11028   2741    0    0    3  38.40    0.00  10.67   4.60  23.13  44.05  44.00  20.00  29.05  44.00  43.00  29.05   0.00
05:29:02  18.1   0.0   0.9  80.9   0.0    5  12228   2954    3    0    2  38.76    0.00  10.74   4.64  23.38  42.05  42.00  20.00  29.05  42.00  43.00  29.05   0.00
05:29:03  15.9   0.0   1.2  82.9   0.0    6   6612   3140    4    0   51  36.61    0.00   9.94   3.64  23.03  43.05  43.00  20.00  29.05  43.00  43.00  29.05   0.00
05:29:04  19.9   0.0   0.7  79.4   0.0    5   6931   2722    0    0    0  36.05    0.00   9.96   3.88  22.20  42.05  42.00  20.00  29.05  42.00  43.00  29.05   0.00
05:29:05  17.9   0.0   0.5  81.5   0.1    5   3747   2033    0    0    0  35.31    0.00   9.70   3.50  22.11  43.05  43.00  20.00  29.05  43.00  43.00  29.05   0.00
05:29:06  18.0   0.0   0.8  81.2   0.0    6   7165   2841   26    0   24  35.76    0.00   9.85   3.82  22.09  44.05  44.00  20.00  29.05  44.00  43.00  29.05   0.00
05:29:07  16.2   0.0   0.9  82.9   0.0    5   8600   2270    9    2    0  40.01    0.00  10.81   4.45  24.75  44.05  44.00  20.00  29.05  44.00  44.00  29.05   0.00
05:29:08  13.5   0.0   1.1  85.4   0.0    4  29914   4791   20    0    0  36.68    0.00   9.70   3.95  23.03  42.05  42.00  20.00  29.05  42.00  44.00  29.05   0.00
05:29:09  20.7   0.0   1.5  77.8   0.0    5  28347   5073   22    0    2  42.81    0.00  11.57   5.58  25.67  44.05  44.00  20.00  29.05  44.00  44.00  29.05   0.00
05:29:10  16.9   0.0   0.6  82.5   0.0    5  17248   3378    0    0    0  40.80    0.00  11.25   5.25  24.30  43.05  43.00  20.00  29.05  43.00  44.00  30.05   0.00
