Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
20:10:59   0.0   0.0   0.0 100.0   0.0    1    223    225    0    0    0  25.39    0.00   5.86   0.14  19.38  58.05  58.00  20.00  47.05  58.00  59.00  47.05   0.00
20:11:00   0.0   0.0   0.0 100.0   0.0    1    236    160    0    0    0  25.27    0.00   5.87   0.06  19.34  57.05  57.00  20.00  47.05  57.00  59.00  46.05   0.00
20:11:01   0.1   0.0   0.2  99.7   0.0    3    243    202    4    4    3  24.09    0.00   5.47   0.12  18.50  56.05  56.00  20.00  47.05  57.00  58.00  46.05   0.00
20:11:02   2.7   0.0   0.3  97.0   0.0    1    701    853   21    0    1  34.85    0.00   8.81   2.17  23.87  58.05  58.00  20.00  47.05  58.00  58.00  46.05   0.00
20:11:03   0.2   0.0   0.0  99.8   0.0    1    456    292    0    0    0  26.80    0.00   6.24   0.11  20.46  58.05  58.00  20.00  47.05  58.00  58.00  46.05   0.00
20:11:04   0.2   0.0   0.1  99.6   0.0    2    465    265    1    1    1  27.38    0.00   6.40   0.12  20.85  58.05  58.00  20.00  47.05  58.00  58.00  46.05   0.00
20:11:05   0.6   0.0   0.4  99.0   0.0    1    605    603    9    8    7  25.95    0.01   6.02   0.42  19.50  57.05  57.00  20.00  47.05  56.00  58.00  46.05   0.00
20:11:06   0.4   0.0   0.5  99.1   0.0    2   1172    542    3    3    3  25.94    0.00   6.03   0.33  19.57  57.05  57.00  20.00  47.05  57.00  58.00  46.05   0.00
20:11:07   0.8   0.0   0.6  98.5   0.0    2   1705    853    4    3    3  26.87    0.01   6.20   0.42  20.24  57.05  57.00  20.00  47.05  57.00  58.00  46.05   0.00
20:11:08   0.9   0.0   0.7  98.4   0.0    2   2277   1034    5    5    5  27.02    0.01   6.37   0.48  20.16  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
20:11:09   0.8   0.0   0.6  98.6   0.0    1   2160    812    3    3    3  26.94    0.01   6.34   0.45  20.14  57.05  57.00  20.00  47.05  57.00  57.00  46.05   0.00
20:11:10   0.5   0.0   0.4  99.1   0.0    1   1145    558    4    4    4  26.22    0.01   6.03   0.34  19.84  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
20:11:11   0.7   0.0   0.5  98.8   0.0    1   1708    692    3    3    3  26.17    0.00   6.09   0.39  19.69  56.05  57.00  20.00  47.05  57.00  57.00  46.05   0.00
20:11:12   0.6   0.0   0.6  98.8   0.0    1    971    518    3    3    3  26.32    0.00   6.11   0.48  19.72  57.05  57.00  20.00  47.05  57.00  57.00  46.05   0.00
20:11:13   0.9   0.0   0.8  98.3   0.0    1   2374    847    3    3    3  26.81    0.00   6.27   0.43  20.10  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
20:11:14   0.5   0.0   0.6  98.8   0.0    2   1688    619    2    2    2  26.19    0.00   5.98   0.35  19.85  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
20:11:15   0.3   0.0   0.1  99.7   0.0    2    714    390    1    1    1  24.53    0.00   5.53   0.14  18.87  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
20:11:16   0.2   0.0   0.3  99.5   0.0    1    466    404    3    3    3  25.43    0.00   5.77   0.26  19.39  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
20:11:17   0.3   0.0   0.3  99.4   0.0    1    501    425    3    3    3  25.21    0.00   5.79   0.29  19.13  56.05  56.00  20.00  47.05  56.00  57.00  46.05   0.00
