Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
09:40:50   0.0   0.0   0.0 100.0   0.0    1    262    324    0    0    0  28.11    0.00   6.17   0.14  21.80  53.05  53.00  20.00  42.05  53.00  55.00  41.05   0.00
09:40:51   0.0   0.0   0.0 100.0   0.0    1    229    171    0    0    0  28.31    0.00   6.17   0.08  22.06  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:40:52   0.1   0.0   0.2  99.7   0.1    2    377    260    5    4    3  28.59    0.00   6.24   0.12  22.23  53.05  53.00  20.00  42.05  53.00  55.00  41.05   0.00
09:40:53  17.8   0.0   1.0  81.1   0.1    4  22980   4088   29    0    2  54.00    0.00  12.92   5.71  35.36  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:40:54  19.0   0.0   0.8  80.1   0.2    6  17073   3469   18    0    3  54.94    0.00  13.24   5.97  35.72  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:40:55  17.5   0.0   0.5  82.0   0.0    5  14891   3267    3    1    1  50.24    0.00  12.65   5.34  32.24  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:40:56  27.5   0.0   3.2  69.2   0.1   11  11351   5633  171  165  166  60.18    0.00  14.85   7.20  38.13  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:40:57  37.7   0.0   3.1  59.1   0.1   10  11375   5738  167  160  161  65.81    0.00  16.08   8.10  41.63  56.05  56.00  20.00  42.05  56.00  55.00  41.05   0.00
09:40:58  15.1   0.0   3.0  81.8   0.0    4  14779   5261  186  186  188  50.53    0.00  12.46   5.05  33.01  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:40:59  17.2   0.0   2.9  79.8   0.0    8  14287   5323  179  178  180  51.22    0.00  12.80   5.41  33.02  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:41:00  26.3   0.0   2.9  70.7   0.1   11  10791   5721  173  170  170  57.32    0.00  14.42   6.81  36.10  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:41:01  38.7   0.0   2.9  58.3   0.0    5   9511   5987  157  157  157  67.06    0.00  16.51   8.59  41.96  54.05  54.00  20.00  42.05  56.00  55.00  41.05   0.00
09:41:02  16.4   0.0   1.0  82.5   0.1    5  13055   3578   36   23   27  49.59    0.00  12.16   4.78  32.65  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:41:03   1.8   0.0   0.6  97.7   0.0    1   2477    990    8    7   10  32.98    0.00   7.46   0.84  24.67  54.05  54.00  20.00  42.05  54.00  55.00  41.05   0.00
09:41:04   0.5   0.0   0.3  99.2   0.0    2    784    613    3    3    6  30.74    0.00   6.88   0.34  23.52  53.05  53.00  20.00  42.05  53.00  55.00  41.05   0.00
09:41:05   0.7   0.0   0.3  99.0   0.0    1    552    475    3    3    3  30.48    0.00   6.82   0.47  23.19  54.05  54.00  20.00  42.05  53.00  55.00  41.05   0.00
09:41:06   0.4   0.0   0.4  99.2   0.0    2    712    583    5    5    5  30.33    0.00   6.78   0.36  23.19  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:07   0.7   0.0   0.5  98.8   0.1    1    737    577    3    3    3  31.22    0.00   6.94   0.39  23.88  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:08   0.8   0.0   0.3  98.9   0.0    2    627    501    3    3    3  30.85    0.00   6.87   0.44  23.53  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:09   0.8   0.0   0.3  98.8   0.0    1    611    641    3    3    3  31.58    0.00   7.09   0.63  23.86  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:10   0.4   0.0   0.4  99.2   0.0    1    625    482    3    3    3  29.95    0.00   6.66   0.31  22.98  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:11   0.4   0.0   0.3  99.3   0.0    1    582    434    3    3    3  29.60    0.00   6.57   0.29  22.74  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:12   0.4   0.0   0.4  99.2   0.0    1    631    469    3    3    3  29.69    0.00   6.60   0.30  22.78  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:13   0.8   0.0   0.0  99.2   0.0    2    985    388    1    1    1  29.10    0.00   6.39   0.20  22.51  53.05  52.00  20.00  42.05  52.00  54.00  41.05   0.00
09:41:14   0.3   0.0   0.3  99.4   0.0    1    463    376    2    2    2  29.28    0.00   6.47   0.25  22.56  52.05  52.00  20.00  42.05  52.00  54.00  41.05   0.00
09:41:15   0.4   0.0   0.3  99.2   0.0    1    500    438    3    3    3  30.39    0.00   6.74   0.38  23.28  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:16   0.7   0.0   0.3  99.0   0.0    2    562    484    3    3    3  30.39    0.00   6.82   0.48  23.08  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:17   1.3   0.0   0.4  98.4   0.0    1    520    527    3    3    3  32.61    0.00   7.53   1.01  24.07  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:18   0.5   0.0   0.5  99.0   0.0    1    525    459    3    3    3  29.68    0.00   6.59   0.28  22.80  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:19   0.3   0.0   0.4  99.4   0.0    1    451    404    3    3    3  29.24    0.00   6.47   0.25  22.52  52.05  52.00  20.00  42.05  52.00  54.00  41.05   0.00
09:41:20   0.8   0.0   0.4  98.8   0.0    1    556    486    3    3    3  31.10    0.00   7.04   0.69  23.37  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:21   0.3   0.0   0.3  99.3   0.0    1    510    399    3    3    3  29.90    0.00   6.60   0.27  23.03  54.05  54.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:22   0.3   0.0   0.4  99.3   0.0    1    533    423    3    3    3  29.51    0.00   6.55   0.27  22.69  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:23   0.3   0.0   0.3  99.4   0.0    1    501    405    3    3    3  29.38    0.00   6.51   0.27  22.60  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:24   0.3   0.0   0.3  99.3   0.0    1    500    394    3    3    3  29.14    0.00   6.45   0.25  22.44  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:25   0.3   0.0   0.1  99.7   0.0    2    419    308    1    1    1  28.53    0.00   6.24   0.12  22.17  53.05  53.00  20.00  43.05  54.00  54.00  41.05   0.00
09:41:26   1.5   0.0   0.3  98.2   0.0    2    522    523    2    2    2  33.28    0.00   7.75   1.24  24.29  53.05  53.00  20.00  43.05  53.00  54.00  41.05   0.00
09:41:27   0.5   0.0   0.3  99.2   0.0    2    507    418    3    3    3  29.78    0.00   6.63   0.35  22.80  53.05  53.00  20.00  43.05  53.00  54.00  41.05   0.00
09:41:28   0.3   0.0   0.3  99.4   0.0    1    544    447    3    3    3  29.97    0.00   6.60   0.26  23.11  53.05  53.00  20.00  43.05  53.00  54.00  41.05   0.00
09:41:29   0.2   0.0   0.3  99.5   0.0    2    459    397    3    3    3  29.35    0.00   6.52   0.26  22.57  52.05  52.00  20.00  43.05  52.00  54.00  41.05   0.00
09:41:30   0.3   0.0   0.3  99.4   0.0    1    484    395    3    3    3  29.40    0.00   6.52   0.27  22.61  52.05  52.00  20.00  42.05  52.00  54.00  41.05   0.00
09:41:31   0.3   0.0   0.3  99.5   0.0    1    477    416    3    3    3  29.35    0.00   6.50   0.26  22.59  53.05  53.00  20.00  42.05  52.00  54.00  41.05   0.00
09:41:32   0.3   0.0   0.4  99.3   0.0    2    582    439    3    3    3  29.61    0.00   6.59   0.28  22.74  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:33   0.4   0.0   0.3  99.3   0.0    1    500    451    3    3    3  29.62    0.00   6.59   0.31  22.72  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:34   0.2   0.0   0.3  99.4   0.0    2    497    423    3    3    3  29.86    0.00   6.57   0.26  23.04  52.05  52.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:35   0.3   0.0   0.3  99.4   0.0    1    464    391    3    3    3  29.26    0.00   6.48   0.24  22.54  54.05  54.00  20.00  42.05  54.00  54.00  41.05   0.00
09:41:36   0.3   0.0   0.3  99.5   0.0    1    501    359    3    3    3  29.06    0.00   6.42   0.24  22.40  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:37   0.2   0.0   0.0  99.8   0.0    2    431    310    1    1    1  28.74    0.00   6.27   0.11  22.37  52.05  52.00  20.00  42.05  52.00  54.00  41.05   0.00
09:41:38   0.2   0.0   0.4  99.4   0.0    1    472    401    2    2    2  29.50    0.00   6.50   0.25  22.75  53.05  53.00  20.00  42.05  53.00  54.00  41.05   0.00
09:41:39   0.3   0.0   0.3  99.4   0.0    1    474    405    3    3    3  29.24    0.00   6.49   0.26  22.50  53.05  53.00  20.00  42.05  53.00  53.00  41.05   0.00
09:41:40   0.2   0.0   0.4  99.4   0.0    1    536    424    3    3    3  29.97    0.00   6.62   0.26  23.09  54.05  54.00  20.00  42.05  54.00  53.00  41.05   0.00
