          Category;  Run Identifier;         Score;  Score Metric
    oracle-graalvm;         default;         9.130;  Power (Watt)
    oracle-graalvm;         default;        10.480;  Power (Watt)
    oracle-graalvm;         default;         7.330;  Power (Watt)
    oracle-graalvm;         default;        44.440;  Power (Watt)
    oracle-graalvm;         default;        42.910;  Power (Watt)
    oracle-graalvm;         default;        42.900;  Power (Watt)
    oracle-graalvm;         default;        43.990;  Power (Watt)
    oracle-graalvm;         default;        43.250;  Power (Watt)
    oracle-graalvm;         default;        45.470;  Power (Watt)
    oracle-graalvm;         default;        47.470;  Power (Watt)
    oracle-graalvm;         default;        47.000;  Power (Watt)
    oracle-graalvm;         default;        47.120;  Power (Watt)
      native-image;         default;        23.850;  Power (Watt)
      native-image;         default;        23.000;  Power (Watt)
      native-image;         default;        23.450;  Power (Watt)
      native-image;         default;        41.730;  Power (Watt)
      native-image;         default;        40.650;  Power (Watt)
      native-image;         default;        45.550;  Power (Watt)
      native-image;         default;        43.150;  Power (Watt)
      native-image;         default;        47.300;  Power (Watt)
      native-image;         default;        46.700;  Power (Watt)
      native-image;         default;        46.270;  Power (Watt)
      native-image;         default;        46.430;  Power (Watt)
      native-image;         default;        47.530;  Power (Watt)
      native-image;         default;        43.700;  Power (Watt)
      native-image;         default;        46.980;  Power (Watt)
      native-image;         default;        44.990;  Power (Watt)
      native-image;         default;        45.670;  Power (Watt)
      native-image;         default;        45.850;  Power (Watt)
      native-image;         default;        46.440;  Power (Watt)
      native-image;         default;        46.810;  Power (Watt)
      native-image;         default;        45.210;  Power (Watt)
      native-image;         default;        45.110;  Power (Watt)
      native-image;         default;        43.560;  Power (Watt)
      native-image;         default;        42.290;  Power (Watt)
      native-image;         default;        45.350;  Power (Watt)
      native-image;         default;        45.600;  Power (Watt)
      native-image;         default;        48.060;  Power (Watt)
      native-image;         default;        47.880;  Power (Watt)
      native-image;         default;        47.440;  Power (Watt)
      native-image;         default;        48.310;  Power (Watt)
      native-image;         default;        49.710;  Power (Watt)
      native-image;         default;        49.490;  Power (Watt)
      native-image;         default;        45.630;  Power (Watt)
      native-image;         default;        45.120;  Power (Watt)
      native-image;         default;        43.170;  Power (Watt)
      native-image;         default;        43.870;  Power (Watt)
      native-image;         default;        43.000;  Power (Watt)
      native-image;         default;        62.450;  Power (Watt)
      native-image;         default;        65.010;  Power (Watt)
      native-image;         default;        61.610;  Power (Watt)
      native-image;         default;        61.000;  Power (Watt)
      native-image;         default;        52.050;  Power (Watt)
      native-image;         default;        44.550;  Power (Watt)
      native-image;         default;        46.640;  Power (Watt)
      native-image;         default;        47.850;  Power (Watt)
      native-image;         default;        52.480;  Power (Watt)
      native-image;         default;        53.540;  Power (Watt)
      native-image;         default;        70.880;  Power (Watt)
      native-image;         default;        69.960;  Power (Watt)
      native-image;         default;        76.780;  Power (Watt)
      native-image;         default;        77.750;  Power (Watt)
      native-image;         default;        76.290;  Power (Watt)
      native-image;         default;        77.850;  Power (Watt)
      native-image;         default;        76.980;  Power (Watt)
      native-image;         default;        73.620;  Power (Watt)
      native-image;         default;        76.900;  Power (Watt)
      native-image;         default;        74.340;  Power (Watt)
      native-image;         default;        73.310;  Power (Watt)
      native-image;         default;        52.150;  Power (Watt)
