Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk INT340   SEN3 TCPU_P iwlwif acpitz   SEN2
14:58:56   0.0   0.0   0.0 100.0   0.0    1    176    217    0    0    0  24.98    0.00   5.74   0.12  19.11  56.05  56.00  20.00  45.05  56.00  57.00  44.05   0.00
14:58:57   0.0   0.0   0.0 100.0   0.0    1    219    165    0    0    0  24.97    0.00   5.76   0.07  19.14  56.05  56.00  20.00  45.05  56.00  57.00  44.05   0.00
14:58:58   0.1   0.0   0.2  99.7   0.0    3    250    187    4    4    3  24.35    0.00   5.56   0.15  18.64  56.05  56.00  20.00  45.05  56.00  57.00  45.05   0.00
14:58:59   2.0   0.0   0.4  97.6   0.0    1    843    878   21    0    1  34.64    0.00   8.65   2.26  23.73  56.05  56.00  20.00  45.05  56.00  56.00  45.05   0.00
14:59:00   0.2   0.0   0.0  99.8   0.0    1    434    270    0    0    0  26.68    0.00   6.24   0.12  20.32  56.05  56.00  20.00  45.05  54.00  56.00  45.05   0.00
14:59:01   0.2   0.0   0.1  99.7   0.0    2    406    293    1    1    1  25.80    0.00   5.95   0.13  19.71  56.05  56.00  20.00  45.05  56.00  56.00  45.05   0.00
14:59:02   0.5   0.0   0.5  99.0   0.0    1    607    595    9    8    7  26.07    0.00   6.06   0.50  19.51  56.05  56.00  20.00  45.05  56.00  56.00  45.05   0.00
14:59:03   0.3   0.0   0.4  99.3   0.0    1    503    411    3    3    3  25.37    0.00   5.85   0.33  19.18  54.05  54.00  20.00  45.05  54.00  56.00  45.05   0.00
14:59:04   0.4   0.0   0.5  99.2   0.0    1    703    625    3    3   20  26.17    0.00   5.97   0.36  19.84  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:05   0.5   0.0   0.5  99.0   0.0    1    610    581    5    5    5  26.01    0.01   6.03   0.42  19.55  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:06   0.2   0.0   0.4  99.4   0.0    1    512    428    3    3    3  25.33    0.00   5.83   0.32  19.17  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:07   0.3   0.0   0.4  99.3   0.0    1    483    416    3    3    3  25.28    0.00   5.82   0.32  19.15  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:08   0.2   0.0   0.4  99.4   0.0    1    455    408    3    3    3  25.27    0.00   5.81   0.32  19.14  54.05  54.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:09   0.2   0.0   0.5  99.3   0.0    1    501    446    3    3    3  25.51    0.00   5.84   0.31  19.35  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:10   0.6   0.0   0.5  98.7   0.1    2    539    557    2    2    2  28.23    0.00   6.15   0.47  21.61  54.05  54.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:11   0.3   0.0   0.1  99.6   0.0    1    536    358    1    1    1  26.10    0.00   5.67   0.20  20.23  54.05  54.00  20.00  45.05  54.00  55.00  44.05   0.00
14:59:12   0.3   0.0   0.5  99.2   0.0    1    434    349    3    3    3  25.10    0.00   5.73   0.29  19.08  54.05  54.00  20.00  45.05  54.00  55.00  44.05   0.00
14:59:13   0.1   0.0   0.5  99.4   0.0    1    440    406    3    3    3  25.03    0.00   5.74   0.32  18.97  54.05  54.00  20.00  45.05  54.00  55.00  44.05   0.00
14:59:14   4.3   0.0   0.5  95.2   0.0    2   5130   2987    3    3    3  31.61    0.00   7.63   1.73  22.25  54.05  54.00  20.00  45.05  54.00  55.00  44.05   0.00
14:59:15   8.8   0.0   1.1  90.0   0.0    2   9716   5552    3    3    3  39.17    0.00   9.68   3.43  26.06  56.05  56.00  20.00  45.05  56.00  55.00  44.05   0.00
14:59:16   8.9   0.0   0.8  90.4   0.0    4   9269   5292    3    3    3  39.13    0.00   9.79   3.50  25.84  54.05  54.00  20.00  45.05  54.00  55.00  44.05   0.00
14:59:17   8.9   0.0   1.0  90.2   0.0    3   9470   5535    3    3    3  38.56    0.00   9.66   3.37  25.53  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:18   8.6   0.0   0.8  90.6   0.0    4   9421   5411    3    3    3  40.04    0.00  10.07   3.52  26.46  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:19   8.7   0.0   0.7  90.5   0.0    2   8898   5280    3    3    3  40.83    0.00  10.24   3.45  27.13  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:20   9.0   0.0   0.9  90.1   0.0    3   9386   5406    3    3    3  40.69    0.00  10.25   3.48  26.96  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:21   8.9   0.0   0.6  90.5   0.0    5   9513   5521    2    2    2  40.61    0.00  10.19   3.46  26.96  54.05  54.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:22   9.0   0.0   0.8  90.2   0.0    3   9798   5560    1    1    1  40.69    0.00  10.29   3.52  26.88  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:23   9.1   0.0   0.9  90.0   0.0    4  10063   6280    3    3    3  40.62    0.00  10.31   3.45  26.86  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:24   8.7   0.0   0.8  90.5   0.0    2   9761   6228    3    3    3  40.76    0.00  10.47   3.56  26.73  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:25   9.3   0.0   0.8  89.9   0.0    3   9540   5477    3    3    3  40.11    0.00  10.17   3.35  26.59  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:26   9.3   0.0   0.8  89.9   0.0    3   9588   5112    3    3    3  40.78    0.00  10.20   3.44  27.14  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:27   8.8   0.0   0.8  90.4   0.0    3   9249   5066    3    3    3  40.15    0.00  10.07   3.32  26.77  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:28   8.7   0.0   0.9  90.3   0.0    3   9108   5000    3    3    3  39.95    0.00  10.04   3.30  26.61  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:29   8.5   0.0   0.8  90.6   0.0    1   9335   5052    3    3    3  40.23    0.00  10.10   3.36  26.77  54.05  54.00  20.00  45.05  54.00  56.00  44.05   0.00
14:59:30   8.5   0.0   0.7  90.8   0.0    4   8924   4909    3    3    3  40.30    0.00  10.17   3.35  26.78  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:31   8.9   0.0   0.8  90.4   0.0    2   9766   5287    3    3    3  40.56    0.00  10.23   3.45  26.88  56.05  56.00  20.00  45.05  56.00  56.00  44.05   0.00
14:59:32   8.9   0.0   0.7  90.4   0.0    3   9083   4970    3    3    3  40.07    0.00  10.09   3.30  26.69  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:33   8.7   0.0   0.4  90.9   0.0    4   9414   5079    2    2    2  40.39    0.00  10.10   3.34  26.94  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:34   8.6   0.0   0.8  90.6   0.0    4   9145   5126    1    1    1  40.30    0.00  10.16   3.35  26.79  54.05  54.00  20.00  44.05  54.00  56.00  44.05   0.00
14:59:35   8.6   0.0   0.7  90.6   0.0    3   9071   4991    3    3    3  40.87    0.00  10.35   3.46  27.07  54.05  54.00  20.00  44.05  54.00  56.00  44.05   0.00
14:59:36  10.2   0.0   1.2  88.6   0.0    6  12792   6001   23    3    3  42.72    0.00  10.58   3.65  28.48  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:37   9.9   0.0   0.9  89.3   0.0    2  11058   5954    5    3    3  41.26    0.02  10.38   3.40  27.47  54.05  54.00  20.00  44.05  54.00  56.00  44.05   0.00
14:59:38   9.1   0.0   0.8  90.1   0.0    2  10068   5606    3    3    3  40.78    0.01  10.30   3.42  27.05  54.05  54.00  20.00  44.05  54.00  56.00  44.05   0.00
14:59:39   8.8   0.0   0.8  90.4   0.0    4   9336   5336    3    3    3  40.97    0.00  10.38   3.45  27.15  54.05  54.00  20.00  44.05  54.00  56.00  44.05   0.00
14:59:40   9.4   0.0   0.9  89.7   0.0    4  10154   5584    5    5    5  41.54    0.01  10.43   3.45  27.65  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:41   9.0   0.0   0.8  90.2   0.0    3   9202   5121    3    3    3  40.39    0.00  10.08   3.27  27.04  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:42   9.1   0.0   0.6  90.3   0.0    3   9237   5015    3    3    3  40.31    0.00  10.10   3.31  26.89  54.05  54.00  20.00  44.05  54.00  56.00  44.05   0.00
14:59:43   9.0   0.0   0.8  90.3   0.0    3  10115   5199    3    3    3  40.29    0.00  10.13   3.25  26.91  54.05  54.00  20.00  44.05  56.00  55.00  44.05   0.00
14:59:44   8.7   0.0   0.6  90.7   0.0    5   8829   4802    5    2    4  40.08    0.00  10.11   3.25  26.72  56.05  56.00  20.00  44.05  56.00  55.00  44.05   0.00
14:59:45   9.2   0.0   0.4  90.4   0.0    4   9562   5187    4    2    4  39.53    0.00   9.87   3.09  26.57  54.05  54.00  20.00  44.05  54.00  55.00  44.05   0.00
14:59:46   8.6   0.0   0.8  90.5   0.1    4   9489   5153    4    4    4  40.30    0.01   9.98   3.12  27.20  56.05  56.00  20.00  44.05  56.00  55.00  44.05   0.00
14:59:47   9.0   0.0   0.8  90.2   0.0    1  10430   5352    3    3    4  40.87    0.00  10.24   3.27  27.35  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:48   9.4   0.0   1.1  89.5   0.0    4  11748   6084   19   13   16  41.88    0.01  10.42   3.31  28.13  56.05  56.00  20.00  44.05  56.00  56.00  44.05   0.00
14:59:49   8.4   0.0   1.0  90.6   0.0    4   9722   5455    3    3    3  40.00    0.01  10.05   3.15  26.79  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
14:59:50   8.9   0.0   0.9  90.1   0.0    4  10180   5396    5    3    5  40.40    0.01  10.16   3.16  27.07  56.05  56.00  20.00  44.05  56.00  56.00  43.05   0.00
14:59:51   9.1   0.0   0.8  90.2   0.0    4   9108   5065   11    3   11  40.11    0.01  10.12   3.18  26.80  56.05  56.00  20.00  44.05  56.00  56.00  43.05   0.00
14:59:52   9.1   0.0   0.8  90.1   0.0    6   9857   5446    3    3   12  40.44    0.00  10.11   3.25  27.08  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
14:59:53   8.8   0.0   0.8  90.4   0.0    2   9369   5336    5    3    5  40.24    0.00  10.14   3.35  26.74  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
14:59:54   9.0   0.0   0.8  90.1   0.0    3   9652   5293    5    3    5  40.42    0.00  10.19   3.35  26.89  56.05  56.00  20.00  44.05  56.00  56.00  43.05   0.00
14:59:55   8.9   0.0   1.0  90.1   0.0    6   9894   5464   11    2    9  41.04    0.00  10.15   3.29  27.60  56.05  56.00  20.00  44.05  56.00  56.00  43.05   0.00
14:59:56   9.1   0.0   0.7  90.2   0.0    3  10189   5696   11    1   12  40.40    0.00  10.17   3.31  26.91  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
14:59:57   9.4   0.0   0.9  89.6   0.0    4  10095   5821   13    3   13  41.17    0.01  10.28   3.37  27.51  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
14:59:58   8.8   0.0   0.8  90.4   0.0    3   8853   5071    3    3    3  40.43    0.00  10.25   3.36  26.82  56.05  56.00  20.00  44.05  56.00  56.00  43.05   0.00
14:59:59   8.5   0.0   0.9  90.6   0.0    3   9447   5099    3    3    3  40.23    0.01  10.13   3.31  26.78  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
15:00:00   9.0   0.0   0.7  90.3   0.0    3   9372   5160    3    3    4  40.16    0.00  10.12   3.33  26.70  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:01   8.8   0.0   0.8  90.4   0.0    4   9527   5359    5    3    5  40.45    0.00  10.19   3.35  26.91  53.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:02   8.8   0.0   1.0  90.2   0.1    3   9726   5484    7    3    7  40.69    0.00  10.20   3.39  27.10  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:03   8.6   0.0   0.5  90.9   0.0    3   8823   4994    3    3    3  40.30    0.00  10.17   3.33  26.80  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:04   9.2   0.0   0.8  89.9   0.0    3  10318   5437    3    3    5  41.46    0.01  10.37   3.40  27.67  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:05   8.9   0.0   0.7  90.4   0.0    2   9116   5173    5    3    5  40.00    0.00  10.07   3.26  26.67  56.05  56.00  20.00  44.05  56.00  55.00  43.05   0.00
15:00:06   8.9   0.0   1.0  90.0   0.0    3   9833   5341    9    4    4  40.93    0.01  10.18   3.37  27.38  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:07   9.0   0.0   0.7  90.3   0.0    3  10292   5610    4    3    3  40.98    0.00  10.15   3.32  27.50  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
15:00:08   9.1   0.0   0.8  90.1   0.0    4   9530   5444    4    4    4  40.76    0.01  10.33   3.37  27.05  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
15:00:09   9.5   0.0   0.8  89.7   0.0    3  10403   5996    6    6    6  40.96    0.01  10.40   3.43  27.13  54.05  54.00  20.00  44.05  54.00  56.00  43.05   0.00
15:00:10   9.3   0.0   0.8  89.9   0.0    3   9682   5317    5    5    5  40.80    0.01  10.27   3.39  27.13  56.05  56.00  20.00  44.05  56.00  56.00  43.05   0.00
15:00:11   9.1   0.0   0.8  90.1   0.0    3   9518   5342    5    5    5  40.65    0.01  10.15   3.27  27.22  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:12   9.2   0.0   0.9  89.9   0.0    3   9612   5518    5    5    5  40.43    0.01  10.11   3.21  27.10  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:13   8.4   0.0   1.0  90.6   0.0    4   8699   4809    4    4    4  40.21    0.00  10.15   3.22  26.85  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:14  14.4   0.0   1.7  83.9   0.0   29   9517   6831  186    5    5  44.77    0.01  11.35   4.26  29.15  56.05  56.00  20.00  44.05  56.00  55.00  43.05   0.00
15:00:15  37.8   0.0   1.7  60.4   0.0    2   4976   9965    6    4    4  56.26    0.01  14.90   7.21  34.15  54.05  54.00  20.00  44.05  54.00  55.00  43.05   0.00
15:00:16  44.5   0.0   1.6  53.8   0.0   28   5401  12012    1    1   19  60.12    0.00  15.99   8.26  35.87  54.05  54.00  20.00  44.05  56.00  56.00  43.05   0.00
