     Test Category;                 Test Type;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Elapsed (sec)
        graalvm-ee;                        NA;               5;                     93.620;                 30.320;         42.207
openjdk-hotspot-vm;                        NA;               1;                    153.300;                 39.360;         57.110
 eclipse-openj9-vm;                        NA;               4;                    215.710;                 57.880;         84.368
        graalvm-ee;                        NA;               4;                     95.410;                 30.300;         41.932
      native-image;                        NA;               4;                   6460.760;               2071.660;       2235.075
openjdk-hotspot-vm;                        NA;               5;                    108.720;                 32.660;         46.161
 eclipse-openj9-vm;                        NA;               3;                    200.170;                 54.370;         78.156
        graalvm-ee;                        NA;               2;                     96.350;                 30.580;         42.426
openjdk-hotspot-vm;                        NA;               3;                    113.400;                 33.510;         47.413
        graalvm-ce;                        NA;               2;                    103.870;                 32.360;         47.085
        graalvm-ce;                        NA;               4;                    104.950;                 32.470;         47.216
     azul-prime-vm;                        NA;               3;                    191.710;                 55.290;         73.137
 eclipse-openj9-vm;                        NA;               2;                    195.140;                 52.420;         74.643
        graalvm-ce;                        NA;               5;                    106.520;                 32.850;         48.002
     azul-prime-vm;                        NA;               2;                    187.500;                 55.350;         73.182
 eclipse-openj9-vm;                        NA;               5;                    229.080;                 60.350;         86.736
      native-image;                        NA;               2;                   6559.880;               2061.180;       2220.365
        graalvm-ce;                        NA;               3;                    109.430;                 33.420;         48.854
        graalvm-ee;                        NA;               3;                     95.080;                 30.280;         41.982
        graalvm-ce;                        NA;               1;                    111.090;                 32.890;         48.020
openjdk-hotspot-vm;                        NA;               2;                    106.750;                 31.910;         44.775
     azul-prime-vm;                        NA;               1;                    190.150;                 54.020;         72.126
 eclipse-openj9-vm;                        NA;               1;                    224.460;                 58.710;         84.955
     azul-prime-vm;                        NA;               5;                    187.830;                 54.970;         72.903
      native-image;                        NA;               5;                   6478.580;               2081.260;       2248.837
        graalvm-ee;                        NA;               1;                    103.120;                 30.860;         42.944
openjdk-hotspot-vm;                        NA;               4;                    107.570;                 32.380;         45.697
      native-image;                        NA;               1;                   6507.290;               2057.930;       2214.660
     azul-prime-vm;                        NA;               4;                    188.330;                 54.900;         72.408
      native-image;                        NA;               3;                   6577.310;               2090.650;       2251.550
        graalvm-ee;                        NA;               5;                     65.680;                 20.880;         28.011
openjdk-hotspot-vm;                        NA;               1;                    107.370;                 25.940;         33.590
 eclipse-openj9-vm;                        NA;               4;                    194.210;                 48.240;         67.428
        graalvm-ee;                        NA;               4;                     65.870;                 21.070;         28.294
      native-image;                        NA;               4;                   3546.670;               1150.110;       1221.485
openjdk-hotspot-vm;                        NA;               5;                     81.510;                 23.720;         30.309
 eclipse-openj9-vm;                        NA;               3;                    188.010;                 46.750;         65.344
