benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,53787277337,7235482809,1684592132358
finagle-http,29751397297,61175817642,1684592132358
finagle-http,17424436354,91046290259,1684592132358
finagle-http,12086833532,108584657087,1684592132358
finagle-http,10866429959,120794375262,1684592132358
finagle-http,11932923050,131773660739,1684592132358
finagle-http,11840032403,143814422446,1684592132358
finagle-http,11188701149,155764004799,1684592132358
finagle-http,11718420203,167063372098,1684592132358
finagle-http,11588798828,178899661650,1684592132358
finagle-http,11139748152,190599655602,1684592132358
finagle-http,10721943938,201852487625,1684592132358
finagle-http,11781092314,212679653894,1684592132358
finagle-http,11893796982,224577185679,1684592132358
finagle-http,12891449457,236598768678,1684592132358
finagle-http,13180199383,249609050489,1684592132358
finagle-http,12916304563,262906697438,1684592132358
finagle-http,12607322389,275960377822,1684592132358
finagle-http,13471625486,288694499342,1684592132358
finagle-http,13617923428,302289881093,1684592132358
finagle-http,13701414211,316037007566,1684592132358
finagle-http,13469286306,329879416850,1684592132358
finagle-http,13664981837,343466247591,1684592132358
finagle-http,13612959072,357253544925,1684592132358
finagle-http,13594522170,370997299221,1684592132358
finagle-http,13638903476,384714017097,1684592132358
finagle-http,13508464251,398469944580,1684592132358
finagle-http,13548196813,412098383061,1684592132358
finagle-http,13586717269,425776149283,1684592132358
finagle-http,13601950446,439479811943,1684592132358
finagle-http,13442024651,453202743938,1684592132358
finagle-http,13522976397,466763080231,1684592132358
finagle-http,13339020712,480416312612,1684592132358
finagle-http,13223021655,493876360847,1684592132358
finagle-http,13215879359,507215099317,1684592132358
finagle-http,12845676824,520559213078,1684592132358
finagle-http,13778339448,533518844145,1684592132358
finagle-http,13169471930,547413249032,1684592132358
finagle-http,10278234220,560695366908,1684592132358
finagle-http,11642547807,571096303881,1684592132358
finagle-http,13020253859,582855610492,1684592132358
finagle-http,13103372377,595998965570,1684592132358
finagle-http,13108843965,609230890020,1684592132358
finagle-http,13097149305,622463712640,1684592132358
finagle-http,13124148576,635681489163,1684592132358
finagle-http,13010433865,648927856491,1684592132358
finagle-http,13171612162,662058586585,1684592132358
finagle-http,12866480661,675345298366,1684592132358
finagle-http,13380787142,688336321038,1684592132358
finagle-http,12910583410,701856784602,1684592132358
