benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,16737125752,5168122287,1684607600181
scala-doku,8118399228,22210304572,1684607600181
scala-doku,7642787494,30611934147,1684607600181
scala-doku,7168271625,38533360423,1684607600181
scala-doku,7313208888,45983071490,1684607600181
scala-doku,6884910136,53580061788,1684607600181
scala-doku,6379223433,60743315992,1684607600181
scala-doku,5680742003,67351645479,1684607600181
scala-doku,5323892324,73325474228,1684607600181
scala-doku,5454534511,78931007705,1684607600181
scala-doku,5048289569,84614247125,1684607600181
scala-doku,5554857631,89902744506,1684607600181
scala-doku,5014807509,95686250305,1684607600181
scala-doku,5280668833,100943098421,1684607600181
scala-doku,5289479372,106528834942,1684607600181
scala-doku,4878402945,112059739891,1684607600181
scala-doku,4902864914,117168157872,1684607600181
scala-doku,5158041882,122307638995,1684607600181
scala-doku,5097057252,127697133742,1684607600181
scala-doku,5126558524,133034729502,1684607600181
scala-doku,5220364917,138390313403,1684607600181
scala-doku,4988471022,143838224934,1684607600181
scala-doku,5888839641,149061960322,1684607600181
scala-doku,5367114109,155229877497,1684607600181
scala-doku,5051348571,160824763073,1684607600181
scala-doku,5116505771,166105561611,1684607600181
scala-doku,5033180657,171463063778,1684607600181
scala-doku,4933173978,176749451038,1684607600181
scala-doku,5112979194,181917779660,1684607600181
scala-doku,4980454488,187262333125,1684607600181
scala-doku,5035550770,192466325874,1684607600181
scala-doku,5130194470,197749577834,1684607600181
scala-doku,5186163465,203107721675,1684607600181
scala-doku,5200685203,208532387523,1684607600181
scala-doku,5140045640,213974164716,1684607600181
scala-doku,5099748563,219343791752,1684607600181
scala-doku,4915094510,224675397583,1684607600181
scala-doku,5035456039,229821589660,1684607600181
scala-doku,5086327690,235084637278,1684607600181
scala-doku,5029718543,240411457774,1684607600181
scala-doku,5150014243,245680832169,1684607600181
scala-doku,5060167353,251105906356,1684607600181
scala-doku,4968795462,256396791325,1684607600181
scala-doku,4907883789,261596658359,1684607600181
scala-doku,5147134528,266745428259,1684607600181
scala-doku,4988242723,272170675318,1684607600181
scala-doku,4925639908,277390502125,1684607600181
scala-doku,5054260825,282545432281,1684607600181
scala-doku,5009384442,287829667343,1684607600181
scala-doku,4860836322,293081153285,1684607600181
scala-doku,5125167330,298184586834,1684607600181
scala-doku,5026744390,303550143321,1684607600181
scala-doku,4830232366,308806241408,1684607600181
scala-doku,5088710606,313874323905,1684607600181
scala-doku,5050276414,319199729967,1684607600181
scala-doku,5027966781,324490290132,1684607600181
scala-doku,5152212805,329763736847,1684607600181
scala-doku,5076972142,335159002708,1684607600181
scala-doku,4964763401,340467314288,1684607600181
scala-doku,4917076479,345675959677,1684607600181
scala-doku,5023744526,350834787141,1684607600181
scala-doku,4893919913,356088024052,1684607600181
scala-doku,5030687530,361267674486,1684607600181
scala-doku,5031137608,366537936859,1684607600181
scala-doku,5056533237,371798386939,1684607600181
scala-doku,4868835357,377092169298,1684607600181
scala-doku,5140593609,382202731623,1684607600181
scala-doku,6229121851,387571420614,1684607600181
scala-doku,5590457184,394072319057,1684607600181
scala-doku,5220417611,399886385084,1684607600181
scala-doku,4927005252,405325958145,1684607600181
scala-doku,5153454275,410486397401,1684607600181
scala-doku,5080886121,415871753625,1684607600181
scala-doku,5068557112,421184778073,1684607600181
scala-doku,5107178752,426473301124,1684607600181
scala-doku,5059909147,431802201730,1684607600181
scala-doku,4966533554,437091424170,1684607600181
scala-doku,5069500769,442278916042,1684607600181
scala-doku,5067851043,447568278070,1684607600181
scala-doku,4955143709,452854732157,1684607600181
