benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,17389048747,4175538392026,1688184306783
fj-kmeans,13877150110,4193233682489,1688184306783
fj-kmeans,13672884025,4207425417046,1688184306783
fj-kmeans,13121843826,4221400875397,1688184306783
fj-kmeans,13649818508,4234830902942,1688184306783
fj-kmeans,13505888777,4248777087639,1688184306783
fj-kmeans,14667364769,4262586885499,1688184306783
fj-kmeans,13234426993,4277555470261,1688184306783
fj-kmeans,13302114900,4291091062883,1688184306783
fj-kmeans,13156752631,4304682506125,1688184306783
fj-kmeans,13099341747,4318128779749,1688184306783
fj-kmeans,12735830399,4331529608813,1688184306783
fj-kmeans,13364675726,4344554161633,1688184306783
fj-kmeans,13769284281,4358207279320,1688184306783
fj-kmeans,13785091510,4372269013560,1688184306783
fj-kmeans,13177162435,4386345284697,1688184306783
fj-kmeans,13755232528,4399814206667,1688184306783
fj-kmeans,12683541687,4413859791296,1688184306783
fj-kmeans,13367319688,4426832128916,1688184306783
fj-kmeans,12861432662,4440486918978,1688184306783
fj-kmeans,13455964290,4453637429648,1688184306783
fj-kmeans,13277510831,4467386612834,1688184306783
fj-kmeans,14039152654,4480953204821,1688184306783
fj-kmeans,13400879032,4495283712346,1688184306783
fj-kmeans,13206719590,4508980664068,1688184306783
fj-kmeans,12529806009,4522482553869,1688184306783
fj-kmeans,13217154134,4535301950767,1688184306783
fj-kmeans,12819310410,4548809880682,1688184306783
fj-kmeans,12797260450,4561920110100,1688184306783
fj-kmeans,13628778694,4575009688922,1688184306783
fj-kmeans,13209945606,4588937072920,1688184306783
fj-kmeans,13377781969,4602434406059,1688184306783
fj-kmeans,12712887134,4616102463845,1688184306783
fj-kmeans,13412310790,4629103826881,1688184306783
fj-kmeans,13255042580,4642804815886,1688184306783
fj-kmeans,13185319811,4656354132070,1688184306783
fj-kmeans,13126086884,4669829773256,1688184306783
fj-kmeans,13410163027,4683246204499,1688184306783
fj-kmeans,13358948579,4696945485208,1688184306783
fj-kmeans,13130589570,4710595837664,1688184306783
fj-kmeans,13202037267,4724012568028,1688184306783
fj-kmeans,13453898584,4737505915858,1688184306783
fj-kmeans,13521898620,4751245852773,1688184306783
fj-kmeans,13321284172,4765057002468,1688184306783
fj-kmeans,13433729689,4778669689890,1688184306783
fj-kmeans,13349622748,4792393449386,1688184306783
fj-kmeans,13282659181,4806033633057,1688184306783
fj-kmeans,12702645959,4819603367419,1688184306783
fj-kmeans,13145541301,4832593407969,1688184306783
fj-kmeans,13504113298,4846026253267,1688184306783
fj-kmeans,13178016575,4859818400515,1688184306783
fj-kmeans,13138726747,4873285387252,1688184306783
fj-kmeans,13231469333,4886713658349,1688184306783
fj-kmeans,13508084820,4900234536116,1688184306783
fj-kmeans,13378507229,4914029436973,1688184306783
fj-kmeans,13723922615,4927701420170,1688184306783
fj-kmeans,13206905781,4941713446492,1688184306783
fj-kmeans,12678025498,4955209586624,1688184306783
fj-kmeans,13455727003,4968174914575,1688184306783
fj-kmeans,13545244374,4981919854933,1688184306783
fj-kmeans,13245154416,4995753254611,1688184306783
fj-kmeans,12741829499,5009286993001,1688184306783
fj-kmeans,13286597255,5022317517149,1688184306783
fj-kmeans,12720847836,5035892998740,1688184306783
fj-kmeans,13127522333,5048903093816,1688184306783
fj-kmeans,13244738246,5062316632091,1688184306783
fj-kmeans,13352250574,5075851482681,1688184306783
fj-kmeans,13161428807,5089497041946,1688184306783
fj-kmeans,13260523495,5102947139469,1688184306783
fj-kmeans,13230914689,5116501547516,1688184306783
fj-kmeans,13202065776,5130024792292,1688184306783
fj-kmeans,13092300078,5143515200185,1688184306783
fj-kmeans,13405958885,5156906008325,1688184306783
fj-kmeans,13057315443,5170600749102,1688184306783
fj-kmeans,13179249209,5183946265233,1688184306783
fj-kmeans,13447093224,5197414037804,1688184306783
fj-kmeans,13218729755,5211151612381,1688184306783
fj-kmeans,13277072406,5224672678531,1688184306783
fj-kmeans,13165547791,5238239591938,1688184306783
fj-kmeans,13112299716,5251701622284,1688184306783
fj-kmeans,13178049356,5265102688512,1688184306783
fj-kmeans,13211620864,5278574407118,1688184306783
fj-kmeans,13369711816,5292073413039,1688184306783
fj-kmeans,13767724243,5305744350182,1688184306783
fj-kmeans,13119792398,5319806008523,1688184306783
fj-kmeans,13386208053,5333214218355,1688184306783
fj-kmeans,13226962470,5346891837623,1688184306783
fj-kmeans,13276586715,5360419691492,1688184306783
fj-kmeans,13115511294,5373997769261,1688184306783
fj-kmeans,13095588763,5387415903704,1688184306783
fj-kmeans,13201764102,5400810730965,1688184306783
fj-kmeans,13613952443,5414318626856,1688184306783
fj-kmeans,13152392546,5428244118936,1688184306783
fj-kmeans,12938998611,5441696804087,1688184306783
fj-kmeans,13069599995,5454951875082,1688184306783
fj-kmeans,13205700100,5468345706079,1688184306783
fj-kmeans,13326066008,5481854109464,1688184306783
fj-kmeans,13178490284,5495483080858,1688184306783
fj-kmeans,13438330130,5508963464427,1688184306783
fj-kmeans,12882133161,5522702674014,1688184306783
akka-uct,64966064295,3273617591,1688184306783
akka-uct,41355201386,69744625375,1688184306783
akka-uct,40436895099,112604739475,1688184306783
akka-uct,40798571335,154465777300,1688184306783
akka-uct,40829353493,196962201032,1688184306783
akka-uct,40054282233,239193014346,1688184306783
akka-uct,38899440029,280724432213,1688184306783
akka-uct,40788562810,321072042005,1688184306783
akka-uct,39083617567,363538111805,1688184306783
akka-uct,39741342015,404144914198,1688184306783
akka-uct,40389769274,445458246425,1688184306783
akka-uct,39554584024,487319646361,1688184306783
akka-uct,40776833182,528100637099,1688184306783
akka-uct,41066065996,570247799873,1688184306783
akka-uct,40038846760,612633791288,1688184306783
akka-uct,39915148093,654051654056,1688184306783
akka-uct,40089404690,695628508766,1688184306783
akka-uct,40334041945,737073166166,1688184306783
akka-uct,39948291123,778886482071,1688184306783
akka-uct,39774283400,820310573621,1688184306783
akka-uct,39581461259,861685387780,1688184306783
akka-uct,39530796934,903094013226,1688184306783
akka-uct,39408889287,944127779365,1688184306783
akka-uct,40206252067,985069621836,1688184306783
akka-uct,39832415579,1026665347283,1688184306783
akka-uct,39581610389,1067950389186,1688184306783
akka-uct,39822751424,1108801908540,1688184306783
akka-uct,39248776271,1150084838301,1688184306783
akka-uct,40339454968,1190702448194,1688184306783
akka-uct,38785849512,1232392935212,1688184306783
akka-uct,40481511405,1272676106709,1688184306783
akka-uct,39648826962,1314933390602,1688184306783
akka-uct,40186123864,1355959178751,1688184306783
akka-uct,39348544958,1397569760756,1688184306783
akka-uct,39145183537,1438384091419,1688184306783
akka-uct,39102562062,1479075108774,1688184306783
akka-uct,39331739792,1519576982538,1688184306783
akka-uct,39705926775,1560408112489,1688184306783
akka-uct,40448831567,1601656246046,1688184306783
akka-uct,39792038629,1643695227388,1688184306783
akka-uct,40144063758,1684897788639,1688184306783
akka-uct,39673756801,1726458146250,1688184306783
akka-uct,40259810338,1767615392958,1688184306783
akka-uct,40744612385,1809347398841,1688184306783
akka-uct,39659967578,1851573253200,1688184306783
akka-uct,39739820277,1892686481998,1688184306783
akka-uct,39705908361,1933862987521,1688184306783
akka-uct,40481835633,1974992500407,1688184306783
akka-uct,39707157858,2016955728330,1688184306783
akka-uct,40301316451,2058092110574,1688184306783
akka-uct,40140715198,2099963410267,1688184306783
akka-uct,39530375338,2141432117085,1688184306783
akka-uct,40839160013,2182369009967,1688184306783
akka-uct,39436538273,2224743795236,1688184306783
akka-uct,39510185796,2265600039500,1688184306783
akka-uct,40329229177,2306389294127,1688184306783
akka-uct,39537126187,2348123401091,1688184306783
akka-uct,39089782958,2389095734054,1688184306783
akka-uct,39747130595,2429947974158,1688184306783
akka-uct,41038273895,2471310334274,1688184306783
akka-uct,39386643964,2513836306862,1688184306783
akka-uct,40373246926,2554378868372,1688184306783
akka-uct,40800202184,2596299411299,1688184306783
akka-uct,38964498674,2638620257935,1688184306783
akka-uct,40079547141,2679023789207,1688184306783
akka-uct,39787329690,2720563834459,1688184306783
akka-uct,39337974389,2761666077763,1688184306783
akka-uct,39430089458,2802462184496,1688184306783
akka-uct,41805686803,2843271255644,1688184306783
akka-uct,39739252465,2886555672346,1688184306783
akka-uct,40181590185,2928226811687,1688184306783
akka-uct,41257924716,2969995368704,1688184306783
akka-uct,39745712804,3012801227831,1688184306783
akka-uct,39906494200,3053995562578,1688184306783
akka-uct,40850854073,3095496069408,1688184306783
akka-uct,40781160494,3137788125111,1688184306783
akka-uct,39718970339,3179979942842,1688184306783
akka-uct,39652400524,3221137097003,1688184306783
akka-uct,39393868025,3262119420997,1688184306783
akka-uct,39821468367,3303157250942,1688184306783
akka-uct,40427121091,3344802065097,1688184306783
akka-uct,39793657794,3387274139277,1688184306783
akka-uct,40469507765,3428549134197,1688184306783
akka-uct,40059968309,3470793141600,1688184306783
akka-uct,39798203306,3512345165300,1688184306783
akka-uct,38555386896,3553663308407,1688184306783
akka-uct,39304469883,3593502454270,1688184306783
akka-uct,40031509408,3634368355507,1688184306783
akka-uct,39837214971,3675916905830,1688184306783
akka-uct,40258864613,3717187624854,1688184306783
akka-uct,38845747816,3758924544453,1688184306783
akka-uct,39848821765,3799373519880,1688184306783
akka-uct,40554412026,3840785509763,1688184306783
akka-uct,39902457466,3883002714480,1688184306783
akka-uct,40985179015,3924386298228,1688184306783
akka-uct,40942609246,3967076530973,1688184306783
akka-uct,39784612711,4009438023641,1688184306783
akka-uct,39605695501,4050674208481,1688184306783
akka-uct,39045287698,4091671787964,1688184306783
akka-uct,40023091607,4132206128894,1688184306783
reactors,53574942313,5536725082414,1688184306783
reactors,42790286941,5590374825742,1688184306783
reactors,39133813151,5633233337274,1688184306783
reactors,37131119683,5672460549719,1688184306783
reactors,36001479824,5709680753668,1688184306783
reactors,38109765855,5745768417664,1688184306783
reactors,37214604522,5783954258459,1688184306783
reactors,37770762641,5821269426748,1688184306783
reactors,36858954966,5859138614611,1688184306783
reactors,35956979759,5896081303680,1688184306783
reactors,37930835657,5932127781836,1688184306783
reactors,35655873764,5970150580177,1688184306783
reactors,36246491838,6005905073159,1688184306783
reactors,36675704944,6042247161700,1688184306783
reactors,36812838464,6079016647144,1688184306783
reactors,36996368396,6115928794110,1688184306783
reactors,37330112411,6153030719327,1688184306783
reactors,37039074323,6190464911680,1688184306783
reactors,36829527906,6227610574897,1688184306783
reactors,36681460440,6264556086397,1688184306783
reactors,36888700750,6301339686401,1688184306783
reactors,37975629798,6338339264185,1688184306783
reactors,36358799031,6376427138055,1688184306783
reactors,37040174608,6412903146199,1688184306783
reactors,36227497328,6450062793780,1688184306783
reactors,37682348852,6486411512204,1688184306783
reactors,38083385142,6524215373319,1688184306783
reactors,36869177128,6562425668215,1688184306783
reactors,37488007144,6599422014293,1688184306783
reactors,36421480601,6637057961687,1688184306783
reactors,36969779562,6673607535428,1688184306783
reactors,36203431533,6710715320310,1688184306783
reactors,35717190730,6747056654359,1688184306783
reactors,38114602696,6782913734944,1688184306783
reactors,36438077255,6821166386344,1688184306783
reactors,36397142607,6857748456769,1688184306783
reactors,37235969785,6894289187205,1688184306783
reactors,36907802073,6931670501483,1688184306783
reactors,35641300455,6968727007607,1688184306783
reactors,35994734886,7004516412411,1688184306783
reactors,37754908481,7040663879424,1688184306783
reactors,37903490298,7078589639180,1688184306783
reactors,35913277000,7116651729743,1688184306783
reactors,35696801354,7152750846068,1688184306783
reactors,36784047318,7188611007849,1688184306783
reactors,37217056211,7225556893170,1688184306783
reactors,36230184472,7262939317316,1688184306783
reactors,37935633672,7299341642983,1688184306783
reactors,36983331483,7337455224384,1688184306783
reactors,38731109914,7374618720360,1688184306783
reactors,37322325205,7413522673425,1688184306783
reactors,36558001563,7451027122327,1688184306783
reactors,37206800030,7487766546696,1688184306783
reactors,36964677736,7525160655528,1688184306783
reactors,37261441116,7562299068763,1688184306783
reactors,37075236626,7599753479043,1688184306783
reactors,36966756037,7637050810534,1688184306783
reactors,37462427242,7674235863959,1688184306783
reactors,37461565879,7711897244463,1688184306783
reactors,38068887744,7749557673972,1688184306783
reactors,39390580293,7787829861528,1688184306783
reactors,38523772356,7827428886313,1688184306783
reactors,37994576480,7866160032116,1688184306783
reactors,37529709753,7904396069358,1688184306783
reactors,36774961127,7942135854415,1688184306783
reactors,36395677453,7979130848062,1688184306783
reactors,36862071320,8015770820787,1688184306783
reactors,37494145354,8052860614425,1688184306783
reactors,37611289199,8090572745987,1688184306783
reactors,35801255278,8128415788347,1688184306783
reactors,37178302634,8164445936542,1688184306783
reactors,37332545975,8201856054817,1688184306783
reactors,38036272484,8239420271468,1688184306783
reactors,38671690091,8277680329093,1688184306783
reactors,37894105523,8316595302819,1688184306783
reactors,35294831812,8354752851943,1688184306783
reactors,37625656086,8390289828631,1688184306783
reactors,37830804206,8428162573508,1688184306783
reactors,36238124714,8466246675390,1688184306783
reactors,37528530990,8502735415097,1688184306783
reactors,38825344226,8540508177892,1688184306783
reactors,37148586802,8579593669604,1688184306783
reactors,38387267282,8617003917885,1688184306783
reactors,36870577699,8655674648133,1688184306783
reactors,38123713936,8692810620404,1688184306783
reactors,37102485775,8731198622851,1688184306783
reactors,40438880084,8768591722451,1688184306783
reactors,36841705485,8809313579482,1688184306783
reactors,38154310931,8846428308448,1688184306783
reactors,38141609034,8884857674429,1688184306783
reactors,38922317189,8923282475664,1688184306783
reactors,37054178017,8962478428579,1688184306783
reactors,37849832621,8999814763885,1688184306783
reactors,38197587035,9037951513770,1688184306783
reactors,36821948166,9076444718270,1688184306783
reactors,37800310278,9113582941998,1688184306783
reactors,39707160182,9151676595586,1688184306783
reactors,37683177238,9191685135015,1688184306783
reactors,38440797849,9229662876015,1688184306783
reactors,36947736409,9268420870338,1688184306783
