benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,30027061076,4899733954502,1689010662350
fj-kmeans,21110400868,4930783101563,1689010662350
fj-kmeans,20478411958,4952197862557,1689010662350
fj-kmeans,20522035048,4972811279249,1689010662350
fj-kmeans,20492233487,4993918843949,1689010662350
fj-kmeans,20529022463,5014545954365,1689010662350
fj-kmeans,20529532327,5035510853872,1689010662350
fj-kmeans,20489670600,5056175152559,1689010662350
fj-kmeans,20509802002,5077209187719,1689010662350
fj-kmeans,20588725042,5097855371896,1689010662350
fj-kmeans,20546653040,5119003086469,1689010662350
fj-kmeans,20495161451,5139684551541,1689010662350
fj-kmeans,20484842131,5160671762119,1689010662350
fj-kmeans,20472967554,5181291345312,1689010662350
fj-kmeans,20506209019,5202075477543,1689010662350
fj-kmeans,20514481682,5222716252440,1689010662350
fj-kmeans,20473674527,5243611090267,1689010662350
fj-kmeans,20572446976,5264218554843,1689010662350
fj-kmeans,20518449684,5285349188751,1689010662350
fj-kmeans,20473805587,5306005377409,1689010662350
fj-kmeans,20579102757,5326787995522,1689010662350
fj-kmeans,20485006027,5347501692921,1689010662350
fj-kmeans,20500456764,5368404984280,1689010662350
fj-kmeans,20522071312,5389039621223,1689010662350
fj-kmeans,20512382205,5409974815115,1689010662350
fj-kmeans,20479793072,5430621481187,1689010662350
fj-kmeans,20472558252,5451427736116,1689010662350
fj-kmeans,20521154287,5472034750972,1689010662350
fj-kmeans,20504519071,5492998313182,1689010662350
fj-kmeans,20589786818,5513637561482,1689010662350
fj-kmeans,20597751581,5534559060951,1689010662350
fj-kmeans,20525153659,5555290832185,1689010662350
fj-kmeans,20491530345,5576219008992,1689010662350
fj-kmeans,20528383197,5596845403603,1689010662350
fj-kmeans,20569379126,5617924030770,1689010662350
fj-kmeans,20566278407,5638626862048,1689010662350
fj-kmeans,20537300153,5659604307192,1689010662350
fj-kmeans,20559930038,5680276315898,1689010662350
fj-kmeans,20524111715,5701358378536,1689010662350
fj-kmeans,20549035795,5722016599327,1689010662350
fj-kmeans,20611307678,5742915326502,1689010662350
fj-kmeans,20541984212,5763660259986,1689010662350
fj-kmeans,20560707519,5784661967274,1689010662350
fj-kmeans,20557582956,5805357824488,1689010662350
fj-kmeans,20594429073,5826272918689,1689010662350
fj-kmeans,20529329700,5847001325922,1689010662350
fj-kmeans,20588455876,5867929857899,1689010662350
fj-kmeans,20459850863,5888655909865,1689010662350
fj-kmeans,20659690959,5909467792736,1689010662350
fj-kmeans,20586815233,5930261032518,1689010662350
fj-kmeans,20634272980,5951210678814,1689010662350
fj-kmeans,20596034292,5971982914534,1689010662350
fj-kmeans,20594090164,5992918054831,1689010662350
fj-kmeans,20628194805,6013645425202,1689010662350
fj-kmeans,20650760829,6034654781642,1689010662350
fj-kmeans,20638236859,6055439405946,1689010662350
fj-kmeans,20603462338,6076401717124,1689010662350
fj-kmeans,20525178512,6097142598996,1689010662350
fj-kmeans,20586855668,6118050018380,1689010662350
fj-kmeans,20606454022,6138773988948,1689010662350
fj-kmeans,20618223309,6159681339344,1689010662350
fj-kmeans,20631613285,6180434055228,1689010662350
fj-kmeans,20613973841,6201478917088,1689010662350
fj-kmeans,20631893604,6222226475016,1689010662350
fj-kmeans,20610090491,6243156160656,1689010662350
fj-kmeans,20657430169,6263900656623,1689010662350
fj-kmeans,20594726800,6284855341880,1689010662350
fj-kmeans,20684320240,6305583895316,1689010662350
fj-kmeans,20595748832,6326567290445,1689010662350
