benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,18611547643,4488243009296,1688823097554
fj-kmeans,15744700000,4507167224096,1688823097554
fj-kmeans,15683139231,4523207311253,1688823097554
fj-kmeans,14813088698,4539181403350,1688823097554
fj-kmeans,14551815600,4554286670283,1688823097554
fj-kmeans,15027433617,4569129953281,1688823097554
fj-kmeans,14204721104,4584450863985,1688823097554
fj-kmeans,14884854615,4598953634118,1688823097554
fj-kmeans,14959111073,4614131040764,1688823097554
fj-kmeans,16015150189,4629384512223,1688823097554
fj-kmeans,15168072713,4645687937964,1688823097554
fj-kmeans,14461569849,4661144213358,1688823097554
fj-kmeans,14679565347,4675900506500,1688823097554
fj-kmeans,17156891148,4690874737594,1688823097554
fj-kmeans,14923788482,4708320254172,1688823097554
fj-kmeans,15288349975,4723548779397,1688823097554
fj-kmeans,16837375977,4739119241702,1688823097554
fj-kmeans,14892275161,4756231586830,1688823097554
fj-kmeans,15790586246,4771389948809,1688823097554
fj-kmeans,15007410279,4787446606435,1688823097554
fj-kmeans,15163419443,4802723451363,1688823097554
fj-kmeans,14916832899,4818153642320,1688823097554
fj-kmeans,14249207033,4833334092294,1688823097554
fj-kmeans,15259174780,4847853084492,1688823097554
fj-kmeans,15813099110,4863381323698,1688823097554
fj-kmeans,14464622381,4879467717320,1688823097554
fj-kmeans,14970922786,4894197712214,1688823097554
fj-kmeans,15232459327,4909433178348,1688823097554
fj-kmeans,16004720518,4924929917880,1688823097554
fj-kmeans,15686980707,4941208942892,1688823097554
fj-kmeans,15089742354,4957167336272,1688823097554
fj-kmeans,14501841884,4972521063327,1688823097554
fj-kmeans,14353299134,4987312253622,1688823097554
fj-kmeans,15866923157,5001928599070,1688823097554
fj-kmeans,14952840139,5018064347624,1688823097554
fj-kmeans,14811912327,5033281350272,1688823097554
fj-kmeans,15025487956,5048358407427,1688823097554
fj-kmeans,15265576246,5063650423807,1688823097554
fj-kmeans,15943094352,5079180435153,1688823097554
fj-kmeans,15173330183,5095389803888,1688823097554
fj-kmeans,14999750055,5110837762012,1688823097554
fj-kmeans,15988520387,5126101611627,1688823097554
fj-kmeans,15070601366,5142358010208,1688823097554
fj-kmeans,15649181673,5157692308105,1688823097554
fj-kmeans,15667321516,5173605374952,1688823097554
fj-kmeans,15143350083,5189535240412,1688823097554
fj-kmeans,15132386012,5204941800372,1688823097554
fj-kmeans,14227056720,5220337354099,1688823097554
fj-kmeans,14472170067,5234836858383,1688823097554
fj-kmeans,15023137838,5249581110945,1688823097554
fj-kmeans,15379449539,5264868518936,1688823097554
fj-kmeans,15243543019,5280516995186,1688823097554
fj-kmeans,15229199158,5296023733154,1688823097554
fj-kmeans,15508313083,5311518146292,1688823097554
fj-kmeans,15094761627,5327293226080,1688823097554
fj-kmeans,15203848692,5342648819939,1688823097554
fj-kmeans,14196284254,5358116165808,1688823097554
fj-kmeans,15219450999,5372582037154,1688823097554
fj-kmeans,14901985371,5388067378985,1688823097554
fj-kmeans,14794131681,5403232268296,1688823097554
fj-kmeans,15158374542,5418291573953,1688823097554
fj-kmeans,14841877600,5433712904078,1688823097554
fj-kmeans,15123596696,5448820131753,1688823097554
fj-kmeans,15520132660,5464213283457,1688823097554
fj-kmeans,15268805454,5479999687424,1688823097554
fj-kmeans,15210384626,5495533729447,1688823097554
fj-kmeans,15536533677,5511005803741,1688823097554
fj-kmeans,15545234958,5526809413119,1688823097554
fj-kmeans,15188978038,5542625645996,1688823097554
fj-kmeans,15624474117,5558078624101,1688823097554
fj-kmeans,14917994860,5573965660619,1688823097554
fj-kmeans,15085315948,5589147579013,1688823097554
fj-kmeans,15077369870,5604501752423,1688823097554
fj-kmeans,16380476121,5619849980771,1688823097554
fj-kmeans,15355680728,5636497207963,1688823097554
fj-kmeans,15539156449,5652116174398,1688823097554
fj-kmeans,14878581941,5667919474435,1688823097554
fj-kmeans,15589908061,5683061562249,1688823097554
fj-kmeans,14687383129,5698915336825,1688823097554
fj-kmeans,15585387972,5713866651930,1688823097554
fj-kmeans,15112985736,5729718265646,1688823097554
fj-kmeans,16846227765,5745096257318,1688823097554
fj-kmeans,14701845620,5762208801293,1688823097554
fj-kmeans,16352611964,5777198610790,1688823097554
fj-kmeans,14630292709,5793832739385,1688823097554
fj-kmeans,15650544855,5808733817707,1688823097554
fj-kmeans,14633432106,5824651188486,1688823097554
fj-kmeans,16649553868,5839550490616,1688823097554
fj-kmeans,14883072861,5856469612191,1688823097554
fj-kmeans,15499195273,5871618416567,1688823097554
fj-kmeans,14198106557,5887379265342,1688823097554
fj-kmeans,15298981407,5901847459147,1688823097554
fj-kmeans,15085157446,5917413830587,1688823097554
fj-kmeans,15019234173,5932762920655,1688823097554
fj-kmeans,14937555985,5948046659667,1688823097554
fj-kmeans,15286524676,5963246610185,1688823097554
fj-kmeans,14948491234,5978795344587,1688823097554
fj-kmeans,15815153344,5994008373552,1688823097554
fj-kmeans,14947167320,6010090177692,1688823097554
fj-kmeans,14838398655,6025302716732,1688823097554
akka-uct,74143570846,3634426828,1688823097554
akka-uct,42653313964,78969058089,1688823097554
akka-uct,42668807068,123086942478,1688823097554
akka-uct,44081042144,167202330260,1688823097554
akka-uct,42990298599,212749626330,1688823097554
akka-uct,42097333643,257189301952,1688823097554
akka-uct,43148395760,300726317634,1688823097554
akka-uct,44637514679,345410692370,1688823097554
akka-uct,43144664045,391494375189,1688823097554
akka-uct,43295214242,436116853593,1688823097554
akka-uct,42819987172,480911218330,1688823097554
akka-uct,43702851042,525179434016,1688823097554
akka-uct,43367779349,570369506695,1688823097554
akka-uct,42830829525,615207449833,1688823097554
akka-uct,44552839214,659564800165,1688823097554
akka-uct,43500862479,705570781329,1688823097554
akka-uct,43473472259,750512835807,1688823097554
akka-uct,44183966922,795493601987,1688823097554
akka-uct,43344048065,841177222998,1688823097554
akka-uct,43054358055,886040059856,1688823097554
akka-uct,42770929388,930527178219,1688823097554
akka-uct,43044081039,974686360662,1688823097554
akka-uct,43217670777,1019200786233,1688823097554
akka-uct,43859281067,1063852304762,1688823097554
akka-uct,44201568302,1109166328681,1688823097554
akka-uct,42835081361,1154814779207,1688823097554
akka-uct,43068175601,1199126378520,1688823097554
akka-uct,44047595091,1243608761094,1688823097554
akka-uct,43345890575,1289116762357,1688823097554
akka-uct,43193983205,1333925629717,1688823097554
akka-uct,43759844582,1378575450563,1688823097554
akka-uct,41775091026,1423773942991,1688823097554
akka-uct,43459574397,1467247971757,1688823097554
akka-uct,42202556316,1512214452274,1688823097554
akka-uct,42927910543,1555928174885,1688823097554
akka-uct,43421221911,1600275109113,1688823097554
akka-uct,42860341072,1645155856696,1688823097554
akka-uct,43408795840,1689486597763,1688823097554
akka-uct,43022423378,1734363777807,1688823097554
akka-uct,43484327186,1778952624012,1688823097554
akka-uct,43815035605,1823917561296,1688823097554
akka-uct,44197066030,1869176602659,1688823097554
akka-uct,44416824540,1915219648519,1688823097554
akka-uct,42164969808,1961055974175,1688823097554
akka-uct,43884964104,2004658300678,1688823097554
akka-uct,43301271902,2049999430566,1688823097554
akka-uct,44061239226,2094780638697,1688823097554
akka-uct,43688731901,2140252322620,1688823097554
akka-uct,42346310553,2185376896806,1688823097554
akka-uct,43393893311,2229170039597,1688823097554
akka-uct,43215476219,2274013827853,1688823097554
akka-uct,42178644294,2318549773057,1688823097554
akka-uct,44439848548,2362205570253,1688823097554
akka-uct,43557242771,2408068422730,1688823097554
akka-uct,42463784909,2453043611242,1688823097554
akka-uct,43791569147,2496996124072,1688823097554
akka-uct,44189082109,2542203493371,1688823097554
akka-uct,43600545305,2588108249405,1688823097554
akka-uct,42976132521,2633159634177,1688823097554
akka-uct,42967247517,2677584106765,1688823097554
akka-uct,43065583548,2722040048989,1688823097554
akka-uct,42689107533,2766576811412,1688823097554
akka-uct,42763999618,2810641499113,1688823097554
akka-uct,43078897681,2854847193840,1688823097554
akka-uct,43204819197,2899406318292,1688823097554
akka-uct,42168356982,2944036609336,1688823097554
akka-uct,43202145642,2987618498894,1688823097554
akka-uct,41543520846,3032253034499,1688823097554
