benchmark,duration_ns,uptime_ns,vm_start_unix_ms
future-genetic,16985272685,223866452376,1688237222175
future-genetic,10609137260,241243330061,1688237222175
future-genetic,10569582961,251921725083,1688237222175
future-genetic,10441663590,262506701619,1688237222175
future-genetic,10644982519,272989127319,1688237222175
future-genetic,10560310956,283650799136,1688237222175
future-genetic,10607939562,294251358664,1688237222175
future-genetic,10631816545,304873152391,1688237222175
future-genetic,10656027719,315544010129,1688237222175
future-genetic,10618189673,326214113970,1688237222175
future-genetic,10662780882,336868271322,1688237222175
future-genetic,10631769879,347546541510,1688237222175
future-genetic,10657703535,358217745536,1688237222175
future-genetic,10634801277,368890794139,1688237222175
future-genetic,10663013052,379562896081,1688237222175
future-genetic,10653279760,390240390625,1688237222175
future-genetic,10635576305,400928824040,1688237222175
future-genetic,10660254411,411580000073,1688237222175
future-genetic,10674327226,422275494984,1688237222175
future-genetic,10658901854,432966023870,1688237222175
future-genetic,10699322311,443661460736,1688237222175
future-genetic,10677768159,454374565143,1688237222175
future-genetic,10677167135,465087792483,1688237222175
future-genetic,10657503674,475778881172,1688237222175
future-genetic,10612065261,486474166884,1688237222175
future-genetic,10619947356,497100189719,1688237222175
future-genetic,10728658077,507756981265,1688237222175
future-genetic,10637137250,518500481130,1688237222175
future-genetic,10674880663,529179280298,1688237222175
future-genetic,10672468503,539867325922,1688237222175
future-genetic,10455403875,550579632943,1688237222175
future-genetic,10458373404,561072543478,1688237222175
future-genetic,10476432418,571569401177,1688237222175
future-genetic,10469124455,582081945421,1688237222175
future-genetic,10486016993,592589400735,1688237222175
future-genetic,10492425256,603113875805,1688237222175
future-genetic,10515432488,613642438888,1688237222175
future-genetic,10404173164,624194677229,1688237222175
future-genetic,10442784624,634636398953,1688237222175
future-genetic,10440807047,645117213350,1688237222175
future-genetic,10456687769,655594236207,1688237222175
future-genetic,10457900433,666087744817,1688237222175
future-genetic,10477931707,676583126687,1688237222175
future-genetic,10428525853,687097576425,1688237222175
future-genetic,10432628924,697561744432,1688237222175
future-genetic,10451433306,708031337334,1688237222175
future-genetic,10498419576,718519456823,1688237222175
future-genetic,10474049129,729055330759,1688237222175
future-genetic,10496809514,739565229652,1688237222175
future-genetic,10472901383,750099444097,1688237222175
future-genetic,10474103156,760608816610,1688237222175
future-genetic,10490284289,771118939446,1688237222175
future-genetic,10441857469,781645530971,1688237222175
future-genetic,10449368273,792124797299,1688237222175
future-genetic,10463519091,802611196964,1688237222175
future-genetic,10447734518,813109370735,1688237222175
future-genetic,10432237034,823592329237,1688237222175
future-genetic,10384018218,834061755737,1688237222175
future-genetic,10474922748,844481136499,1688237222175
future-genetic,10452082381,854992637467,1688237222175
future-genetic,10451746108,865478641241,1688237222175
future-genetic,10446296388,875966402422,1688237222175
future-genetic,10500301700,886447509787,1688237222175
future-genetic,10444290396,896984173088,1688237222175
future-genetic,10475237912,907462181747,1688237222175
future-genetic,10509051671,917972723612,1688237222175
future-genetic,10423163790,928516470227,1688237222175
future-genetic,10478606520,938975551120,1688237222175
future-genetic,10489243236,949487914569,1688237222175
future-genetic,10433849113,960011891571,1688237222175
future-genetic,10432123795,970481779006,1688237222175
future-genetic,10489912982,980949856611,1688237222175
future-genetic,10507578316,991474509632,1688237222175
future-genetic,10472779573,1002014695805,1688237222175
future-genetic,10434100202,1012524838262,1688237222175
future-genetic,10451665611,1022994756915,1688237222175
future-genetic,10454700134,1033480463907,1688237222175
future-genetic,10394765873,1043970823824,1688237222175
future-genetic,10465746247,1054399737445,1688237222175
future-genetic,10427167232,1064900335982,1688237222175
future-genetic,10439272592,1075362047855,1688237222175
future-genetic,10487895384,1085836722793,1688237222175
future-genetic,10432004427,1096358409999,1688237222175
future-genetic,10439179281,1106825016388,1688237222175
future-genetic,10442000026,1117297348442,1688237222175
future-genetic,10461080513,1127774418389,1688237222175
future-genetic,10458093952,1138270306002,1688237222175
future-genetic,10453447549,1148764309783,1688237222175
future-genetic,10458619298,1159250785577,1688237222175
future-genetic,10458960016,1169743375359,1688237222175
future-genetic,10480051203,1180236633277,1688237222175
future-genetic,10379178900,1190749703106,1688237222175
future-genetic,10505980198,1201162608682,1688237222175
future-genetic,10466405278,1211702588137,1688237222175
future-genetic,10440587429,1222201258198,1688237222175
future-genetic,10374740033,1232674870089,1688237222175
future-genetic,10474090932,1243083419483,1688237222175
future-genetic,10489747148,1253592429096,1688237222175
future-genetic,10411950217,1264113988100,1688237222175
future-genetic,10433664227,1274558336756,1688237222175
rx-scrabble,4494624650,1288371210985,1688237222175
rx-scrabble,1775462352,1293479240465,1688237222175
rx-scrabble,1565133862,1295443373713,1688237222175
rx-scrabble,1664023620,1297203769897,1688237222175
rx-scrabble,1759362144,1299067127648,1688237222175
rx-scrabble,1354942181,1301099464325,1688237222175
rx-scrabble,1590573431,1302647503260,1688237222175
rx-scrabble,1622303567,1304462597659,1688237222175
rx-scrabble,1556895016,1306289041634,1688237222175
rx-scrabble,1185700837,1308043731075,1688237222175
rx-scrabble,1194094401,1309419207322,1688237222175
rx-scrabble,1202096770,1310807977860,1688237222175
rx-scrabble,1429761646,1312198366871,1688237222175
rx-scrabble,1233255107,1313856312226,1688237222175
rx-scrabble,1393935597,1315280009909,1688237222175
rx-scrabble,1407647055,1316873032993,1688237222175
rx-scrabble,1234715604,1318503230030,1688237222175
rx-scrabble,1127587789,1319929700933,1688237222175
rx-scrabble,1137296807,1321245098401,1688237222175
rx-scrabble,1134194686,1322571563218,1688237222175
rx-scrabble,1134706228,1323892838806,1688237222175
rx-scrabble,1137998759,1325214768869,1688237222175
rx-scrabble,1128563633,1326540506017,1688237222175
rx-scrabble,1125645637,1327856810351,1688237222175
rx-scrabble,1121589386,1329172827809,1688237222175
rx-scrabble,1172887509,1330483602519,1688237222175
rx-scrabble,1168151907,1331855489600,1688237222175
rx-scrabble,1125592793,1333213718123,1688237222175
rx-scrabble,1133566973,1334746496016,1688237222175
rx-scrabble,1118279263,1336268248056,1688237222175
rx-scrabble,1124970008,1337573259441,1688237222175
rx-scrabble,1104062491,1338885425650,1688237222175
rx-scrabble,1109708876,1340178544213,1688237222175
rx-scrabble,1125170096,1341475483384,1688237222175
rx-scrabble,1106926851,1342787850074,1688237222175
rx-scrabble,1108806971,1344083984169,1688237222175
rx-scrabble,1121558871,1345378452911,1688237222175
rx-scrabble,1108996623,1346687633815,1688237222175
rx-scrabble,1111846731,1347983996253,1688237222175
rx-scrabble,1121890256,1349281771778,1688237222175
rx-scrabble,1104154304,1350589433019,1688237222175
rx-scrabble,1111275089,1351880789531,1688237222175
rx-scrabble,1108155419,1353181848315,1688237222175
rx-scrabble,1105694629,1354475287171,1688237222175
rx-scrabble,1101249055,1355767026250,1688237222175
rx-scrabble,1108829537,1357071000506,1688237222175
rx-scrabble,1107601723,1358365971674,1688237222175
rx-scrabble,1121493855,1359659559397,1688237222175
rx-scrabble,1105382546,1360966736055,1688237222175
rx-scrabble,1091424045,1362259524751,1688237222175
rx-scrabble,1114065519,1363536838740,1688237222175
rx-scrabble,1114219975,1364838564598,1688237222175
rx-scrabble,1126362469,1366141549600,1688237222175
rx-scrabble,1124901678,1367454678603,1688237222175
rx-scrabble,1104856257,1368766223891,1688237222175
rx-scrabble,1108833896,1370056968477,1688237222175
rx-scrabble,1121818249,1371351662301,1688237222175
rx-scrabble,1110808515,1372659575029,1688237222175
rx-scrabble,1109595370,1373957007540,1688237222175
rx-scrabble,1093406018,1375256588147,1688237222175
rx-scrabble,1109454863,1376534190439,1688237222175
rx-scrabble,1124232512,1377828389344,1688237222175
rx-scrabble,1107005920,1379140631143,1688237222175
rx-scrabble,1083317567,1380435839915,1688237222175
rx-scrabble,1127099277,1381705189238,1688237222175
rx-scrabble,1107054552,1383020058387,1688237222175
rx-scrabble,1101962285,1384316732588,1688237222175
rx-scrabble,1107256946,1385605574519,1688237222175
rx-scrabble,1121414813,1386899375974,1688237222175
rx-scrabble,1114923107,1388209307986,1688237222175
rx-scrabble,1110781429,1389509080579,1688237222175
rx-scrabble,1104685757,1390806221501,1688237222175
rx-scrabble,1113912579,1392096637599,1688237222175
rx-scrabble,1105772241,1393398761306,1688237222175
rx-scrabble,1113560100,1394689669507,1688237222175
rx-scrabble,1105521484,1395988819858,1688237222175
rx-scrabble,1101630572,1397282151929,1688237222175
rx-scrabble,1123426208,1398569927821,1688237222175
rx-scrabble,1106459588,1399879886604,1688237222175
rx-scrabble,1125777864,1401174444288,1688237222175
rx-scrabble,1079956808,1402486357950,1688237222175
rx-scrabble,1105641561,1403751764393,1688237222175
rx-scrabble,1106367415,1405042628044,1688237222175
rx-scrabble,1130677255,1406338294222,1688237222175
rx-scrabble,1122131869,1407653556406,1688237222175
rx-scrabble,1119689808,1408961490243,1688237222175
rx-scrabble,1108580865,1410267650207,1688237222175
rx-scrabble,1106187908,1411561894163,1688237222175
rx-scrabble,1109403807,1412854862653,1688237222175
rx-scrabble,1125123773,1414151202919,1688237222175
rx-scrabble,1106734449,1415464109667,1688237222175
rx-scrabble,1104914350,1416757216257,1688237222175
rx-scrabble,1102147836,1418048703442,1688237222175
rx-scrabble,1107679539,1419338979820,1688237222175
rx-scrabble,1109961918,1420633415868,1688237222175
rx-scrabble,1117668653,1421929745831,1688237222175
rx-scrabble,1102447500,1423234393228,1688237222175
rx-scrabble,1106560161,1424525335443,1688237222175
rx-scrabble,1107709636,1425817881297,1688237222175
rx-scrabble,1105282818,1427112609180,1688237222175
scrabble,7645901533,11048310791,1688237222175
scrabble,2753324309,18890627866,1688237222175
scrabble,2665457020,22898411364,1688237222175
scrabble,2517624731,25671864879,1688237222175
scrabble,2491435325,29040416357,1688237222175
scrabble,2361227129,31643472975,1688237222175
scrabble,2393121657,34654589057,1688237222175
scrabble,2423140407,37163699009,1688237222175
scrabble,2456439564,39932227612,1688237222175
scrabble,2388384876,42752457031,1688237222175
scrabble,2434240813,45581318693,1688237222175
scrabble,2697827968,48148483934,1688237222175
scrabble,2681388699,51194742279,1688237222175
scrabble,2848598422,54185463431,1688237222175
scrabble,2196141895,57615465530,1688237222175
scrabble,1899838284,59913910407,1688237222175
scrabble,1782005967,62117106641,1688237222175
scrabble,1717571362,64015066252,1688237222175
scrabble,1724745850,66111755882,1688237222175
scrabble,1685652205,67932877861,1688237222175
scrabble,1674810256,69947941578,1688237222175
scrabble,1826453831,71722012552,1688237222175
scrabble,1661329723,73854321775,1688237222175
scrabble,1671001583,75615859219,1688237222175
scrabble,1692580602,77594535649,1688237222175
scrabble,1714192491,79386804777,1688237222175
scrabble,1676875948,81408714121,1688237222175
scrabble,1831239465,83184621686,1688237222175
scrabble,1846763603,85322563928,1688237222175
scrabble,1685609637,87265973300,1688237222175
scrabble,1814831706,89268445418,1688237222175
scrabble,1873590534,91179569422,1688237222175
scrabble,1681983126,93360673599,1688237222175
scrabble,1669821092,95140813259,1688237222175
scrabble,1692230221,97121109998,1688237222175
scrabble,1685676275,98912762961,1688237222175
scrabble,1744069983,100915894323,1688237222175
scrabble,1787453894,102758584451,1688237222175
scrabble,1695379948,104851570865,1688237222175
scrabble,1747880913,106644482081,1688237222175
scrabble,1703886444,108692914071,1688237222175
scrabble,1673517298,110490851150,1688237222175
scrabble,1666273484,112477386615,1688237222175
scrabble,1730967538,114239473812,1688237222175
scrabble,1762292931,116276892607,1688237222175
scrabble,1666216540,118132790717,1688237222175
