benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,84944295501,11183496375,1688921849184
finagle-http,64541954626,96765966756,1688921849184
finagle-http,47084401081,161906412913,1688921849184
finagle-http,42584179257,209561795905,1688921849184
finagle-http,36589810915,252708395508,1688921849184
finagle-http,33854957131,289883980805,1688921849184
finagle-http,32715221326,324314989916,1688921849184
finagle-http,30060532217,357594769972,1688921849184
finagle-http,29885491381,388270785390,1688921849184
finagle-http,27459869125,418730948518,1688921849184
finagle-http,26510675567,446776352729,1688921849184
finagle-http,23863892569,473846944951,1688921849184
finagle-http,23085592247,498267354749,1688921849184
finagle-http,23865994089,521920807331,1688921849184
finagle-http,22113772335,546351247886,1688921849184
finagle-http,21576083583,569042788420,1688921849184
finagle-http,19442647335,591194413006,1688921849184
finagle-http,18720092849,611259322343,1688921849184
finagle-http,18600226666,630583775594,1688921849184
finagle-http,16867259149,649755155271,1688921849184
finagle-http,16840203991,667178629582,1688921849184
finagle-http,16030743700,684602589196,1688921849184
finagle-http,15185117015,701205672335,1688921849184
finagle-http,14881477864,716959230734,1688921849184
finagle-http,14291687907,732425299548,1688921849184
finagle-http,13589977039,747285374227,1688921849184
finagle-http,14066468260,761458984017,1688921849184
finagle-http,13391660368,776076184168,1688921849184
finagle-http,13625074421,790055629596,1688921849184
finagle-http,14023676335,804248726888,1688921849184
finagle-http,13781373823,818853072207,1688921849184
finagle-http,12233627207,833201520721,1688921849184
finagle-http,12529700209,846011217149,1688921849184
finagle-http,14099751353,859099343879,1688921849184
finagle-http,11477018764,873778131531,1688921849184
finagle-http,12859746014,885822192599,1688921849184
finagle-http,11456765398,899262099124,1688921849184
finagle-http,11500115769,911275568996,1688921849184
finagle-http,11143636524,923284871598,1688921849184
finagle-http,12675030087,934990030331,1688921849184
finagle-http,11350403660,948095088140,1688921849184
finagle-http,11267117478,959893055016,1688921849184
finagle-http,11378093402,971600600630,1688921849184
finagle-http,11514796931,983521876650,1688921849184
finagle-http,12373881885,995475593795,1688921849184
finagle-http,11228866376,1008408299706,1688921849184
finagle-http,11213796331,1020081304544,1688921849184
finagle-http,11312025891,1031745449432,1688921849184
finagle-http,11535759841,1043574766495,1688921849184
finagle-http,11467454546,1055651730051,1688921849184
finagle-http,11192381226,1067559120200,1688921849184
finagle-http,11120911327,1079197968805,1688921849184
finagle-http,11430779412,1090856703648,1688921849184
finagle-http,11599786911,1102832136036,1688921849184
finagle-http,11397494257,1114969063322,1688921849184
finagle-http,11083988771,1126887603295,1688921849184
finagle-http,11162978525,1138412214024,1688921849184
finagle-http,11151208555,1150131284733,1688921849184
finagle-http,11178171312,1161711964539,1688921849184
finagle-http,11169748134,1173336809860,1688921849184
finagle-http,11175173083,1184942791094,1688921849184
finagle-http,11136100481,1196550884340,1688921849184
finagle-http,11284600516,1208198573225,1688921849184
finagle-http,11884008768,1219972358614,1688921849184
finagle-http,11229820320,1232415220504,1688921849184
finagle-http,11329795707,1244074663908,1688921849184
finagle-http,11442935003,1255931664036,1688921849184
finagle-http,11871914024,1267832622718,1688921849184
finagle-http,11379635518,1280129753297,1688921849184
finagle-http,11390832622,1291938702724,1688921849184
finagle-http,11533213126,1303806243643,1688921849184
finagle-http,11385914821,1315850556354,1688921849184
finagle-http,11318331919,1327677513921,1688921849184
finagle-http,11429376081,1339539393932,1688921849184
finagle-http,11341882105,1351398683974,1688921849184
finagle-http,11429792574,1363180444686,1688921849184
finagle-http,11355603963,1375124143723,1688921849184
finagle-http,11351658481,1386912793887,1688921849184
finagle-http,11349879064,1398700405924,1688921849184
finagle-http,11326662042,1410478114896,1688921849184
finagle-http,11329987540,1422237164217,1688921849184
finagle-http,11310119368,1434070675594,1688921849184
finagle-http,11292889964,1445814145642,1688921849184
finagle-http,11168211597,1457549106141,1688921849184
finagle-http,11323103369,1469147628111,1688921849184
finagle-http,11240392231,1480934219550,1688921849184
finagle-http,11341975022,1492707869959,1688921849184
finagle-http,11583435268,1504486080394,1688921849184
finagle-http,11291199912,1516496379053,1688921849184
finagle-http,11712711469,1528223755656,1688921849184
finagle-http,11526765038,1540451984764,1688921849184
finagle-http,11304757181,1552407110821,1688921849184
finagle-http,11690922047,1564281419264,1688921849184
finagle-http,11544373927,1576417002323,1688921849184
finagle-http,11326094186,1588439268788,1688921849184
finagle-http,11407149464,1600202464217,1688921849184
finagle-http,11323839004,1612046769371,1688921849184
finagle-http,11374253229,1623811709722,1688921849184
finagle-http,11338161978,1635638568530,1688921849184
finagle-http,11504306598,1647411005506,1688921849184
finagle-chirper,87940112118,1667130789217,1688921849184
finagle-chirper,53870348730,1756066718152,1688921849184
finagle-chirper,42033202410,1810935502970,1688921849184
finagle-chirper,35958923966,1853940224258,1688921849184
finagle-chirper,32222592485,1890894225588,1688921849184
finagle-chirper,28205152879,1924078345178,1688921849184
finagle-chirper,26980606761,1953282466866,1688921849184
finagle-chirper,24663609003,1981196251687,1688921849184
finagle-chirper,23632365918,2006761373364,1688921849184
finagle-chirper,21892135706,2031397047810,1688921849184
finagle-chirper,19696686070,2054308605076,1688921849184
finagle-chirper,18869063924,2074908916258,1688921849184
finagle-chirper,17828439046,2094720523164,1688921849184
finagle-chirper,17211932909,2113461320747,1688921849184
finagle-chirper,16838702013,2131557099008,1688921849184
finagle-chirper,16352635994,2149299006480,1688921849184
finagle-chirper,15788770120,2166622812181,1688921849184
finagle-chirper,15553334204,2183344816007,1688921849184
finagle-chirper,14962569633,2199824423505,1688921849184
finagle-chirper,14883425838,2215695667167,1688921849184
finagle-chirper,14944395526,2231515617482,1688921849184
finagle-chirper,14991379488,2247347095759,1688921849184
finagle-chirper,14708273788,2263215802575,1688921849184
finagle-chirper,14935065008,2278842162919,1688921849184
finagle-chirper,14622472209,2294692646762,1688921849184
finagle-chirper,14746020376,2310205457666,1688921849184
finagle-chirper,14500522676,2325854202794,1688921849184
finagle-chirper,14302796666,2341244285117,1688921849184
finagle-chirper,13890299723,2356420053402,1688921849184
finagle-chirper,13392655433,2371167674474,1688921849184
finagle-chirper,10038061486,2385399505187,1688921849184
finagle-chirper,12179233898,2396122383036,1688921849184
finagle-chirper,12380139532,2409154098244,1688921849184
finagle-chirper,13262352068,2422440703086,1688921849184
finagle-chirper,13471289023,2436591957305,1688921849184
finagle-chirper,12721432502,2450941662979,1688921849184
finagle-chirper,12628490616,2464526126441,1688921849184
finagle-chirper,9595975440,2477968007442,1688921849184
finagle-chirper,13141359608,2488450693805,1688921849184
finagle-chirper,11258084126,2502445578775,1688921849184
finagle-chirper,12153654101,2514555653516,1688921849184
finagle-chirper,11421084797,2527583462835,1688921849184
finagle-chirper,12971755231,2539888248334,1688921849184
finagle-chirper,12460899167,2553724941694,1688921849184
finagle-chirper,8010054856,2566885313272,1688921849184
finagle-chirper,8806892263,2575740915282,1688921849184
finagle-chirper,7140934403,2585236633335,1688921849184
finagle-chirper,7424809632,2593154438910,1688921849184
finagle-chirper,7054757676,2601264447927,1688921849184
finagle-chirper,7941635849,2609082804628,1688921849184
finagle-chirper,7635387124,2617781617662,1688921849184
finagle-chirper,7011296473,2626151952448,1688921849184
finagle-chirper,6999224238,2633852439506,1688921849184
finagle-chirper,8077235383,2641691143021,1688921849184
finagle-chirper,11479689121,2650459597475,1688921849184
finagle-chirper,10599852285,2662646126738,1688921849184
finagle-chirper,7555778066,2674068627102,1688921849184
finagle-chirper,11465811372,2682325363518,1688921849184
finagle-chirper,9821836890,2694654076439,1688921849184
finagle-chirper,9828838372,2705342583740,1688921849184
finagle-chirper,11634846038,2716052421996,1688921849184
finagle-chirper,10039759436,2728565543771,1688921849184
finagle-chirper,6551013746,2739298201785,1688921849184
finagle-chirper,6918767469,2746561598243,1688921849184
finagle-chirper,6879838725,2754170478983,1688921849184
finagle-chirper,7243898640,2761745705275,1688921849184
finagle-chirper,6675560591,2769679638045,1688921849184
finagle-chirper,6854646193,2777049511031,1688921849184
finagle-chirper,12131880519,2784586425356,1688921849184
finagle-chirper,12409141737,2797629459742,1688921849184
finagle-chirper,9888736908,2811005470072,1688921849184
finagle-chirper,9886353787,2821726047355,1688921849184
finagle-chirper,9511620311,2832509277996,1688921849184
finagle-chirper,8115810180,2842875128224,1688921849184
finagle-chirper,6526282928,2851683388499,1688921849184
finagle-chirper,6909182689,2858900271317,1688921849184
finagle-chirper,6878263470,2866517725070,1688921849184
finagle-chirper,9380545761,2874093870167,1688921849184
finagle-chirper,7200529271,2884174994029,1688921849184
finagle-chirper,7108528478,2892070046517,1688921849184
finagle-chirper,7060976727,2899958820220,1688921849184
finagle-chirper,6750707620,2907731529472,1688921849184
finagle-chirper,6564296529,2915213298642,1688921849184
finagle-chirper,6601562333,2922474330046,1688921849184
finagle-chirper,9155156775,2929794632924,1688921849184
finagle-chirper,12484301211,2939902243719,1688921849184
finagle-chirper,9965285711,2953297420748,1688921849184
finagle-chirper,6429624486,2963973263960,1688921849184
finagle-chirper,6909579630,2971115375894,1688921849184
finagle-chirper,6673926064,2978720397778,1688921849184
finagle-chirper,7091258076,2986104037135,1688921849184
finagle-chirper,6617034304,2993919339582,1688921849184
finagle-chirper,7849907913,3001461639597,1688921849184
finagle-chirper,8990733340,3010031451836,1688921849184
finagle-chirper,10261835481,3019891286735,1688921849184
finagle-chirper,11131268922,3031070449992,1688921849184
finagle-chirper,9101755122,3043157239377,1688921849184
finagle-chirper,7245754899,3053129938237,1688921849184
finagle-chirper,6688906197,3061116981374,1688921849184
finagle-chirper,6384292808,3068507871739,1688921849184
