benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,89225269253,11021511994,1688951761485
finagle-http,30107973500,100577318798,1688951761485
finagle-http,18340784817,130758157966,1688951761485
finagle-http,17367977376,149343715299,1688951761485
finagle-http,17218272316,166762082969,1688951761485
finagle-http,17316795593,184222982819,1688951761485
finagle-http,17073020811,201598929364,1688951761485
finagle-http,17367078788,218904066231,1688951761485
finagle-http,17709644882,236319150117,1688951761485
finagle-http,17189881762,254252334901,1688951761485
finagle-http,17218016055,271512337564,1688951761485
finagle-http,17243366628,288960617192,1688951761485
finagle-http,17184380121,306263569159,1688951761485
finagle-http,16975041909,323657307644,1688951761485
finagle-http,16979251561,340687769299,1688951761485
finagle-http,17143072798,357864363529,1688951761485
finagle-http,18100182997,375066801357,1688951761485
finagle-http,16851778738,393371994203,1688951761485
finagle-http,16907466357,410270879455,1688951761485
finagle-http,17258287002,427357469211,1688951761485
finagle-http,17299985444,444677973918,1688951761485
finagle-http,17393034246,462157324443,1688951761485
finagle-http,17326253127,479597503410,1688951761485
finagle-http,17263417006,497104760414,1688951761485
finagle-http,17287975957,514412439512,1688951761485
finagle-http,17290995400,531883386819,1688951761485
finagle-http,17295319288,549223665060,1688951761485
finagle-http,17223391794,566652459938,1688951761485
finagle-http,17191474293,583921084965,1688951761485
finagle-http,17094011253,601219522346,1688951761485
finagle-http,17015715010,618369507365,1688951761485
finagle-http,17290812496,635515159319,1688951761485
finagle-http,16863377015,652867055668,1688951761485
finagle-http,16974829359,669901206528,1688951761485
finagle-http,16763529419,686920688650,1688951761485
finagle-http,16856597292,703786630733,1688951761485
finagle-http,17238062002,720692942886,1688951761485
finagle-http,16990375769,738102863433,1688951761485
finagle-http,16973155749,755136683786,1688951761485
finagle-http,17030655660,772222919269,1688951761485
finagle-http,16933650133,789303826335,1688951761485
finagle-http,17190437712,806346998573,1688951761485
finagle-http,17119867661,823590542242,1688951761485
finagle-http,16985814957,840882396653,1688951761485
finagle-http,17245732165,857917304149,1688951761485
finagle-http,17257054922,875269418597,1688951761485
finagle-http,17394807630,892569462758,1688951761485
finagle-http,17153578880,910070983963,1688951761485
finagle-http,17022090993,927266810579,1688951761485
finagle-http,17271397703,944412790097,1688951761485
finagle-http,17539877198,961733915366,1688951761485
finagle-http,17061181098,979390730828,1688951761485
finagle-http,16991092804,996500376774,1688951761485
finagle-http,17120475628,1013597064556,1688951761485
finagle-http,17171639655,1030771873233,1688951761485
finagle-http,17341626904,1048118363184,1688951761485
finagle-http,17069334847,1065511729260,1688951761485
finagle-http,17002249317,1082727118164,1688951761485
finagle-http,17052576108,1099776377686,1688951761485
finagle-http,17320503600,1116942139225,1688951761485
finagle-http,17020229868,1134305816432,1688951761485
finagle-http,17064479667,1151430163261,1688951761485
finagle-http,17665677214,1168536065929,1688951761485
finagle-http,17330784772,1186326669341,1688951761485
finagle-http,16911153777,1203707201350,1688951761485
finagle-http,17108264005,1220723514777,1688951761485
finagle-http,16985793588,1237870976586,1688951761485
finagle-http,17031518623,1254961321856,1688951761485
finagle-http,16982871547,1272039459777,1688951761485
finagle-http,17353216638,1289136179694,1688951761485
finagle-http,17240258243,1306534977720,1688951761485
finagle-http,17258714626,1323878763040,1688951761485
finagle-http,17157446304,1341176939595,1688951761485
finagle-http,17173201294,1358445001118,1688951761485
finagle-http,17145206960,1375660199095,1688951761485
finagle-http,17182726751,1392906796107,1688951761485
finagle-http,17048105015,1410134662178,1688951761485
finagle-http,17045951008,1427287054654,1688951761485
finagle-http,17203081600,1444374683031,1688951761485
finagle-http,17373151278,1461683352231,1688951761485
finagle-http,17195910185,1479098509907,1688951761485
finagle-http,17131818324,1496397631859,1688951761485
finagle-http,17062496358,1513573072401,1688951761485
finagle-http,17263388872,1530744836354,1688951761485
finagle-http,17198194527,1548050084449,1688951761485
finagle-http,16946817672,1565359085950,1688951761485
finagle-http,16923402257,1582347434175,1688951761485
finagle-http,17347180016,1599377848744,1688951761485
finagle-http,17245094626,1616796074568,1688951761485
finagle-http,17291656200,1634152306653,1688951761485
finagle-http,17229525478,1651487724440,1688951761485
finagle-http,17203632883,1668821592809,1688951761485
finagle-http,17179362430,1686066505227,1688951761485
finagle-http,17033895545,1703348167161,1688951761485
finagle-http,16898136365,1720424091543,1688951761485
finagle-http,16856706152,1737425984354,1688951761485
finagle-http,16748232021,1754328871163,1688951761485
finagle-http,16966658812,1771183743877,1688951761485
finagle-http,17194121251,1788193836333,1688951761485
finagle-http,17376387374,1805496839259,1688951761485
finagle-chirper,89023473527,1830131187787,1688951761485
finagle-chirper,28160810542,1919705324745,1688951761485
finagle-chirper,19447296031,1948007251320,1688951761485
finagle-chirper,18680365009,1967824691740,1688951761485
finagle-chirper,18861993617,1986647047012,1688951761485
finagle-chirper,18449303213,2005861825630,1688951761485
finagle-chirper,18171118320,2024437033567,1688951761485
finagle-chirper,18378140030,2042943580790,1688951761485
finagle-chirper,18959707910,2061451634319,1688951761485
finagle-chirper,16752371716,2080782387821,1688951761485
finagle-chirper,16926808178,2097708742618,1688951761485
