benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,52638268344,7226118424,1688868956871
finagle-http,29103382061,59997578426,1688868956871
finagle-http,17199303942,89219875488,1688868956871
finagle-http,12956046007,106555163423,1688868956871
finagle-http,12690938018,119616126057,1688868956871
finagle-http,13075350716,132419131289,1688868956871
finagle-http,13252092284,145629875516,1688868956871
finagle-http,13474307400,158988426584,1688868956871
finagle-http,13512576695,172575852976,1688868956871
finagle-http,13420636997,186202839506,1688868956871
finagle-http,13415177869,199738884182,1688868956871
finagle-http,13499988040,213272021419,1688868956871
finagle-http,13532661936,226882528945,1688868956871
finagle-http,14234226252,240525470457,1688868956871
finagle-http,13763160555,254869432523,1688868956871
finagle-http,13525060074,268748963368,1688868956871
finagle-http,13448698830,282387028784,1688868956871
finagle-http,13374549776,295964862090,1688868956871
finagle-http,13269870613,309447130036,1688868956871
finagle-http,13436597055,322825844810,1688868956871
finagle-http,13341754978,336370873619,1688868956871
finagle-http,13491492842,349827282000,1688868956871
finagle-http,13358657348,363430914036,1688868956871
finagle-http,13500780920,376900834637,1688868956871
finagle-http,13301451336,390523813539,1688868956871
finagle-http,13215883254,403937197601,1688868956871
finagle-http,13015357929,417270495426,1688868956871
finagle-http,13476213007,430396092058,1688868956871
finagle-http,13208879249,443996641024,1688868956871
finagle-http,13243720000,457313968076,1688868956871
finagle-http,13400778089,470668651806,1688868956871
finagle-http,13374962439,484184750740,1688868956871
finagle-http,13543550752,497672221723,1688868956871
finagle-http,13480910303,511329458377,1688868956871
finagle-http,13544124085,524914382547,1688868956871
finagle-http,13374015744,538569865624,1688868956871
finagle-http,13513560977,552055733453,1688868956871
finagle-http,13321842256,565679841005,1688868956871
finagle-http,13403751307,579115612288,1688868956871
finagle-http,14741743650,592631451192,1688868956871
finagle-http,13334059344,607491290554,1688868956871
finagle-http,13123241974,620941024274,1688868956871
finagle-http,13286508702,634176553022,1688868956871
finagle-http,13072018902,647573300595,1688868956871
finagle-http,13079843196,660760861450,1688868956871
finagle-http,12878176907,673948662585,1688868956871
finagle-http,13399577082,686941028597,1688868956871
finagle-http,13460157752,700450278140,1688868956871
finagle-http,13487030527,714028982273,1688868956871
finagle-http,13672926010,727629597636,1688868956871
finagle-http,13476826094,741423477803,1688868956871
finagle-http,13612658616,755013176731,1688868956871
finagle-http,13677198987,768738256308,1688868956871
finagle-http,13602711164,782530684613,1688868956871
finagle-http,13599875673,796247287798,1688868956871
finagle-http,13569318100,809961897150,1688868956871
finagle-http,13567305922,823647289309,1688868956871
finagle-http,13583140668,837329724536,1688868956871
finagle-http,13733418124,851026520811,1688868956871
finagle-http,13609153816,864878317656,1688868956871
finagle-http,13613775284,878612510104,1688868956871
finagle-http,14248634494,892343705584,1688868956871
finagle-http,13585962000,906705884330,1688868956871
finagle-http,14304247161,920411829026,1688868956871
finagle-http,13222899196,934842395540,1688868956871
finagle-http,12785833289,948180512118,1688868956871
finagle-http,13307860218,961083209901,1688868956871
finagle-http,13298127114,974500491096,1688868956871
finagle-http,13456803429,987910514123,1688868956871
finagle-http,13425827874,1001490606755,1688868956871
finagle-http,13548256681,1015032359374,1688868956871
finagle-http,13393219233,1028712086814,1688868956871
finagle-http,13372585842,1042224154693,1688868956871
finagle-http,13379241603,1055715424001,1688868956871
finagle-http,13580015627,1069212028886,1688868956871
finagle-http,13476478507,1082907553656,1688868956871
finagle-http,13434185686,1096500562693,1688868956871
finagle-http,13394822606,1110049609229,1688868956871
finagle-http,13316328017,1123560836245,1688868956871
finagle-http,13344190731,1136998578029,1688868956871
finagle-http,13460196364,1150464722105,1688868956871
finagle-http,13304071815,1164045128315,1688868956871
finagle-http,13284814310,1177460485846,1688868956871
finagle-http,13185227210,1190865079029,1688868956871
finagle-http,13192660049,1204169953462,1688868956871
finagle-http,12860299492,1217485297097,1688868956871
finagle-http,12433483796,1230460737475,1688868956871
finagle-http,12503797996,1243011567772,1688868956871
finagle-http,13062227267,1255629603092,1688868956871
finagle-http,13448496477,1268802035589,1688868956871
finagle-http,13223333248,1282356570108,1688868956871
finagle-http,13463867758,1295692266579,1688868956871
finagle-http,13539182862,1309260799218,1688868956871
finagle-http,13435543546,1322910127194,1688868956871
finagle-http,13378796939,1336449301563,1688868956871
finagle-http,13511456265,1349941637619,1688868956871
finagle-http,14008847620,1363571547979,1688868956871
finagle-http,13469412623,1377699211002,1688868956871
finagle-http,13445718988,1391281647596,1688868956871
finagle-http,13474278720,1404837445046,1688868956871
finagle-chirper,50701971048,1423541959810,1688868956871
finagle-chirper,33753095232,1474607859724,1688868956871
finagle-chirper,27416499912,1508690958046,1688868956871
finagle-chirper,23953512099,1536418568472,1688868956871
finagle-chirper,19084252073,1560689450463,1688868956871
finagle-chirper,14106991874,1580093923452,1688868956871
finagle-chirper,14148800177,1594488585325,1688868956871
finagle-chirper,12204130710,1608923277549,1688868956871
finagle-chirper,12179327355,1621426532930,1688868956871
finagle-chirper,11794561916,1633900777550,1688868956871
finagle-chirper,12584716670,1645992081427,1688868956871
finagle-chirper,11947544235,1658853503029,1688868956871
finagle-chirper,12121636956,1671077728365,1688868956871
finagle-chirper,11711720046,1683463026408,1688868956871
finagle-chirper,12534280476,1695480383253,1688868956871
finagle-chirper,11315308649,1708293679297,1688868956871
finagle-chirper,11178444046,1719888247915,1688868956871
finagle-chirper,11180788582,1731336619447,1688868956871
finagle-chirper,11577894834,1742817392836,1688868956871
finagle-chirper,11138191139,1754684938876,1688868956871
finagle-chirper,12211166166,1766108277883,1688868956871
finagle-chirper,11280819633,1778620957591,1688868956871
finagle-chirper,11093280866,1790195471265,1688868956871
finagle-chirper,11416782342,1801592002535,1688868956871
finagle-chirper,11399548395,1813325414560,1688868956871
finagle-chirper,10869685839,1825029942157,1688868956871
finagle-chirper,11109748522,1836193215687,1688868956871
finagle-chirper,13562442827,1847589520969,1688868956871
finagle-chirper,11940834696,1861448802545,1688868956871
finagle-chirper,10355287390,1873687762559,1688868956871
finagle-chirper,10518448394,1884331595940,1688868956871
finagle-chirper,12232463658,1895133720060,1688868956871
finagle-chirper,10348633710,1907646521466,1688868956871
finagle-chirper,10361539975,1918286566796,1688868956871
finagle-chirper,10469409667,1928946549810,1688868956871
finagle-chirper,10419527213,1939715068492,1688868956871
finagle-chirper,11291646597,1950437420988,1688868956871
finagle-chirper,10792148101,1962015143583,1688868956871
finagle-chirper,10105809635,1973093251084,1688868956871
finagle-chirper,10228108790,1983482128411,1688868956871
finagle-chirper,10718233471,1993992918567,1688868956871
finagle-chirper,10074048069,2004996927574,1688868956871
finagle-chirper,10236717251,2015359481899,1688868956871
finagle-chirper,10510825770,2025877647102,1688868956871
finagle-chirper,10533313161,2036688279093,1688868956871
finagle-chirper,10321714556,2047522164881,1688868956871
