Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,4,3,9,13,23,0,61,"0,00%","18,0","54,4","4,30"
Vets Page,25000,4,4,9,11,19,1,380,"0,00%","18,0","72,3","4,76"
CSS,25000,28,14,101,123,140,6,171,"0,00%","18,0","3665,2","35,20"
JS,25000,9,6,20,33,45,2,91,"0,00%","18,0","1421,8","9,06"
POST New Owner,25000,41,9,22,51,1077,3,1355,"0,00%","18,0","66,8","170,75"
POST New Owner-0,25000,35,5,13,36,1043,1,1318,"0,00%","18,0","3,4","164,52"
POST New Owner-1,25000,5,3,9,14,44,1,1208,"0,00%","18,0","63,4","16,48"
GET Owner,25000,6,4,9,13,64,1,1016,"0,00%","18,0","63,4","23,22"
GET Find Owner,25000,4,3,8,11,19,1,58,"0,00%","18,0","64,1","3,52"
"GET Find Owner with lastname=""""",25000,281,145,874,1171,1398,8,1798,"0,00%","18,0","3050,3","347,22"
POST Update Owner,25000,85,9,317,667,990,3,1342,"0,00%","18,0","67,1","214,92"
POST Update Owner-0,25000,78,5,290,646,960,1,1309,"0,00%","18,0","3,4","208,78"
POST Update Owner-1,25000,7,3,13,22,51,1,1011,"0,00%","18,0","63,7","20,84"
POST New Pet,25000,12,9,19,27,81,3,938,"0,00%","18,0","79,8","24,83"
POST New Pet-0,25000,6,4,10,14,61,1,630,"0,00%","18,0","3,4","15,47"
POST New Pet-1,25000,5,4,10,14,30,1,384,"0,00%","18,0","76,4","12,11"
GET New Pet,25000,10,6,15,22,107,2,427,"0,00%","18,0","86,6","22,95"
TOTAL,425000,37,6,32,145,916,0,1798,"0,00%","305,9","8887,2","142,38"
