Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,3,2,7,10,19,0,55,"0,00%","20,3","61,1","3,52"
Vets Page,25000,4,3,8,11,18,1,365,"0,00%","20,3","81,3","5,14"
CSS,25000,14,12,24,31,49,6,91,"0,00%","20,3","4119,4","8,52"
JS,25000,6,5,11,14,23,2,74,"0,00%","20,3","1598,0","4,11"
POST New Owner,25000,10,7,16,23,79,3,460,"0,00%","20,3","75,1","17,93"
POST New Owner-0,25000,6,4,9,14,56,1,348,"0,00%","20,3","3,8","14,02"
POST New Owner-1,25000,4,3,7,10,22,1,287,"0,00%","20,3","71,3","7,47"
GET Owner,25000,5,3,8,12,41,1,321,"0,00%","20,3","71,3","12,54"
GET Find Owner,25000,3,3,7,9,16,1,60,"0,00%","20,3","72,1","3,04"
"GET Find Owner with lastname=""""",25000,127,114,251,314,441,7,704,"0,00%","20,3","3428,0","95,10"
POST Update Owner,25000,10,8,15,21,95,3,550,"0,00%","20,3","75,4","19,71"
POST Update Owner-0,25000,6,4,9,13,76,1,343,"0,00%","20,3","3,8","15,42"
POST Update Owner-1,25000,3,3,6,9,19,1,292,"0,00%","20,3","71,6","7,51"
POST New Pet,25000,10,7,16,22,71,2,621,"0,00%","20,3","89,7","19,35"
POST New Pet-0,25000,5,4,9,13,46,1,349,"0,00%","20,3","3,8","12,41"
POST New Pet-1,25000,4,3,7,11,27,1,379,"0,00%","20,3","85,9","9,98"
GET New Pet,25000,8,5,11,16,74,2,394,"0,00%","20,3","97,3","19,81"
TOTAL,425000,14,5,17,55,212,0,704,"0,00%","343,7","9985,8","38,76"
